country,year,month,year_month,monthly_total_mm,max_1d_mm,max_3d_mm,max_5d_mm
Trinidad and Tobago,2022,1,2022-01,69.86502450770661,12.875356940313088,20.49386993956236,20.493869939562362
Trinidad and Tobago,2022,2,2022-02,77.59181964242573,16.657864165125837,31.080308057543284,36.3823814650402
Trinidad and Tobago,2022,3,2022-03,54.51551225360892,10.833476090415912,11.486430543425424,19.556805347897303
Trinidad and Tobago,2022,4,2022-04,67.76333897112612,27.181514486151045,61.22330710240158,63.56567928321216
Trinidad and Tobago,2022,5,2022-05,65.64352923144016,17.863082650065447,35.92174201883623,49.2647267954558
Trinidad and Tobago,2022,6,2022-06,381.7436545262453,38.72919698415924,95.07252696768853,114.65208062572916
Trinidad and Tobago,2022,7,2022-07,306.4500436747989,58.71492113275417,88.11133839756188,111.8020521784073
Trinidad and Tobago,2022,8,2022-08,476.69078521235264,84.42145710438335,128.14650913109085,168.25120991344127
Trinidad and Tobago,2022,9,2022-09,285.97391816426466,59.946753864033575,92.64725283270576,96.40799737178332
Trinidad and Tobago,2022,10,2022-10,531.3514998782314,89.81784675314151,148.99972166050304,209.53431225540385
Trinidad and Tobago,2022,11,2022-11,405.905072977452,53.028531812458276,125.88379302673948,188.76405012690415
Trinidad and Tobago,2022,12,2022-12,90.21520802219649,28.197879402680368,46.8369119847102,82.32596347930306
