country,year,month,year_month,monthly_total_mm_pop,date
Trinidad and Tobago,2017,1,2017-01,0.3239994516566406,2017-01-01
Trinidad and Tobago,2017,2,2017-02,0.1242139955249008,2017-02-01
Trinidad and Tobago,2017,3,2017-03,0.1282434351386971,2017-03-01
Trinidad and Tobago,2017,4,2017-04,0.05258566504873403,2017-04-01
Trinidad and Tobago,2017,5,2017-05,0.21051029464716042,2017-05-01
Trinidad and Tobago,2017,6,2017-06,0.8765191911684382,2017-06-01
Trinidad and Tobago,2017,7,2017-07,0.4569778960716025,2017-07-01
Trinidad and Tobago,2017,8,2017-08,0.9341723018603203,2017-08-01
Trinidad and Tobago,2017,9,2017-09,0.5958668739638464,2017-09-01
Trinidad and Tobago,2017,10,2017-10,0.6872397979348271,2017-10-01
Trinidad and Tobago,2017,11,2017-11,0.4241056659400167,2017-11-01
Trinidad and Tobago,2017,12,2017-12,0.5302740406779124,2017-12-01
Trinidad and Tobago,2018,1,2018-01,0.328003937237083,2018-01-01
Trinidad and Tobago,2018,2,2018-02,0.1406607097930019,2018-02-01
Trinidad and Tobago,2018,3,2018-03,0.2941712268482,2018-03-01
Trinidad and Tobago,2018,4,2018-04,0.08122006646489077,2018-04-01
Trinidad and Tobago,2018,5,2018-05,0.10991832453563155,2018-05-01
Trinidad and Tobago,2018,6,2018-06,0.39406528786398376,2018-06-01
Trinidad and Tobago,2018,7,2018-07,0.5552816934337332,2018-07-01
Trinidad and Tobago,2018,8,2018-08,0.8336996408546591,2018-08-01
Trinidad and Tobago,2018,9,2018-09,0.5537898916996753,2018-09-01
Trinidad and Tobago,2018,10,2018-10,0.7739372564452829,2018-10-01
Trinidad and Tobago,2018,11,2018-11,0.4766969386855622,2018-11-01
Trinidad and Tobago,2018,12,2018-12,0.15919707294044694,2018-12-01
Trinidad and Tobago,2019,1,2019-01,0.08126081494644061,2019-01-01
Trinidad and Tobago,2019,2,2019-02,0.14884019519761832,2019-02-01
Trinidad and Tobago,2019,3,2019-03,0.1293033432625786,2019-03-01
Trinidad and Tobago,2019,4,2019-04,0.11481623908622215,2019-04-01
Trinidad and Tobago,2019,5,2019-05,0.07315975685458018,2019-05-01
Trinidad and Tobago,2019,6,2019-06,0.49967293691369663,2019-06-01
Trinidad and Tobago,2019,7,2019-07,0.5282464671007999,2019-07-01
Trinidad and Tobago,2019,8,2019-08,0.48413979410577557,2019-08-01
Trinidad and Tobago,2019,9,2019-09,0.5367954816311619,2019-09-01
Trinidad and Tobago,2019,10,2019-10,0.4792105360146409,2019-10-01
Trinidad and Tobago,2019,11,2019-11,0.6627241961641337,2019-11-01
Trinidad and Tobago,2019,12,2019-12,0.36833379089173074,2019-12-01
Trinidad and Tobago,2020,1,2020-01,0.19083335627373996,2020-01-01
Trinidad and Tobago,2020,2,2020-02,0.1367305636954424,2020-02-01
Trinidad and Tobago,2020,3,2020-03,0.0843268573701022,2020-03-01
Trinidad and Tobago,2020,4,2020-04,0.08535095332848236,2020-04-01
Trinidad and Tobago,2020,5,2020-05,0.09435071229124403,2020-05-01
Trinidad and Tobago,2020,6,2020-06,0.5397868661987505,2020-06-01
Trinidad and Tobago,2020,7,2020-07,0.4419109751405023,2020-07-01
Trinidad and Tobago,2020,8,2020-08,1.3309018790222211,2020-08-01
Trinidad and Tobago,2020,9,2020-09,0.5762936866007116,2020-09-01
Trinidad and Tobago,2020,10,2020-10,0.5689871984724698,2020-10-01
Trinidad and Tobago,2020,11,2020-11,0.4931737306478084,2020-11-01
Trinidad and Tobago,2020,12,2020-12,0.17793094560772002,2020-12-01
Trinidad and Tobago,2021,1,2021-01,0.16978900855251483,2021-01-01
Trinidad and Tobago,2021,2,2021-02,0.12209345233800721,2021-02-01
Trinidad and Tobago,2021,3,2021-03,0.30579565166655664,2021-03-01
Trinidad and Tobago,2021,4,2021-04,0.14964934940520558,2021-04-01
Trinidad and Tobago,2021,5,2021-05,0.2932251856892749,2021-05-01
Trinidad and Tobago,2021,6,2021-06,0.7114910708266706,2021-06-01
Trinidad and Tobago,2021,7,2021-07,0.8543850072453203,2021-07-01
Trinidad and Tobago,2021,8,2021-08,1.3399856560386068,2021-08-01
Trinidad and Tobago,2021,9,2021-09,0.35653912027697454,2021-09-01
Trinidad and Tobago,2021,10,2021-10,0.5543341336121381,2021-10-01
Trinidad and Tobago,2021,11,2021-11,0.16267767513949827,2021-11-01
Trinidad and Tobago,2021,12,2021-12,0.5028545047990488,2021-12-01
Trinidad and Tobago,2022,1,2022-01,0.15400506565146918,2022-01-01
Trinidad and Tobago,2022,2,2022-02,0.17402047535870718,2022-02-01
Trinidad and Tobago,2022,3,2022-03,0.1215003149518282,2022-03-01
Trinidad and Tobago,2022,4,2022-04,0.1563499086183785,2022-04-01
Trinidad and Tobago,2022,5,2022-05,0.1610968363844239,2022-05-01
Trinidad and Tobago,2022,6,2022-06,0.9859442379582901,2022-06-01
Trinidad and Tobago,2022,7,2022-07,0.8161185420964296,2022-07-01
Trinidad and Tobago,2022,8,2022-08,1.2669462033675287,2022-08-01
Trinidad and Tobago,2022,9,2022-09,0.7307134974862418,2022-09-01
Trinidad and Tobago,2022,10,2022-10,1.3031606749060045,2022-10-01
Trinidad and Tobago,2022,11,2022-11,0.9864406549152794,2022-11-01
Trinidad and Tobago,2022,12,2022-12,0.22292239981684397,2022-12-01
Trinidad and Tobago,2023,1,2023-01,0.29533277892808657,2023-01-01
Trinidad and Tobago,2023,2,2023-02,0.21363286207794313,2023-02-01
Trinidad and Tobago,2023,3,2023-03,0.06804202966205246,2023-03-01
Trinidad and Tobago,2023,4,2023-04,0.2896725593912438,2023-04-01
Trinidad and Tobago,2023,5,2023-05,0.2126133447974834,2023-05-01
Trinidad and Tobago,2023,6,2023-06,0.6508772681893457,2023-06-01
Trinidad and Tobago,2023,7,2023-07,0.6186651295370666,2023-07-01
Trinidad and Tobago,2023,8,2023-08,0.5188098363138576,2023-08-01
Trinidad and Tobago,2023,9,2023-09,0.3205432514684759,2023-09-01
Trinidad and Tobago,2023,10,2023-10,0.32940310568594816,2023-10-01
Trinidad and Tobago,2023,11,2023-11,0.5805085016275723,2023-11-01
Trinidad and Tobago,2023,12,2023-12,0.2356617692569376,2023-12-01
Trinidad and Tobago,2024,1,2024-01,0.17619244045598054,2024-01-01
Trinidad and Tobago,2024,2,2024-02,0.08239401462161565,2024-02-01
Trinidad and Tobago,2024,3,2024-03,0.12816612276714742,2024-03-01
Trinidad and Tobago,2024,4,2024-04,0.1316734911402939,2024-04-01
Trinidad and Tobago,2024,5,2024-05,0.2733188050353365,2024-05-01
Trinidad and Tobago,2024,6,2024-06,0.6493533076440231,2024-06-01
Trinidad and Tobago,2024,7,2024-07,0.5322625568829058,2024-07-01
Trinidad and Tobago,2024,8,2024-08,0.6576318751005714,2024-08-01
Trinidad and Tobago,2024,9,2024-09,0.6540033148935722,2024-09-01
Trinidad and Tobago,2024,10,2024-10,0.47871965201758326,2024-10-01
Trinidad and Tobago,2024,11,2024-11,0.7070537240178348,2024-11-01
Trinidad and Tobago,2024,12,2024-12,0.3926529435501773,2024-12-01
