id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f1v7,2007-01-07 06:15:33.510000+00:00,2007,1,2007-01,4.7,"102 km N of Charlotte Amalie, U.S. Virgin Islands",Anguilla,AIA,202.28615033768452,81.42189497262898
usp000f5rs,2007-02-27 09:42:40.610000+00:00,2007,2,2007-02,5.0,"30 km E of Parham, Antigua and Barbuda",Anguilla,AIA,211.38861366112033,109.89437356844616
usp000f8sb,2007-04-05 13:14:42.490000+00:00,2007,4,2007-04,4.5,"124 km ENE of Codrington, Antigua and Barbuda",Anguilla,AIA,250.26115356769898,50.88207454028602
usp000f93a,2007-04-08 16:08:57.240000+00:00,2007,4,2007-04,4.7,"81 km NW of San Antonio, Puerto Rico",Anguilla,AIA,476.34511303798877,20.683771418492288
usp000fcy0,2007-05-28 18:24:28.940000+00:00,2007,5,2007-05,4.5,"65 km W of Pointe-Noire, Guadeloupe",Anguilla,AIA,243.2777463625886,52.690107656447886
usp000fe7b,2007-06-17 09:03:06.860000+00:00,2007,6,2007-06,4.8,"94 km N of Charlotte Amalie, U.S. Virgin Islands",Anguilla,AIA,171.1297207996571,106.75704221792488
usp000fg60,2007-07-14 18:11:51.190000+00:00,2007,7,2007-07,4.6,"22 km NW of Anse-Bertrand, Guadeloupe",Anguilla,AIA,239.92110739347387,60.11985643566521
usp000fjvs,2007-08-16 07:20:26.760000+00:00,2007,8,2007-08,4.9,"144 km NE of Beauséjour, Guadeloupe",Anguilla,AIA,310.5647592614273,59.65092654971254
usp000fkbq,2007-08-21 03:57:48.420000+00:00,2007,8,2007-08,4.5,"6 km NE of Marigot, Dominica",Anguilla,AIA,365.12522432927307,28.651057044904267
usp000fn7q,2007-09-14 06:03:15+00:00,2007,9,2007-09,4.8,"36 km E of Cruz Bay, U.S. Virgin Islands",Anguilla,AIA,116.48267431443584,140.30110339440645
usp000fng5,2007-09-16 23:46:51.590000+00:00,2007,9,2007-09,4.5,"90 km N of Cruz Bay, U.S. Virgin Islands",Anguilla,AIA,151.3046740861335,83.45379194550559
usp000fs3p,2007-11-07 06:30:34.210000+00:00,2007,11,2007-11,4.8,"45 km NE of La Trinité, Martinique",Anguilla,AIA,462.12953267854374,24.917155939878803
usp000ftfj,2007-11-28 14:18:11.190000+00:00,2007,11,2007-11,4.8,"63 km NE of Sainte-Marie, Martinique",Anguilla,AIA,452.4467727408048,26.153168760559055
usp000ftj1,2007-11-29 19:00:20.420000+00:00,2007,11,2007-11,7.4,"18 km WNW of Basse-Pointe, Martinique",Anguilla,AIA,426.9030700495926,592.914077461003
usp000ftj6,2007-11-29 19:34:46.280000+00:00,2007,11,2007-11,5.1,Leeward Islands,Anguilla,AIA,406.2386109866196,46.544038652428355
usp000ftj8,2007-11-29 20:11:11.040000+00:00,2007,11,2007-11,4.5,"21 km S of Berekua, Dominica",Anguilla,AIA,415.51977994623365,22.269489538169612
usp000ftj9,2007-11-29 20:17:06.680000+00:00,2007,11,2007-11,4.5,Leeward Islands,Anguilla,AIA,413.14840515860897,22.535107656733985
usp000ftjt,2007-11-30 04:00:00.230000+00:00,2007,11,2007-11,5.0,"22 km SSE of Berekua, Dominica",Anguilla,AIA,417.83188598283425,39.1461979418819
usp000ftvv,2007-12-05 12:11:23.080000+00:00,2007,12,2007-12,5.2,"19 km S of Berekua, Dominica",Anguilla,AIA,413.53081962457236,50.35345032664286
usp000fuqp,2007-12-19 01:57:23.960000+00:00,2007,12,2007-12,5.3,"97 km N of Cruz Bay, U.S. Virgin Islands",Anguilla,AIA,152.80532750644383,208.05945056820553
usp000fur4,2007-12-19 02:48:52.110000+00:00,2007,12,2007-12,4.5,"95 km N of Cruz Bay, U.S. Virgin Islands",Anguilla,AIA,157.74887665781495,80.80768528744431
usp000fur8,2007-12-19 03:14:24.630000+00:00,2007,12,2007-12,4.6,"120 km NNE of Cruz Bay, U.S. Virgin Islands",Anguilla,AIA,157.8953872314152,90.60131956964426
usp000fv4j,2007-12-24 02:32:46.930000+00:00,2007,12,2007-12,4.6,"25 km WNW of Basse-Pointe, Martinique",Anguilla,AIA,420.37630103034854,24.387341549692035
usp000fvet,2007-12-28 03:34:13.430000+00:00,2007,12,2007-12,5.2,"99 km N of Cruz Bay, U.S. Virgin Islands",Anguilla,AIA,157.23931843778212,181.3673712361543
usp000fvh8,2007-12-28 18:18:07.290000+00:00,2007,12,2007-12,4.6,"100 km NNE of Cruz Bay, U.S. Virgin Islands",Anguilla,AIA,140.59186498278254,98.78901249179818
usp000fy4h,2008-02-04 07:43:56.130000+00:00,2008,2,2008-02,5.5,Puerto Rico region,Anguilla,AIA,389.87587263384177,80.05626040467993
usp000fyaz,2008-02-06 18:37:57.870000+00:00,2008,2,2008-02,5.3,"66 km ENE of La Trinité, Martinique",Anguilla,AIA,472.97454735194435,41.970951988144726
usp000fz2y,2008-02-17 01:50:08.850000+00:00,2008,2,2008-02,4.5,"24 km WNW of Saint-Pierre, Martinique",Anguilla,AIA,433.9098673431152,20.31312284017997
usp000g5d2,2008-05-03 06:36:44.140000+00:00,2008,5,2008-05,4.5,"132 km NNE of Cruz Bay, U.S. Virgin Islands",Anguilla,AIA,121.71675484129926,96.75990317118242
usp000g5ft,2008-05-04 11:15:48.950000+00:00,2008,5,2008-05,4.5,"190 km N of Charlotte Amalie, U.S. Virgin Islands",Anguilla,AIA,248.56653069766477,51.31503585126813
usp000g7dc,2008-05-21 11:43:17.490000+00:00,2008,5,2008-05,4.6,"37 km E of Grand-Bourg, Guadeloupe",Anguilla,AIA,353.73972684366095,34.030156237369624
usp000g8u7,2008-06-07 16:56:08.760000+00:00,2008,6,2008-06,4.9,"169 km NNE of Cruz Bay, U.S. Virgin Islands",Anguilla,AIA,161.64994679220314,125.59767514545824
usp000gatu,2008-06-28 08:03:47.630000+00:00,2008,6,2008-06,4.6,"20 km N of Basse-Pointe, Martinique",Anguilla,AIA,424.98870192163923,23.831356279375232
usp000gjyf,2008-10-11 10:40:14.060000+00:00,2008,10,2008-10,6.1,"91 km N of Charlotte Amalie, U.S. Virgin Islands",Anguilla,AIA,169.61781482106414,480.48473529379277
usp000gmmf,2008-11-01 17:25:08.260000+00:00,2008,11,2008-11,4.5,"30 km WNW of Bolands, Antigua and Barbuda",Anguilla,AIA,156.43180547768728,81.34158869707628
usp000gmpc,2008-11-02 08:05:21.410000+00:00,2008,11,2008-11,4.8,"20 km E of Market Shop, Saint Kitts and Nevis",Anguilla,AIA,144.48332336607692,121.97152384173575
usp000gmqj,2008-11-02 20:42:37.150000+00:00,2008,11,2008-11,5.4,"106 km N of Brenas, Puerto Rico",Anguilla,AIA,343.06309775077347,90.16706815372581
usp000gmqv,2008-11-02 21:01:02.160000+00:00,2008,11,2008-11,4.8,Puerto Rico region,Anguilla,AIA,340.80454716809754,45.7038019157768
usp000gnkr,2008-11-13 14:53:00.510000+00:00,2008,11,2008-11,4.6,"112 km N of Brenas, Puerto Rico",Anguilla,AIA,341.641391809641,36.15223436438285
usp000gp8v,2008-11-23 09:05:20.280000+00:00,2008,11,2008-11,5.0,"113 km N of Brenas, Puerto Rico",Anguilla,AIA,338.96465419443547,58.069435685971754
usp000gpsj,2008-12-02 00:33:13.830000+00:00,2008,12,2008-12,4.6,"114 km N of Brenas, Puerto Rico",Anguilla,AIA,342.717441878207,35.958248606962165
usp000gqbz,2008-12-10 21:33:29.060000+00:00,2008,12,2008-12,4.8,"64 km ESE of Beauséjour, Guadeloupe",Anguilla,AIA,374.80201138975445,38.55917854558144
usp000gqth,2008-12-17 19:55:53.970000+00:00,2008,12,2008-12,4.6,"76 km NNW of Charlotte Amalie, U.S. Virgin Islands",Anguilla,AIA,201.55548421211998,72.83293762786163
usp000gtfg,2009-02-05 06:08:04.090000+00:00,2009,2,2009-02,4.5,"53 km ESE of Beauséjour, Guadeloupe",Anguilla,AIA,362.12528166962653,29.084053982881688
usp000gtvj,2009-02-13 04:24:40.880000+00:00,2009,2,2009-02,4.5,"129 km N of Brenas, Puerto Rico",Anguilla,AIA,341.99532174598164,32.163743841160006
usp000gtvn,2009-02-13 04:39:32.990000+00:00,2009,2,2009-02,4.8,"110 km N of Brenas, Puerto Rico",Anguilla,AIA,341.7108841613579,45.49715526613409
usp000guvq,2009-03-12 02:05:38.460000+00:00,2009,3,2009-03,5.1,"66 km N of Brenas, Puerto Rico",Anguilla,AIA,331.69042480180406,67.56836249884697
usp000gxb3,2009-05-20 03:36:09.490000+00:00,2009,5,2009-05,5.0,"73 km NNE of Vieques, Puerto Rico",Anguilla,AIA,235.00183690971656,97.65623911775022
usp000gxm1,2009-05-28 16:28:08.880000+00:00,2009,5,2009-05,4.6,"65 km ENE of La Trinité, Martinique",Anguilla,AIA,466.08046878229624,19.405244604554106
usp000gxra,2009-06-01 04:33:54.010000+00:00,2009,6,2009-06,4.5,"148 km NNW of The Valley, Anguilla",Anguilla,AIA,104.10673386536111,105.66595919906786
usp000gxrb,2009-06-01 04:35:09.920000+00:00,2009,6,2009-06,5.0,"155 km NNW of The Valley, Anguilla",Anguilla,AIA,113.64943334859586,179.14858866027774
usp000gy52,2009-06-13 16:12:32.360000+00:00,2009,6,2009-06,4.9,"79 km N of Arecibo, Puerto Rico",Anguilla,AIA,358.19014816289985,47.011052658994444
usp000gzh3,2009-07-21 19:00:22.130000+00:00,2009,7,2009-07,4.7,"86 km N of Charlotte Amalie, U.S. Virgin Islands",Anguilla,AIA,164.52072122527656,98.34398289253014
usp000h0a2,2009-08-13 14:48:40.160000+00:00,2009,8,2009-08,4.9,"98 km N of Suárez, Puerto Rico",Anguilla,AIA,274.3182148683135,71.50321426850887
usp000h0bt,2009-08-14 09:48:15.830000+00:00,2009,8,2009-08,4.5,"96 km N of Suárez, Puerto Rico",Anguilla,AIA,267.1287386236145,46.76676336518496
usp000h0bu,2009-08-14 09:50:24.140000+00:00,2009,8,2009-08,5.1,"92 km N of Suárez, Puerto Rico",Anguilla,AIA,266.8253828268089,93.45360154821999
usp000h1qu,2009-09-21 03:55:01.280000+00:00,2009,9,2009-09,4.5,"78 km N of The Valley, Anguilla",Anguilla,AIA,64.24012683071152,128.97464376539395
