id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000hb9x,2010-04-13 02:37:51.970000+00:00,2010,4,2010-04,4.9,"56 km S of Guisa, Cuba",Bahamas,BHS,491.0425903546991,24.19438365998389
usp000hdss,2010-06-10 02:39:49.640000+00:00,2010,6,2010-06,4.8,"50 km S of Guisa, Cuba",Bahamas,BHS,485.4651539471078,22.173069201582255
usp000j82q,2011-09-15 08:43:07.250000+00:00,2011,9,2011-09,5.2,"65 km SW of Niquero, Cuba",Bahamas,BHS,496.7414516144289,33.21541195475322
usc000lzju,2014-01-09 20:57:43.340000+00:00,2014,1,2014-01,5.0,"26 km NNW of Corralillo, Cuba",Bahamas,BHS,308.95801747820565,67.46929767163758
usc000n5v0,2014-03-09 11:26:18.290000+00:00,2014,3,2014-03,4.7,"27 km NNE of Martí, Cuba",Bahamas,BHS,315.39756290700313,46.25118817973043
us10007tmh,2017-01-17 09:08:02.030000+00:00,2017,1,2017-01,5.8,"44 km S of Guisa, Cuba",Bahamas,BHS,480.10526135302615,72.0219160957572
us7000in9m,2022-11-08 11:33:37.933000+00:00,2022,11,2022-11,5.0,"57 km NNE of Puerto Padre, Cuba",Bahamas,BHS,275.43381972576833,79.78165843433479
us6000j9yf,2022-12-17 06:40:52.333000+00:00,2022,12,2022-12,4.8,"67 km N of Puerto Padre, Cuba",Bahamas,BHS,264.7678245216912,66.84423757978124
us7000nr0n,2024-11-10 15:50:03.006000+00:00,2024,11,2024-11,5.9,"38 km S of Bartolomé Masó, Cuba",Bahamas,BHS,474.39171559420646,83.15176618483054
us7000nr0v,2024-11-10 16:49:50.426000+00:00,2024,11,2024-11,6.8,"42 km SSW of Bartolomé Masó, Cuba",Bahamas,BHS,476.0401972182514,232.42982002072608
us7000nr1g,2024-11-10 18:45:37.801000+00:00,2024,11,2024-11,4.6,"48 km SSW of Bartolomé Masó, Cuba",Bahamas,BHS,479.1012123729768,18.182137425925486
us7000p0uj,2024-12-23 06:00:56.943000+00:00,2024,12,2024-12,5.9,"41 km SSW of Guisa, Cuba",Bahamas,BHS,475.4977387001667,82.69319645179365
