id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f2ux,2007-01-17 08:55:45.110000+00:00,2007,1,2007-01,4.9,"75 km SSE of Champerico, Guatemala",Belize,BLZ,381.6330938196425,41.811357315477835
usp000f2yn,2007-01-19 01:43:14.070000+00:00,2007,1,2007-01,5.4,"56 km S of El Rosario, El Salvador",Belize,BLZ,332.59882441934883,95.01033061338245
usp000f304,2007-01-19 14:50:26.590000+00:00,2007,1,2007-01,4.6,"107 km SW of Corinto, Nicaragua",Belize,BLZ,472.5834181957109,18.784435404304773
usp000f39t,2007-01-22 09:04:06.620000+00:00,2007,1,2007-01,4.7,"79 km SW of Corinto, Nicaragua",Belize,BLZ,481.40445203369694,20.167102916695008
usp000f3h9,2007-01-25 00:06:55.300000+00:00,2007,1,2007-01,5.1,"3 km WNW of Estación Huehuetán, Mexico",Belize,BLZ,370.7642076024421,55.57708350536489
usp000f3r0,2007-01-27 09:12:41.180000+00:00,2007,1,2007-01,4.6,"21 km SSW of La Libertad, El Salvador",Belize,BLZ,295.9995358953082,45.41979550746373
usp000f3rg,2007-01-27 11:22:16.970000+00:00,2007,1,2007-01,4.5,"73 km SSW of Corinto, Nicaragua",Belize,BLZ,480.5325270266888,16.08928985293273
usp000f4ch,2007-02-06 11:32:40.800000+00:00,2007,2,2007-02,4.5,"1 km ENE of Monte Redondo, Mexico",Belize,BLZ,313.2575335117082,37.133844026119355
usp000f4k5,2007-02-09 20:42:24.760000+00:00,2007,2,2007-02,4.8,Gulf of America,Belize,BLZ,376.10447935845144,38.30888395711161
usp000f4tn,2007-02-13 18:38:49.750000+00:00,2007,2,2007-02,5.0,"59 km SSW of Puerto San José, Guatemala",Belize,BLZ,347.2636548477391,55.70915289208543
usp000f511,2007-02-17 08:57:18.880000+00:00,2007,2,2007-02,4.6,"141 km SSW of Chirilagua, El Salvador",Belize,BLZ,448.66305281876953,21.170960391332855
