id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f5fk,2007-02-23 14:48:20+00:00,2007,2,2007-02,4.9,"19 km NW of Petit Valley, Trinidad and Tobago",Barbados,BRB,344.8944717848554,50.24249180257203
usp000f5rs,2007-02-27 09:42:40.610000+00:00,2007,2,2007-02,5.0,"30 km E of Parham, Antigua and Barbuda",Barbados,BRB,481.7090558802189,28.443437129038145
usp000f6kf,2007-03-12 23:23:51.600000+00:00,2007,3,2007-03,4.5,"33 km NNE of Güiria, Venezuela",Barbados,BRB,380.3643342410213,26.549071837345426
usp000f7ru,2007-03-29 05:24:44.370000+00:00,2007,3,2007-03,4.7,"49 km NW of Speightstown, Barbados",Barbados,BRB,45.285153001959216,178.5108178395031
usp000fa8f,2007-04-21 09:47:58.130000+00:00,2007,4,2007-04,4.6,"35 km WNW of Güiria, Venezuela",Barbados,BRB,427.5492950969195,23.528189098825422
usp000fcy0,2007-05-28 18:24:28.940000+00:00,2007,5,2007-05,4.5,"65 km W of Pointe-Noire, Guadeloupe",Barbados,BRB,451.1342484379377,18.63693225366621
usp000fg60,2007-07-14 18:11:51.190000+00:00,2007,7,2007-07,4.6,"22 km NW of Anse-Bertrand, Guadeloupe",Barbados,BRB,440.76715039994843,22.02349772740217
usp000fg9v,2007-07-16 01:32:18.900000+00:00,2007,7,2007-07,4.9,"8 km NW of Güiria, Venezuela",Barbados,BRB,413.47401906761684,35.657638318630696
usp000fjvs,2007-08-16 07:20:26.760000+00:00,2007,8,2007-08,4.9,"144 km NE of Beauséjour, Guadeloupe",Barbados,BRB,472.19242677571583,26.585643285041876
usp000fkbq,2007-08-21 03:57:48.420000+00:00,2007,8,2007-08,4.5,"6 km NE of Marigot, Dominica",Barbados,BRB,313.82656703316815,37.02834217235972
usp000fn3z,2007-09-13 06:37:22.700000+00:00,2007,9,2007-09,5.0,"58 km ESE of Le Marin, Martinique",Barbados,BRB,133.16171280745246,162.49612713133658
usp000fs3p,2007-11-07 06:30:34.210000+00:00,2007,11,2007-11,4.8,"45 km NE of La Trinité, Martinique",Barbados,BRB,217.27629081799057,84.75991826560342
usp000ftfj,2007-11-28 14:18:11.190000+00:00,2007,11,2007-11,4.8,"63 km NE of Sainte-Marie, Martinique",Barbados,BRB,229.6570757738062,79.67205080584195
usp000ftj1,2007-11-29 19:00:20.420000+00:00,2007,11,2007-11,7.4,"18 km WNW of Basse-Pointe, Martinique",Barbados,BRB,259.7104969553114,1367.8731390932385
usp000ftj6,2007-11-29 19:34:46.280000+00:00,2007,11,2007-11,5.1,Leeward Islands,Barbados,BRB,280.2317385128495,87.39458240876829
usp000ftj8,2007-11-29 20:11:11.040000+00:00,2007,11,2007-11,4.5,"21 km S of Berekua, Dominica",Barbados,BRB,270.2594895702434,46.04038800519461
usp000ftj9,2007-11-29 20:17:06.680000+00:00,2007,11,2007-11,4.5,Leeward Islands,Barbados,BRB,269.4431111440352,46.22870398398487
usp000ftjt,2007-11-30 04:00:00.230000+00:00,2007,11,2007-11,5.0,"22 km SSE of Berekua, Dominica",Barbados,BRB,266.9530442387015,83.23746203162804
usp000ftvv,2007-12-05 12:11:23.080000+00:00,2007,12,2007-12,5.2,"19 km S of Berekua, Dominica",Barbados,BRB,272.06093959366365,102.14736686768285
usp000fub3,2007-12-12 20:31:31.100000+00:00,2007,12,2007-12,4.9,"14 km NW of Güiria, Venezuela",Barbados,BRB,415.4356901732336,35.309605131500106
usp000fubb,2007-12-13 00:18:28.890000+00:00,2007,12,2007-12,4.6,"11 km WNW of Gros Islet, Saint Lucia",Barbados,BRB,179.75751858769965,81.21972374604356
usp000fv4j,2007-12-24 02:32:46.930000+00:00,2007,12,2007-12,4.6,"25 km WNW of Basse-Pointe, Martinique",Barbados,BRB,266.44254295555305,52.65351505916072
usp000fyaz,2008-02-06 18:37:57.870000+00:00,2008,2,2008-02,5.3,"66 km ENE of La Trinité, Martinique",Barbados,BRB,209.79001051134355,156.47565579854208
usp000fyuk,2008-02-13 20:06:40.690000+00:00,2008,2,2008-02,4.8,"28 km S of Güiria, Venezuela",Barbados,BRB,430.66829286136834,29.161891138013182
usp000fz2y,2008-02-17 01:50:08.850000+00:00,2008,2,2008-02,4.5,"24 km WNW of Saint-Pierre, Martinique",Barbados,BRB,259.2017073692022,48.65759552722253
