id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f49p,2007-02-04 20:56:59.130000+00:00,2007,2,2007-02,6.2,"108 km NNW of Lucea, Jamaica",Cayman Islands,CYM,141.28818527579816,621.1501635133271
usp000g17b,2008-03-11 06:53:21.570000+00:00,2008,3,2008-03,4.6,"74 km ESE of East End, Cayman Islands",Cayman Islands,CYM,73.39449151076693,138.23750496701055
usp000g2fy,2008-03-27 09:42:57.620000+00:00,2008,3,2008-03,5.6,"136 km NE of Savannah Bight, Honduras",Cayman Islands,CYM,453.38346911838187,65.38683344941386
usp000gm8k,2008-10-28 23:48:54.980000+00:00,2008,10,2008-10,4.9,"128 km NNW of Lucea, Jamaica",Cayman Islands,CYM,114.26552522750035,159.17525878610107
usp000gx5r,2009-05-15 23:08:15+00:00,2009,5,2009-05,4.6,"116 km NE of Savannah Bight, Honduras",Cayman Islands,CYM,478.85063124348267,18.204932205461642
usp000h54b,2009-12-17 13:38:14.760000+00:00,2009,12,2009-12,4.8,"153 km NE of Savannah Bight, Honduras",Cayman Islands,CYM,434.51484006988966,28.606387236423405
usp000h6bt,2010-01-19 14:23:38.850000+00:00,2010,1,2010-01,5.9,"46 km SE of East End, Cayman Islands",Cayman Islands,CYM,47.84685295435024,701.6198685428242
usp000h8e6,2010-03-01 16:05:37.100000+00:00,2010,3,2010-03,4.6,"49 km SSW of George Town, Cayman Islands",Cayman Islands,CYM,49.960677307632345,155.42174033561415
usp000h9fk,2010-03-16 00:09:35.390000+00:00,2010,3,2010-03,4.6,"41 km S of Santiago de Cuba, Cuba",Cayman Islands,CYM,434.2310901554624,22.755122004454087
usp000h9rp,2010-03-20 18:08:08.720000+00:00,2010,3,2010-03,5.6,"53 km SSW of Guantánamo, Cuba",Cayman Islands,CYM,489.37752140069915,54.617298416012304
usp000h9ru,2010-03-20 19:31:28.840000+00:00,2010,3,2010-03,5.0,"45 km SSW of Guantánamo, Cuba",Cayman Islands,CYM,485.65473998924244,27.887792061188602
usp000hagv,2010-04-05 07:29:12.160000+00:00,2010,4,2010-04,5.1,"160 km S of George Town, Cayman Islands",Cayman Islands,CYM,167.00634249570277,153.93959337574418
usp000hb9x,2010-04-13 02:37:51.970000+00:00,2010,4,2010-04,4.9,"56 km S of Guisa, Cuba",Cayman Islands,CYM,345.94633692648927,49.97894382361176
usp000hbk0,2010-04-18 01:38:27.020000+00:00,2010,4,2010-04,5.0,"145 km SSW of George Town, Cayman Islands",Cayman Islands,CYM,151.8414733160005,148.0063777742825
usp000hbkf,2010-04-18 03:24:48.090000+00:00,2010,4,2010-04,4.5,"146 km SSW of George Town, Cayman Islands",Cayman Islands,CYM,152.07090600495255,83.1346788267958
usp000hdss,2010-06-10 02:39:49.640000+00:00,2010,6,2010-06,4.8,"50 km S of Guisa, Cuba",Cayman Islands,CYM,347.4785828423302,44.2038243445945
usp000hexu,2010-07-05 19:06:16.960000+00:00,2010,7,2010-07,4.7,"49 km SSW of Guantánamo, Cuba",Cayman Islands,CYM,485.4282411283621,19.765416376752473
usp000hmke,2010-10-04 11:48:35.480000+00:00,2010,10,2010-10,5.1,"43 km SSW of Guantánamo, Cuba",Cayman Islands,CYM,479.80684206507294,32.219046271848974
usp000hq4f,2010-11-26 06:16:46.600000+00:00,2010,11,2010-11,4.6,"54 km SSW of George Town, Cayman Islands",Cayman Islands,CYM,54.8446987961122,151.67229203046094
usp000hzfv,2011-04-07 20:41:51.470000+00:00,2011,4,2011-04,5.8,"109 km NE of Savannah Bight, Honduras",Cayman Islands,CYM,481.99283059849864,71.34538186141481
usp000hzfx,2011-04-07 21:06:03.880000+00:00,2011,4,2011-04,5.0,"112 km NE of Savannah Bight, Honduras",Cayman Islands,CYM,479.55420037063215,28.75155148928351
usp000j1pm,2011-05-16 15:07:07.410000+00:00,2011,5,2011-05,4.7,"15 km SSW of Black River, Jamaica",Cayman Islands,CYM,294.8918042735749,51.24489212347522
usp000j2fc,2011-05-31 00:12:02.210000+00:00,2011,5,2011-05,4.5,"41 km SW of Guantánamo, Cuba",Cayman Islands,CYM,475.90791765370477,16.46565787451865
usp000j82q,2011-09-15 08:43:07.250000+00:00,2011,9,2011-09,5.2,"65 km SW of Niquero, Cuba",Cayman Islands,CYM,199.9133907530268,146.51887914222442
usp000jg19,2012-03-10 08:34:50.820000+00:00,2012,3,2012-03,4.8,"100 km NNE of Oracabessa, Jamaica",Cayman Islands,CYM,373.86428933169645,38.74039199454735
usp000jjyv,2012-05-03 18:08:02.850000+00:00,2012,5,2012-05,4.8,"121 km NE of Savannah Bight, Honduras",Cayman Islands,CYM,469.43956725806254,24.02287224896463
