id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f5rs,2007-02-27 09:42:40.610000+00:00,2007,2,2007-02,5.0,"30 km E of Parham, Antigua and Barbuda",Dominica,DMA,171.16891772664758,134.37281574808952
usp000f7ru,2007-03-29 05:24:44.370000+00:00,2007,3,2007-03,4.7,"49 km NW of Speightstown, Barbados",Dominica,DMA,241.61588735123746,66.88639155905908
usp000f8sb,2007-04-05 13:14:42.490000+00:00,2007,4,2007-04,4.5,"124 km ENE of Codrington, Antigua and Barbuda",Dominica,DMA,280.9122602920797,43.65226442389793
usp000fcy0,2007-05-28 18:24:28.940000+00:00,2007,5,2007-05,4.5,"65 km W of Pointe-Noire, Guadeloupe",Dominica,DMA,122.59278421735976,96.33700743202363
usp000fg60,2007-07-14 18:11:51.190000+00:00,2007,7,2007-07,4.6,"22 km NW of Anse-Bertrand, Guadeloupe",Dominica,DMA,117.5160643140675,110.87078147346446
usp000fjvs,2007-08-16 07:20:26.760000+00:00,2007,8,2007-08,4.9,"144 km NE of Beauséjour, Guadeloupe",Dominica,DMA,236.88485966549482,86.2206044206098
usp000fkbq,2007-08-21 03:57:48.420000+00:00,2007,8,2007-08,4.5,"6 km NE of Marigot, Dominica",Dominica,DMA,7.550138889029953,171.23994580506712
usp000fn3z,2007-09-13 06:37:22.700000+00:00,2007,9,2007-09,5.0,"58 km ESE of Le Marin, Martinique",Dominica,DMA,152.94596523345865,147.1912713022006
usp000fn7q,2007-09-14 06:03:15+00:00,2007,9,2007-09,4.8,"36 km E of Cruz Bay, U.S. Virgin Islands",Dominica,DMA,460.80276384947354,25.083001959040352
usp000fs3p,2007-11-07 06:30:34.210000+00:00,2007,11,2007-11,4.8,"45 km NE of La Trinité, Martinique",Dominica,DMA,80.24372407546855,168.17172043392975
usp000ftfj,2007-11-28 14:18:11.190000+00:00,2007,11,2007-11,4.8,"63 km NE of Sainte-Marie, Martinique",Dominica,DMA,83.15630551640339,165.740397806774
usp000ftj1,2007-11-29 19:00:20.420000+00:00,2007,11,2007-11,7.4,"18 km WNW of Basse-Pointe, Martinique",Dominica,DMA,31.295077550649307,4285.915482161422
usp000ftj6,2007-11-29 19:34:46.280000+00:00,2007,11,2007-11,5.1,Leeward Islands,Dominica,DMA,12.823758644715836,332.7771989771956
usp000ftj8,2007-11-29 20:11:11.040000+00:00,2007,11,2007-11,4.5,"21 km S of Berekua, Dominica",Dominica,DMA,19.8590068258005,161.01884778296548
usp000ftj9,2007-11-29 20:17:06.680000+00:00,2007,11,2007-11,4.5,Leeward Islands,Dominica,DMA,17.453981004690505,162.9668089849745
usp000ftjt,2007-11-30 04:00:00.230000+00:00,2007,11,2007-11,5.0,"22 km SSE of Berekua, Dominica",Dominica,DMA,21.580389500564966,283.8826035678241
