id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f1v7,2007-01-07 06:15:33.510000+00:00,2007,1,2007-01,4.7,"102 km N of Charlotte Amalie, U.S. Virgin Islands",Dominican Republic,DOM,366.2210343537561,35.87245736652056
usp000f665,2007-03-06 07:03:11.800000+00:00,2007,3,2007-03,4.5,"18 km NE of Luperón, Dominican Republic",Dominican Republic,DOM,13.285566619323776,166.3990178689769
usp000f6d1,2007-03-09 20:49:51.740000+00:00,2007,3,2007-03,4.9,"24 km SSW of Boca de Yuma, Dominican Republic",Dominican Republic,DOM,0.2891189989705144,281.4311634437596
usp000f93a,2007-04-08 16:08:57.240000+00:00,2007,4,2007-04,4.7,"81 km NW of San Antonio, Puerto Rico",Dominican Republic,DOM,81.72222182942646,148.77927910695516
usp000fdmg,2007-06-08 13:30:46.770000+00:00,2007,6,2007-06,5.0,"1 km S of Piedra Blanca, Dominican Republic",Dominican Republic,DOM,0.0,316.22776601683796
usp000fe7b,2007-06-17 09:03:06.860000+00:00,2007,6,2007-06,4.8,"94 km N of Charlotte Amalie, U.S. Virgin Islands",Dominican Republic,DOM,394.69664174652223,34.90817402212095
usp000fmjg,2007-09-06 12:36:24+00:00,2007,9,2007-09,4.8,"120 km S of Boca de Yuma, Dominican Republic",Dominican Republic,DOM,95.10894463383651,156.1253952419891
usp000fn5j,2007-09-13 17:00:26.030000+00:00,2007,9,2007-09,4.8,"38 km SSE of Boca de Yuma, Dominican Republic",Dominican Republic,DOM,18.322754999515606,229.19896020161636
usp000fn7q,2007-09-14 06:03:15+00:00,2007,9,2007-09,4.8,"36 km E of Cruz Bay, U.S. Virgin Islands",Dominican Republic,DOM,432.65582058876,28.873526009296516
usp000fng5,2007-09-16 23:46:51.590000+00:00,2007,9,2007-09,4.5,"90 km N of Cruz Bay, U.S. Virgin Islands",Dominican Republic,DOM,412.5291963746307,22.604985456329263
