id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f5fk,2007-02-23 14:48:20+00:00,2007,2,2007-02,4.9,"19 km NW of Petit Valley, Trinidad and Tobago",Grenada,GRD,134.24363731472036,144.04349336974408
usp000f6kf,2007-03-12 23:23:51.600000+00:00,2007,3,2007-03,4.5,"33 km NNE of Güiria, Venezuela",Grenada,GRD,137.79344476017698,89.28640489147703
usp000f7ru,2007-03-29 05:24:44.370000+00:00,2007,3,2007-03,4.7,"49 km NW of Speightstown, Barbados",Grenada,GRD,204.69381488557698,80.44758819903208
usp000fa8f,2007-04-21 09:47:58.130000+00:00,2007,4,2007-04,4.6,"35 km WNW of Güiria, Venezuela",Grenada,GRD,172.0877497387707,84.39489932117645
usp000fcy0,2007-05-28 18:24:28.940000+00:00,2007,5,2007-05,4.5,"65 km W of Pointe-Noire, Guadeloupe",Grenada,GRD,435.2979612194712,20.172628345896516
usp000fg60,2007-07-14 18:11:51.190000+00:00,2007,7,2007-07,4.6,"22 km NW of Anse-Bertrand, Guadeloupe",Grenada,GRD,472.8950018295381,18.755193575194298
usp000fg9v,2007-07-16 01:32:18.900000+00:00,2007,7,2007-07,4.9,"8 km NW of Güiria, Venezuela",Grenada,GRD,168.38050564932652,121.44129163559975
usp000fkbq,2007-08-21 03:57:48.420000+00:00,2007,8,2007-08,4.5,"6 km NE of Marigot, Dominica",Grenada,GRD,350.9625779674642,30.753492634097174
usp000fn3z,2007-09-13 06:37:22.700000+00:00,2007,9,2007-09,5.0,"58 km ESE of Le Marin, Martinique",Grenada,GRD,227.40637041087263,101.43628632339151
usp000fs3p,2007-11-07 06:30:34.210000+00:00,2007,11,2007-11,4.8,"45 km NE of La Trinité, Martinique",Grenada,GRD,294.50897108127333,57.60788022345914
usp000ftfj,2007-11-28 14:18:11.190000+00:00,2007,11,2007-11,4.8,"63 km NE of Sainte-Marie, Martinique",Grenada,GRD,315.7165700916963,51.81197876015258
usp000ftj1,2007-11-29 19:00:20.420000+00:00,2007,11,2007-11,7.4,"18 km WNW of Basse-Pointe, Martinique",Grenada,GRD,277.2227633378462,1253.1943208998398
usp000ftj6,2007-11-29 19:34:46.280000+00:00,2007,11,2007-11,5.1,Leeward Islands,Grenada,GRD,293.7964557711852,81.66370927640146
usp000ftj8,2007-11-29 20:11:11.040000+00:00,2007,11,2007-11,4.5,"21 km S of Berekua, Dominica",Grenada,GRD,287.70450452111857,42.19467113434106
usp000ftj9,2007-11-29 20:17:06.680000+00:00,2007,11,2007-11,4.5,Leeward Islands,Grenada,GRD,296.2532581082767,40.42911398797837
usp000ftjt,2007-11-30 04:00:00.230000+00:00,2007,11,2007-11,5.0,"22 km SSE of Berekua, Dominica",Grenada,GRD,287.7172072875806,75.02914935141486
usp000ftvv,2007-12-05 12:11:23.080000+00:00,2007,12,2007-12,5.2,"19 km S of Berekua, Dominica",Grenada,GRD,289.6376104166217,93.55347422911251
usp000fub3,2007-12-12 20:31:31.100000+00:00,2007,12,2007-12,4.9,"14 km NW of Güiria, Venezuela",Grenada,GRD,167.86436248933185,121.75510184901378
usp000fubb,2007-12-13 00:18:28.890000+00:00,2007,12,2007-12,4.6,"11 km WNW of Gros Islet, Saint Lucia",Grenada,GRD,185.04912103687982,79.09899021017385
usp000fv4j,2007-12-24 02:32:46.930000+00:00,2007,12,2007-12,4.6,"25 km WNW of Basse-Pointe, Martinique",Grenada,GRD,281.9276665564999,48.7306103104459
usp000fv8w,2007-12-26 05:59:52.400000+00:00,2007,12,2007-12,4.6,"99 km ENE of Guatire, Venezuela",Grenada,GRD,455.5208254038227,20.457336820334
usp000fyaz,2008-02-06 18:37:57.870000+00:00,2008,2,2008-02,5.3,"66 km ENE of La Trinité, Martinique",Grenada,GRD,305.42773253299845,97.00008296082251
usp000fyuk,2008-02-13 20:06:40.690000+00:00,2008,2,2008-02,4.8,"28 km S of Güiria, Venezuela",Grenada,GRD,198.46313999046234,93.11995709499503
usp000fz2y,2008-02-17 01:50:08.850000+00:00,2008,2,2008-02,4.5,"24 km WNW of Saint-Pierre, Martinique",Grenada,GRD,262.09442416932455,47.95889732741901
usp000g13h,2008-03-09 22:17:09.310000+00:00,2008,3,2008-03,4.5,"30 km WNW of Güiria, Venezuela",Grenada,GRD,178.2066103921802,72.95066620483085
usp000g1v8,2008-03-20 15:28:18.960000+00:00,2008,3,2008-03,4.7,"18 km SSW of Güiria, Venezuela",Grenada,GRD,190.59003638534452,86.3254785295673
usp000g289,2008-03-24 13:30:18.970000+00:00,2008,3,2008-03,4.6,"40 km NNW of Güiria, Venezuela",Grenada,GRD,146.21658917183385,96.04941206174676
usp000g7dc,2008-05-21 11:43:17.490000+00:00,2008,5,2008-05,4.6,"37 km E of Grand-Bourg, Guadeloupe",Grenada,GRD,389.8036557412034,28.415291551648355
usp000gap7,2008-06-27 05:08:11.640000+00:00,2008,6,2008-06,5.2,"64 km N of Güiria, Venezuela",Grenada,GRD,119.83296970284287,218.66839260823718
usp000gatu,2008-06-28 08:03:47.630000+00:00,2008,6,2008-06,4.6,"20 km N of Basse-Pointe, Martinique",Grenada,GRD,291.650183672031,46.418347230462906
usp000gb74,2008-07-03 06:34:53.700000+00:00,2008,7,2008-07,5.8,"80 km E of Rio Claro, Trinidad and Tobago",Grenada,GRD,239.9165302737227,239.34693693213487
usp000gc5v,2008-07-14 17:31:30.020000+00:00,2008,7,2008-07,4.6,"78 km ESE of Sangre Grande, Trinidad and Tobago",Grenada,GRD,225.8695989306097,64.4956461022893
usp000gedr,2008-08-11 07:19:26.400000+00:00,2008,8,2008-08,5.2,"6 km N of Cumaná, Venezuela",Grenada,GRD,314.6329960043729,82.56255609959567
usp000gfc3,2008-08-23 21:53:13.490000+00:00,2008,8,2008-08,4.9,"53 km ESE of Sangre Grande, Trinidad and Tobago",Grenada,GRD,208.59122928757907,99.32301646944597
usp000gg74,2008-09-02 06:18:57.010000+00:00,2008,9,2008-09,4.7,"49 km E of Dennery, Saint Lucia",Grenada,GRD,188.1798382334063,87.37207969801395
