id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f49p,2007-02-04 20:56:59.130000+00:00,2007,2,2007-02,6.2,"108 km NNW of Lucea, Jamaica",Haiti,HTI,461.998821619033,124.96324826432901
usp000f665,2007-03-06 07:03:11.800000+00:00,2007,3,2007-03,4.5,"18 km NE of Luperón, Dominican Republic",Haiti,HTI,106.96343808584649,104.16740503376518
usp000f6d1,2007-03-09 20:49:51.740000+00:00,2007,3,2007-03,4.9,"24 km SSW of Boca de Yuma, Dominican Republic",Haiti,HTI,331.7557173967554,53.65393922283547
usp000f93a,2007-04-08 16:08:57.240000+00:00,2007,4,2007-04,4.7,"81 km NW of San Antonio, Puerto Rico",Haiti,HTI,440.49595953337314,24.744300282296855
usp000fdmg,2007-06-08 13:30:46.770000+00:00,2007,6,2007-06,5.0,"1 km S of Piedra Blanca, Dominican Republic",Haiti,HTI,152.58391010383397,147.45796940196
usp000fmjg,2007-09-06 12:36:24+00:00,2007,9,2007-09,4.8,"120 km S of Boca de Yuma, Dominican Republic",Haiti,HTI,385.06940195181943,36.62962039193963
usp000fn5j,2007-09-13 17:00:26.030000+00:00,2007,9,2007-09,4.8,"38 km SSE of Boca de Yuma, Dominican Republic",Haiti,HTI,368.441705619072,39.805125885494164
usp000fq16,2007-10-07 00:13:34.450000+00:00,2007,10,2007-10,4.5,"12 km NW of Sánchez, Dominican Republic",Haiti,HTI,216.2995878651966,60.29918090106531
usp000fqx8,2007-10-19 20:54:38.410000+00:00,2007,10,2007-10,4.6,"10 km SW of Cotuí, Dominican Republic",Haiti,HTI,158.9833135092459,90.10981978857208
usp000freb,2007-10-28 02:21:18.930000+00:00,2007,10,2007-10,4.6,"5 km S of Villa Vásquez, Dominican Republic",Haiti,HTI,32.87835088253705,169.27996797285078
usp000fxfx,2008-01-26 03:04:01.760000+00:00,2008,1,2008-01,4.6,"4 km S of Puerto Plata, Dominican Republic",Haiti,HTI,116.54840040336602,111.40850954451278
usp000g598,2008-05-01 20:57:28.180000+00:00,2008,5,2008-05,4.6,"4 km S of Ti Port-de-Paix, Haiti",Haiti,HTI,0.0,199.52623149688787
usp000g7cr,2008-05-21 06:21:35.440000+00:00,2008,5,2008-05,4.5,"2 km NNW of Juncalito Abajo, Dominican Republic",Haiti,HTI,90.58365841416965,113.05768409347772
usp000gem0,2008-08-13 23:03:09.670000+00:00,2008,8,2008-08,4.6,"7 km WNW of La Entrada, Dominican Republic",Haiti,HTI,190.26911639485348,77.06121699615262
usp000gm8k,2008-10-28 23:48:54.980000+00:00,2008,10,2008-10,4.9,"128 km NNW of Lucea, Jamaica",Haiti,HTI,488.7870626438002,24.468783557086663
usp000gnrg,2008-11-15 11:58:31.490000+00:00,2008,11,2008-11,4.5,"7 km ESE of Punta Cana, Dominican Republic",Haiti,HTI,374.39828368964,27.352967962050005
