id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f49p,2007-02-04 20:56:59.130000+00:00,2007,2,2007-02,6.2,"108 km NNW of Lucea, Jamaica",Jamaica,JAM,113.01834793400936,715.4573929681701
usp000g17b,2008-03-11 06:53:21.570000+00:00,2008,3,2008-03,4.6,"74 km ESE of East End, Cayman Islands",Jamaica,JAM,256.32496744226063,55.3856689277922
usp000g598,2008-05-01 20:57:28.180000+00:00,2008,5,2008-05,4.6,"4 km S of Ti Port-de-Paix, Haiti",Jamaica,JAM,442.2958237987646,21.855805733897025
usp000gm8k,2008-10-28 23:48:54.980000+00:00,2008,10,2008-10,4.9,"128 km NNW of Lucea, Jamaica",Jamaica,JAM,133.56623591469656,144.53219684396015
usp000h60h,2010-01-12 21:53:10.060000+00:00,2010,1,2010-01,7.0,"10 km SE of Léogâne, Haiti",Jamaica,JAM,409.161529212284,408.80578068881766
usp000h60j,2010-01-12 22:00:41.490000+00:00,2010,1,2010-01,6.0,"4 km SSW of Grangwav, Haiti",Jamaica,JAM,384.7163156416206,146.08281702327258
usp000h60k,2010-01-12 22:07:02.040000+00:00,2010,1,2010-01,5.0,"5 km S of Léogâne, Haiti",Jamaica,JAM,403.5042669994093,42.05344870687025
usp000h60n,2010-01-12 22:12:04.650000+00:00,2010,1,2010-01,5.7,Haiti region,Jamaica,JAM,415.7038547796201,88.57487514329712
usp000h60q,2010-01-12 22:52:51.260000+00:00,2010,1,2010-01,4.7,Haiti region,Jamaica,JAM,378.6308536992039,33.71425348579357
usp000h60r,2010-01-12 23:07:03.740000+00:00,2010,1,2010-01,4.6,"5 km ENE of Léogâne, Haiti",Jamaica,JAM,409.2075542515392,25.787965835570528
usp000h60s,2010-01-12 23:12:03.990000+00:00,2010,1,2010-01,5.3,Haiti region,Jamaica,JAM,414.80984911178507,56.13734351477214
usp000h60v,2010-01-12 23:27:36.860000+00:00,2010,1,2010-01,4.7,"12 km N of Grangwav, Haiti",Jamaica,JAM,389.6493935353767,31.907082301154293
usp000h60w,2010-01-12 23:35:39.210000+00:00,2010,1,2010-01,4.6,"5 km S of Tigwav, Haiti",Jamaica,JAM,375.3861678085688,30.539315149796725
usp000h60x,2010-01-12 23:47:38.100000+00:00,2010,1,2010-01,4.5,"1 km SSE of Tigwav, Haiti",Jamaica,JAM,376.9276887162092,27.00921261193347
usp000h60z,2010-01-13 00:23:13.200000+00:00,2010,1,2010-01,4.5,"8 km NNW of Grangwav, Haiti",Jamaica,JAM,386.0607431628986,25.803567135134283
usp000h612,2010-01-13 00:43:27.280000+00:00,2010,1,2010-01,5.0,"8 km SE of Gressier, Haiti",Jamaica,JAM,421.1088086868737,38.51002854454405
usp000h614,2010-01-13 00:59:05.050000+00:00,2010,1,2010-01,5.2,"8 km SSW of Grangwav, Haiti",Jamaica,JAM,381.61183970145896,59.06638868625925
usp000h615,2010-01-13 01:00:26.360000+00:00,2010,1,2010-01,4.7,Haiti region,Jamaica,JAM,354.8032443652989,37.979963589555126
usp000h616,2010-01-13 01:05:48.610000+00:00,2010,1,2010-01,4.5,"3 km NNW of Léogâne, Haiti",Jamaica,JAM,402.5781545853443,23.758151349455794
usp000h619,2010-01-13 01:16:50.980000+00:00,2010,1,2010-01,5.1,"4 km W of Grangwav, Haiti",Jamaica,JAM,382.1261950202881,52.50776230166402
usp000h61a,2010-01-13 01:24:31.990000+00:00,2010,1,2010-01,4.6,"6 km NE of Tigwav, Haiti",Jamaica,JAM,382.59470260161123,29.45819680398482
usp000h61b,2010-01-13 01:32:44.220000+00:00,2010,1,2010-01,5.6,"1 km SSE of Tigwav, Haiti",Jamaica,JAM,376.86919397832406,95.86033520002094
usp000h61c,2010-01-13 01:36:31.370000+00:00,2010,1,2010-01,5.6,"5 km SE of Tigwav, Haiti",Jamaica,JAM,380.4085916049483,94.1788187588243
usp000h61e,2010-01-13 01:55:16+00:00,2010,1,2010-01,5.1,"10 km SSE of Tigwav, Haiti",Jamaica,JAM,377.4727015687382,53.74380901679968
usp000h61f,2010-01-13 01:57:34.550000+00:00,2010,1,2010-01,5.4,"4 km SSW of Tigwav, Haiti",Jamaica,JAM,373.8290298085936,77.31087273498575
usp000h61g,2010-01-13 02:11:30.680000+00:00,2010,1,2010-01,5.0,"7 km SE of Miragoâne, Haiti",Jamaica,JAM,357.19979834453227,53.00910762459401
usp000h61h,2010-01-13 02:17:56.270000+00:00,2010,1,2010-01,4.6,"11 km NW of Tigwav, Haiti",Jamaica,JAM,370.534535957336,31.289201377337214
usp000h61k,2010-01-13 02:26:33.670000+00:00,2010,1,2010-01,4.7,"4 km ENE of Tigwav, Haiti",Jamaica,JAM,380.9447292066322,33.32644821726578
usp000h61m,2010-01-13 02:43:47.160000+00:00,2010,1,2010-01,4.7,"11 km WNW of Tigwav, Haiti",Jamaica,JAM,366.81170584614404,35.766669468511
usp000h61q,2010-01-13 03:17:11.500000+00:00,2010,1,2010-01,4.6,"9 km W of Tigwav, Haiti",Jamaica,JAM,366.10549172713377,31.989836892657625
usp000h61r,2010-01-13 03:31:57.190000+00:00,2010,1,2010-01,4.7,"11 km S of Tigwav, Haiti",Jamaica,JAM,374.0486195835908,34.495603137239065
usp000h61v,2010-01-13 04:29:49.020000+00:00,2010,1,2010-01,4.5,"8 km WNW of Tigwav, Haiti",Jamaica,JAM,368.61966526340694,28.154807820622516
usp000h61x,2010-01-13 04:37:50.890000+00:00,2010,1,2010-01,4.5,"4 km N of Grangwav, Haiti",Jamaica,JAM,386.9831444106837,25.68483492981507
usp000h61z,2010-01-13 05:02:57.500000+00:00,2010,1,2010-01,5.8,Haiti region,Jamaica,JAM,371.2666589593475,124.10940498638425
usp000h620,2010-01-13 05:18:02.440000+00:00,2010,1,2010-01,5.2,"12 km S of Tigwav, Haiti",Jamaica,JAM,372.22020588932264,61.906192330583735
usp000h621,2010-01-13 05:24:02.190000+00:00,2010,1,2010-01,4.8,"6 km ENE of Tigwav, Haiti",Jamaica,JAM,382.6060407622563,37.083570185198354
usp000h622,2010-01-13 05:49:22.680000+00:00,2010,1,2010-01,4.6,"11 km WSW of Tigwav, Haiti",Jamaica,JAM,364.9536003030582,32.17461257958038
usp000h623,2010-01-13 06:24:15.940000+00:00,2010,1,2010-01,4.6,"6 km S of Tigwav, Haiti",Jamaica,JAM,374.4543116018272,30.681938404553467
usp000h626,2010-01-13 06:48:03.360000+00:00,2010,1,2010-01,4.5,"1 km SSW of Tigwav, Haiti",Jamaica,JAM,375.7325061141334,27.1711005493249
usp000h627,2010-01-13 06:58:25.920000+00:00,2010,1,2010-01,4.6,"4 km WSW of Tigwav, Haiti",Jamaica,JAM,372.0905814460309,31.046708820928774
usp000h629,2010-01-13 07:23:03.780000+00:00,2010,1,2010-01,4.9,"6 km SSE of Tigwav, Haiti",Jamaica,JAM,378.8880780662708,42.389177732669076
usp000h62n,2010-01-13 12:28:24.730000+00:00,2010,1,2010-01,4.5,"4 km WSW of Grangwav, Haiti",Jamaica,JAM,382.6626190336218,26.245731441656595
usp000h62p,2010-01-13 12:41:44.110000+00:00,2010,1,2010-01,4.6,Haiti region,Jamaica,JAM,376.249276810296,30.407805333103756
usp000h62s,2010-01-13 14:43:44.730000+00:00,2010,1,2010-01,5.1,"6 km W of Tigwav, Haiti",Jamaica,JAM,369.91988082305545,55.812205555392886
usp000h62y,2010-01-13 18:54:16.600000+00:00,2010,1,2010-01,4.5,"12 km SSE of Léogâne, Haiti",Jamaica,JAM,407.71769617308075,23.155399159483522
usp000h630,2010-01-13 21:26:16.380000+00:00,2010,1,2010-01,4.9,"6 km SSE of Gressier, Haiti",Jamaica,JAM,418.45203009902303,34.78107188096125
usp000h632,2010-01-13 22:21:13.310000+00:00,2010,1,2010-01,4.9,"15 km NNW of Jacmel, Haiti",Jamaica,JAM,406.6695330255034,36.891671195406786
usp000h63m,2010-01-14 10:32:28.580000+00:00,2010,1,2010-01,4.5,"0 km N of Grangwav, Haiti",Jamaica,JAM,387.021647172448,25.679890720343348
usp000h63t,2010-01-14 12:39:03.220000+00:00,2010,1,2010-01,4.8,"6 km SSE of Grangwav, Haiti",Jamaica,JAM,389.6963215938693,35.79193594914906
usp000h64z,2010-01-15 08:56:04.890000+00:00,2010,1,2010-01,4.6,"5 km WSW of Grangwav, Haiti",Jamaica,JAM,381.5290219231807,29.615580890342642
usp000h65j,2010-01-15 13:41:42.030000+00:00,2010,1,2010-01,4.6,"10 km SSW of Grangwav, Haiti",Jamaica,JAM,380.1346490292864,29.822778142808875
usp000h661,2010-01-15 20:04:12.020000+00:00,2010,1,2010-01,4.6,"7 km NNE of Tigwav, Haiti",Jamaica,JAM,381.99216680545726,29.547078713411633
usp000h663,2010-01-15 21:04:47.270000+00:00,2010,1,2010-01,4.6,"12 km SSE of Marigot, Haiti",Jamaica,JAM,436.65346098060445,22.481177622215153
usp000h66z,2010-01-16 15:59:55.730000+00:00,2010,1,2010-01,4.5,"8 km SSW of Gressier, Haiti",Jamaica,JAM,411.74419007455754,22.69388508910885
usp000h68j,2010-01-17 17:51:08.310000+00:00,2010,1,2010-01,4.7,"9 km NNW of Grangwav, Haiti",Jamaica,JAM,384.24636191969023,32.78080592659205
usp000h68m,2010-01-17 18:19:19.870000+00:00,2010,1,2010-01,4.5,"7 km NNW of Grangwav, Haiti",Jamaica,JAM,385.40661581534886,25.888099391569224
usp000h6bt,2010-01-19 14:23:38.850000+00:00,2010,1,2010-01,5.9,"46 km SE of East End, Cayman Islands",Jamaica,JAM,289.3571173555513,209.73407894476816
usp000h6d2,2010-01-20 11:03:43.490000+00:00,2010,1,2010-01,5.9,"4 km ESE of Tigwav, Haiti",Jamaica,JAM,381.09933864380025,132.5724556569791
usp000h6ex,2010-01-21 16:45:20.410000+00:00,2010,1,2010-01,4.9,"4 km SSE of Tigwav, Haiti",Jamaica,JAM,378.53833615971774,42.46336894238781
usp000h6ey,2010-01-21 16:54:09.510000+00:00,2010,1,2010-01,4.8,"4 km NE of Grangwav, Haiti",Jamaica,JAM,390.6492485037594,35.6218060797145
usp000h6k0,2010-01-24 21:51:54.940000+00:00,2010,1,2010-01,4.5,"1 km W of Léogâne, Haiti",Jamaica,JAM,402.49307060405664,23.768260690184942
usp000h6m6,2010-01-25 18:40:28.540000+00:00,2010,1,2010-01,4.8,"11 km NW of Tigwav, Haiti",Jamaica,JAM,367.8467926470125,39.92370508754393
usp000h6mx,2010-01-26 11:16:57.880000+00:00,2010,1,2010-01,4.5,"13 km ENE of Miragoâne, Haiti",Jamaica,JAM,365.9144306120076,28.538221845804838
usp000h6nj,2010-01-27 00:57:25.390000+00:00,2010,1,2010-01,4.9,"3 km W of Tigwav, Haiti",Jamaica,JAM,372.5076176940585,43.763292243399235
usp000h6xt,2010-02-04 05:00:01.160000+00:00,2010,2,2010-02,4.6,Haiti region,Jamaica,JAM,389.46074237073384,28.46405325930085
usp000h77e,2010-02-12 12:09:14.870000+00:00,2010,2,2010-02,5.3,"49 km SSW of Maisí, Cuba",Jamaica,JAM,297.89536251715975,100.72295054621053
usp000h7jg,2010-02-22 09:36:03.060000+00:00,2010,2,2010-02,4.6,"6 km SSW of Gressier, Haiti",Jamaica,JAM,411.3025101042526,25.51925239970388
usp000h7kk,2010-02-23 06:26:20.840000+00:00,2010,2,2010-02,4.8,"8 km SE of Léogâne, Haiti",Jamaica,JAM,407.70240353140576,32.71037171784518
usp000h8e6,2010-03-01 16:05:37.100000+00:00,2010,3,2010-03,4.6,"49 km SSW of George Town, Cayman Islands",Jamaica,JAM,361.7214663919264,32.69880006358385
usp000h9fk,2010-03-16 00:09:35.390000+00:00,2010,3,2010-03,4.6,"41 km S of Santiago de Cuba, Cuba",Jamaica,JAM,183.88480035435603,79.56081614090962
usp000h9rp,2010-03-20 18:08:08.720000+00:00,2010,3,2010-03,5.6,"53 km SSW of Guantánamo, Cuba",Jamaica,JAM,212.06683804957666,218.52579667124692
usp000h9ru,2010-03-20 19:31:28.840000+00:00,2010,3,2010-03,5.0,"45 km SSW of Guantánamo, Cuba",Jamaica,JAM,218.78169284126892,105.90624994402272
usp000hagv,2010-04-05 07:29:12.160000+00:00,2010,4,2010-04,5.1,"160 km S of George Town, Cayman Islands",Jamaica,JAM,366.4893552307674,56.777789026222834
usp000hb9x,2010-04-13 02:37:51.970000+00:00,2010,4,2010-04,4.9,"56 km S of Guisa, Cuba",Jamaica,JAM,162.24073031271578,125.22721738223201
usp000hbk0,2010-04-18 01:38:27.020000+00:00,2010,4,2010-04,5.0,"145 km SSW of George Town, Cayman Islands",Jamaica,JAM,372.22385332387864,49.17293968887985
usp000hbkf,2010-04-18 03:24:48.090000+00:00,2010,4,2010-04,4.5,"146 km SSW of George Town, Cayman Islands",Jamaica,JAM,371.14716724187434,27.801239972444407
usp000hdss,2010-06-10 02:39:49.640000+00:00,2010,6,2010-06,4.8,"50 km S of Guisa, Cuba",Jamaica,JAM,168.43934884069407,108.20282541694793
usp000hexu,2010-07-05 19:06:16.960000+00:00,2010,7,2010-07,4.7,"49 km SSW of Guantánamo, Cuba",Jamaica,JAM,214.7101800135431,76.51785164669911
usp000hmke,2010-10-04 11:48:35.480000+00:00,2010,10,2010-10,5.1,"43 km SSW of Guantánamo, Cuba",Jamaica,JAM,220.07861744787826,118.06070010766085
usp000hpfr,2010-11-12 16:59:00.170000+00:00,2010,11,2010-11,4.5,"8 km NW of Léogâne, Haiti",Jamaica,JAM,398.6019694829805,24.235211876004055
usp000hq4f,2010-11-26 06:16:46.600000+00:00,2010,11,2010-11,4.6,"54 km SSW of George Town, Cayman Islands",Jamaica,JAM,368.18513340179203,31.658923338466415
usp000j1pm,2011-05-16 15:07:07.410000+00:00,2011,5,2011-05,4.7,"15 km SSW of Black River, Jamaica",Jamaica,JAM,5.043678432943865,218.29701210804762
usp000j2fc,2011-05-31 00:12:02.210000+00:00,2011,5,2011-05,4.5,"41 km SW of Guantánamo, Cuba",Jamaica,JAM,222.70051142480563,58.39988391717353
usp000j82q,2011-09-15 08:43:07.250000+00:00,2011,9,2011-09,5.2,"65 km SW of Niquero, Cuba",Jamaica,JAM,123.71147612236507,214.46871162377718
usp000jfxp,2012-03-08 02:51:32.400000+00:00,2012,3,2012-03,4.5,"12 km NNE of Belle-Anse, Haiti",Jamaica,JAM,466.3844376949894,17.268676799168393
usp000jg19,2012-03-10 08:34:50.820000+00:00,2012,3,2012-03,4.8,"100 km NNE of Oracabessa, Jamaica",Jamaica,JAM,103.42035301513279,149.77025073102675
usp000juda,2012-10-24 17:55:59.990000+00:00,2012,10,2012-10,5.4,Cayman Islands region,Jamaica,JAM,376.9475112311834,76.11475950870384
usp000jz6d,2013-02-08 17:48:00.490000+00:00,2013,2,2013-02,4.7,"42 km SSW of El Cobre, Cuba",Jamaica,JAM,175.96297435773843,92.87551951721281
usc000nklf,2014-03-22 01:11:40.430000+00:00,2014,3,2014-03,4.6,"15 km N of Baradères, Haiti",Jamaica,JAM,299.23962840234145,44.68990208115489
usc000s98a,2014-09-03 10:01:05.110000+00:00,2014,9,2014-09,5.2,"44 km S of Bodden Town, Cayman Islands",Jamaica,JAM,341.1314969968308,72.31732715400678
usc000s9tf,2014-09-03 23:34:14.060000+00:00,2014,9,2014-09,5.2,"45 km S of Bodden Town, Cayman Islands",Jamaica,JAM,342.562805435174,71.80163264677292
usb000smx6,2014-10-16 16:45:32.680000+00:00,2014,10,2014-10,4.6,"147 km SSW of George Town, Cayman Islands",Jamaica,JAM,381.2420399011684,29.65810709011787
us20002znk,2015-07-23 20:22:41.020000+00:00,2015,7,2015-07,4.9,"229 km SW of George Town, Cayman Islands",Jamaica,JAM,482.5463238387542,25.244337133842794
us10003yjy,2015-11-16 00:39:33.520000+00:00,2015,11,2015-11,5.8,"166 km SSW of George Town, Cayman Islands",Jamaica,JAM,390.4831142808224,112.73965226812034
us10004f4x,2016-01-17 06:37:27.330000+00:00,2016,1,2016-01,4.9,"29 km SSW of El Cobre, Cuba",Jamaica,JAM,189.4931170375579,109.27502752618413
us10004f52,2016-01-17 06:48:09.200000+00:00,2016,1,2016-01,4.6,"30 km SSW of El Cobre, Cuba",Jamaica,JAM,189.00902203890536,77.54827174532674
us10004f5e,2016-01-17 08:17:34.690000+00:00,2016,1,2016-01,4.9,"30 km SSW of El Cobre, Cuba",Jamaica,JAM,188.829699597066,109.63810416706613
us10004f5j,2016-01-17 08:30:23.720000+00:00,2016,1,2016-01,5.2,"39 km SSW of El Cobre, Cuba",Jamaica,JAM,178.6007992666631,162.99462836555645
us10004gbq,2016-01-17 08:33:47.660000+00:00,2016,1,2016-01,4.5,"55 km SSW of El Cobre, Cuba",Jamaica,JAM,161.82022118057873,79.17933581368598
us10004fav,2016-01-18 06:16:39.070000+00:00,2016,1,2016-01,4.5,"24 km SSW of El Cobre, Cuba",Jamaica,JAM,194.92874665435897,67.09924056563689
us10004h43,2016-01-25 18:05:54.490000+00:00,2016,1,2016-01,4.6,"32 km SSW of El Cobre, Cuba",Jamaica,JAM,185.94964150638194,78.7436395129574
us20004wlv,2016-01-28 21:07:33.090000+00:00,2016,1,2016-01,4.7,"10 km NW of Cayes-Jacmel, Haiti",Jamaica,JAM,419.9643378943864,27.419468192335298
us10006u8f,2016-09-30 23:06:49.180000+00:00,2016,9,2016-09,5.0,"46 km SSW of Maisí, Cuba",Jamaica,JAM,299.91470059885813,70.59005210132945
us10007tmh,2017-01-17 09:08:02.030000+00:00,2017,1,2017-01,5.8,"44 km S of Guisa, Cuba",Jamaica,JAM,174.3748929712301,332.16183495294007
us10008kpi,2017-04-25 14:42:58.870000+00:00,2017,4,2017-04,4.7,"56 km SE of Santiago de Cuba, Cuba",Jamaica,JAM,200.87157316626215,81.99982414630495
us2000bkpi,2017-11-09 03:19:11.200000+00:00,2017,11,2017-11,4.5,"75 km SW of Niquero, Cuba",Jamaica,JAM,123.6919831013093,95.80899209054712
us2000d3lu,2018-02-17 00:25:16.300000+00:00,2018,2,2018-02,4.6,"34 km NNW of Petit Trou de Nippes, Haiti",Jamaica,JAM,308.7373743017247,42.61723898287753
us2000h762,2018-09-03 14:35:03.710000+00:00,2018,9,2018-09,4.7,"140 km W of Negril, Jamaica",Jamaica,JAM,148.2926700175112,106.6563110438125
us1000h8an,2018-10-07 00:11:51.220000+00:00,2018,10,2018-10,5.9,"21 km WNW of Port-de-Paix, Haiti",Jamaica,JAM,433.59296871311,101.96821843556832
us1000h8hi,2018-10-07 20:00:18.890000+00:00,2018,10,2018-10,5.4,"22 km WNW of Port-de-Paix, Haiti",Jamaica,JAM,433.8782750087794,57.25920273849991
us70003jzx,2019-05-12 08:18:38.163000+00:00,2019,5,2019-05,4.5,"271 km SSW of Rocky Point, Jamaica",Jamaica,JAM,277.6479125351343,44.370591507960654
