id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f1v7,2007-01-07 06:15:33.510000+00:00,2007,1,2007-01,4.7,"102 km N of Charlotte Amalie, U.S. Virgin Islands",Saint Kitts and Nevis,KNA,332.7265242667015,42.41246679493388
usp000f5rs,2007-02-27 09:42:40.610000+00:00,2007,2,2007-02,5.0,"30 km E of Parham, Antigua and Barbuda",Saint Kitts and Nevis,KNA,116.8851088960866,176.27357436400044
usp000f7ru,2007-03-29 05:24:44.370000+00:00,2007,3,2007-03,4.7,"49 km NW of Speightstown, Barbados",Saint Kitts and Nevis,KNA,498.53597531930427,18.51155426395527
usp000f8sb,2007-04-05 13:14:42.490000+00:00,2007,4,2007-04,4.5,"124 km ENE of Codrington, Antigua and Barbuda",Saint Kitts and Nevis,KNA,223.23023174961642,58.24541054929618
usp000fcy0,2007-05-28 18:24:28.940000+00:00,2007,5,2007-05,4.5,"65 km W of Pointe-Noire, Guadeloupe",Saint Kitts and Nevis,KNA,106.45845614884703,104.43075064563288
usp000fe7b,2007-06-17 09:03:06.860000+00:00,2007,6,2007-06,4.8,"94 km N of Charlotte Amalie, U.S. Virgin Islands",Saint Kitts and Nevis,KNA,304.8479088223471,54.70552331847736
usp000fg60,2007-07-14 18:11:51.190000+00:00,2007,7,2007-07,4.6,"22 km NW of Anse-Bertrand, Guadeloupe",Saint Kitts and Nevis,KNA,114.99249295282857,112.27859624250091
usp000fjvs,2007-08-16 07:20:26.760000+00:00,2007,8,2007-08,4.9,"144 km NE of Beauséjour, Guadeloupe",Saint Kitts and Nevis,KNA,249.88812306760383,80.79320476095785
usp000fkbq,2007-08-21 03:57:48.420000+00:00,2007,8,2007-08,4.5,"6 km NE of Marigot, Dominica",Saint Kitts and Nevis,KNA,229.17379555128886,56.539950765821374
usp000fn3z,2007-09-13 06:37:22.700000+00:00,2007,9,2007-09,5.0,"58 km ESE of Le Marin, Martinique",Saint Kitts and Nevis,KNA,409.5122038743294,40.80896195762572
usp000fn7q,2007-09-14 06:03:15+00:00,2007,9,2007-09,4.8,"36 km E of Cruz Bay, U.S. Virgin Islands",Saint Kitts and Nevis,KNA,211.85519198299943,87.08879786723531
usp000fng5,2007-09-16 23:46:51.590000+00:00,2007,9,2007-09,4.5,"90 km N of Cruz Bay, U.S. Virgin Islands",Saint Kitts and Nevis,KNA,287.0584488843217,42.33119204152795
usp000fs3p,2007-11-07 06:30:34.210000+00:00,2007,11,2007-11,4.8,"45 km NE of La Trinité, Martinique",Saint Kitts and Nevis,KNA,327.62792613973903,48.816315572672
