id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f5fk,2007-02-23 14:48:20+00:00,2007,2,2007-02,4.9,"19 km NW of Petit Valley, Trinidad and Tobago",Saint Lucia,LCA,339.1835058677253,51.697837278227105
usp000f5rs,2007-02-27 09:42:40.610000+00:00,2007,2,2007-02,5.0,"30 km E of Parham, Antigua and Barbuda",Saint Lucia,LCA,351.89816161883385,54.433072766088436
usp000f6kf,2007-03-12 23:23:51.600000+00:00,2007,3,2007-03,4.5,"33 km NNE of Güiria, Venezuela",Saint Lucia,LCA,352.75879851500895,30.478528943997993
usp000f7ru,2007-03-29 05:24:44.370000+00:00,2007,3,2007-03,4.7,"49 km NW of Speightstown, Barbados",Saint Lucia,LCA,108.93841191946953,129.85038576283586
usp000f8sb,2007-04-05 13:14:42.490000+00:00,2007,4,2007-04,4.5,"124 km ENE of Codrington, Antigua and Barbuda",Saint Lucia,LCA,444.7710802096067,19.239415362060168
usp000fa8f,2007-04-21 09:47:58.130000+00:00,2007,4,2007-04,4.6,"35 km WNW of Güiria, Venezuela",Saint Lucia,LCA,387.5030155936027,28.74404559109788
usp000fcy0,2007-05-28 18:24:28.940000+00:00,2007,5,2007-05,4.5,"65 km W of Pointe-Noire, Guadeloupe",Saint Lucia,LCA,290.8272553663946,41.540970550097704
usp000fg60,2007-07-14 18:11:51.190000+00:00,2007,7,2007-07,4.6,"22 km NW of Anse-Bertrand, Guadeloupe",Saint Lucia,LCA,301.6657359091266,44.15106434971376
usp000fg9v,2007-07-16 01:32:18.900000+00:00,2007,7,2007-07,4.9,"8 km NW of Güiria, Venezuela",Saint Lucia,LCA,384.0875588963318,41.30137049661218
usp000fjvs,2007-08-16 07:20:26.760000+00:00,2007,8,2007-08,4.9,"144 km NE of Beauséjour, Guadeloupe",Saint Lucia,LCA,384.35272934500387,41.24664726735994
usp000fkbq,2007-08-21 03:57:48.420000+00:00,2007,8,2007-08,4.5,"6 km NE of Marigot, Dominica",Saint Lucia,LCA,172.62742796363634,75.01434181223404
usp000fn3z,2007-09-13 06:37:22.700000+00:00,2007,9,2007-09,5.0,"58 km ESE of Le Marin, Martinique",Saint Lucia,LCA,59.87925515507237,234.40876649114415
usp000fs3p,2007-11-07 06:30:34.210000+00:00,2007,11,2007-11,4.8,"45 km NE of La Trinité, Martinique",Saint Lucia,LCA,105.36992663918565,148.31740266844812
usp000ftfj,2007-11-28 14:18:11.190000+00:00,2007,11,2007-11,4.8,"63 km NE of Sainte-Marie, Martinique",Saint Lucia,LCA,126.63347909381712,133.3579448414278
usp000ftj1,2007-11-29 19:00:20.420000+00:00,2007,11,2007-11,7.4,"18 km WNW of Basse-Pointe, Martinique",Saint Lucia,LCA,102.92667230518236,2995.69483673573
usp000ftj6,2007-11-29 19:34:46.280000+00:00,2007,11,2007-11,5.1,Leeward Islands,Saint Lucia,LCA,123.26561311091466,191.57203917833735
usp000ftj8,2007-11-29 20:11:11.040000+00:00,2007,11,2007-11,4.5,"21 km S of Berekua, Dominica",Saint Lucia,LCA,114.40777512694257,100.36139121036669
usp000ftj9,2007-11-29 20:17:06.680000+00:00,2007,11,2007-11,4.5,Leeward Islands,Saint Lucia,LCA,118.78846092169286,98.18703249235804
usp000ftjt,2007-11-30 04:00:00.230000+00:00,2007,11,2007-11,5.0,"22 km SSE of Berekua, Dominica",Saint Lucia,LCA,112.59363717638772,180.09681125349928
usp000ftvv,2007-12-05 12:11:23.080000+00:00,2007,12,2007-12,5.2,"19 km S of Berekua, Dominica",Saint Lucia,LCA,116.43501365271386,222.41525964202654
usp000fub3,2007-12-12 20:31:31.100000+00:00,2007,12,2007-12,4.9,"14 km NW of Güiria, Venezuela",Saint Lucia,LCA,383.7223546059767,41.376856583759164
usp000fubb,2007-12-13 00:18:28.890000+00:00,2007,12,2007-12,4.6,"11 km WNW of Gros Islet, Saint Lucia",Saint Lucia,LCA,9.193374565428908,190.56223632088762
usp000fv4j,2007-12-24 02:32:46.930000+00:00,2007,12,2007-12,4.6,"25 km WNW of Basse-Pointe, Martinique",Saint Lucia,LCA,109.24093063964803,115.55435908668532
usp000fyaz,2008-02-06 18:37:57.870000+00:00,2008,2,2008-02,5.3,"66 km ENE of La Trinité, Martinique",Saint Lucia,LCA,117.63191546923589,248.06502740875914
usp000fyuk,2008-02-13 20:06:40.690000+00:00,2008,2,2008-02,4.8,"28 km S of Güiria, Venezuela",Saint Lucia,LCA,412.6670956550927,31.908382351431197
usp000fz2y,2008-02-17 01:50:08.850000+00:00,2008,2,2008-02,4.5,"24 km WNW of Saint-Pierre, Martinique",Saint Lucia,LCA,95.79543728304454,110.1495813837645
usp000g13h,2008-03-09 22:17:09.310000+00:00,2008,3,2008-03,4.5,"30 km WNW of Güiria, Venezuela",Saint Lucia,LCA,393.8965195225099,24.81216014989792
usp000g1v8,2008-03-20 15:28:18.960000+00:00,2008,3,2008-03,4.7,"18 km SSW of Güiria, Venezuela",Saint Lucia,LCA,406.09442881245275,29.388481870631896
usp000g289,2008-03-24 13:30:18.970000+00:00,2008,3,2008-03,4.6,"40 km NNW of Güiria, Venezuela",Saint Lucia,LCA,361.7520208982899,32.69380496667726
usp000g7dc,2008-05-21 11:43:17.490000+00:00,2008,5,2008-05,4.6,"37 km E of Grand-Bourg, Guadeloupe",Saint Lucia,LCA,205.42673298884588,71.43672186320005
usp000gap7,2008-06-27 05:08:11.640000+00:00,2008,6,2008-06,5.2,"64 km N of Güiria, Venezuela",Saint Lucia,LCA,334.60226179449694,74.71717107152244
usp000gatu,2008-06-28 08:03:47.630000+00:00,2008,6,2008-06,4.6,"20 km N of Basse-Pointe, Martinique",Saint Lucia,LCA,109.96157289772364,115.13874154395101
usp000gb74,2008-07-03 06:34:53.700000+00:00,2008,7,2008-07,5.8,"80 km E of Rio Claro, Trinidad and Tobago",Saint Lucia,LCA,394.90566483069557,110.2740295333509
usp000gc5v,2008-07-14 17:31:30.020000+00:00,2008,7,2008-07,4.6,"78 km ESE of Sangre Grande, Trinidad and Tobago",Saint Lucia,LCA,377.1200309671712,30.27570449567852
usp000gfc3,2008-08-23 21:53:13.490000+00:00,2008,8,2008-08,4.9,"53 km ESE of Sangre Grande, Trinidad and Tobago",Saint Lucia,LCA,370.25578262381373,44.25881517979449
usp000gg74,2008-09-02 06:18:57.010000+00:00,2008,9,2008-09,4.7,"49 km E of Dennery, Saint Lucia",Saint Lucia,LCA,50.66429343724302,173.77363454453715
usp000gmmf,2008-11-01 17:25:08.260000+00:00,2008,11,2008-11,4.5,"30 km WNW of Bolands, Antigua and Barbuda",Saint Lucia,LCA,378.27863898271414,26.827386882189
usp000gmpc,2008-11-02 08:05:21.410000+00:00,2008,11,2008-11,4.8,"20 km E of Market Shop, Saint Kitts and Nevis",Saint Lucia,LCA,385.30643627897365,36.586233720226915
usp000gqbz,2008-12-10 21:33:29.060000+00:00,2008,12,2008-12,4.8,"64 km ESE of Beauséjour, Guadeloupe",Saint Lucia,LCA,220.77380262901562,83.29055938529625
usp000gr3x,2008-12-21 12:55:38.660000+00:00,2008,12,2008-12,4.9,"18 km NW of Petit Valley, Trinidad and Tobago",Saint Lucia,LCA,338.8910363375156,51.77349279298517
usp000gtfg,2009-02-05 06:08:04.090000+00:00,2009,2,2009-02,4.5,"53 km ESE of Beauséjour, Guadeloupe",Saint Lucia,LCA,230.4815130408093,56.171465353326646
usp000gvgv,2009-03-28 13:10:16.400000+00:00,2009,3,2009-03,4.5,near the coast of Venezuela,Saint Lucia,LCA,422.6275280773751,21.491958004310938
usp000gvmr,2009-04-01 02:03:25.220000+00:00,2009,4,2009-04,4.6,"9 km SSE of Sangre Grande, Trinidad and Tobago",Saint Lucia,LCA,365.3714346853859,32.107464449128415
usp000gvrc,2009-04-04 09:24:33.810000+00:00,2009,4,2009-04,4.9,"12 km SSW of Rio Claro, Trinidad and Tobago",Saint Lucia,LCA,400.0639465486205,38.13047171764465
usp000gxf8,2009-05-24 05:13:22.850000+00:00,2009,5,2009-05,4.6,"78 km ENE of Crane, Barbados",Saint Lucia,LCA,239.83417361452118,60.145994347472524
usp000gxm1,2009-05-28 16:28:08.880000+00:00,2009,5,2009-05,4.6,"65 km ENE of La Trinité, Martinique",Saint Lucia,LCA,120.16744597303814,109.41067730824801
usp000h1pe,2009-09-19 23:10:02.080000+00:00,2009,9,2009-09,4.8,"36 km WNW of Güiria, Venezuela",Saint Lucia,LCA,388.8375697891028,35.945948306466704
usp000h2zx,2009-10-15 07:53:46.280000+00:00,2009,10,2009-10,4.6,"130 km ENE of La Trinité, Martinique",Saint Lucia,LCA,180.58736440088393,80.8834226851015
usp000h3zx,2009-11-12 23:03:39.880000+00:00,2009,11,2009-11,4.7,"60 km E of Codrington, Antigua and Barbuda",Saint Lucia,LCA,401.44555228535194,30.079600180127677
usp000h4b4,2009-11-22 22:51:00.100000+00:00,2009,11,2009-11,5.2,"34 km SSE of Rio Claro, Trinidad and Tobago",Saint Lucia,LCA,419.7664878649305,48.80773490545218
usp000h4b5,2009-11-22 23:34:16.340000+00:00,2009,11,2009-11,5.2,"30 km SSE of Rio Claro, Trinidad and Tobago",Saint Lucia,LCA,415.48888848065116,49.8628780663746
usp000h4h9,2009-11-28 08:18:35.640000+00:00,2009,11,2009-11,5.0,"138 km ENE of Le Vauclin, Martinique",Saint Lucia,LCA,176.88557756070443,130.58636970713147
usp000h5bv,2009-12-25 15:26:24.700000+00:00,2009,12,2009-12,4.9,"21 km SSW of Soufrière, Dominica",Saint Lucia,LCA,121.59771677154538,153.44541389487023
usp000h5r5,2010-01-05 03:36:16.400000+00:00,2010,1,2010-01,4.8,"34 km NNW of Güiria, Venezuela",Saint Lucia,LCA,364.3578145865586,40.626280097790065
usp000h65y,2010-01-15 18:00:46.700000+00:00,2010,1,2010-01,5.6,"33 km SW of Carúpano, Venezuela",Saint Lucia,LCA,464.0376651637782,61.99476429128156
usp000h6f2,2010-01-21 17:11:22.230000+00:00,2010,1,2010-01,4.7,"4 km WSW of Castle Bruce, Dominica",Saint Lucia,LCA,156.80595705121158,102.21160092152913
usp000h6k3,2010-01-24 22:43:23.180000+00:00,2010,1,2010-01,5.0,"34 km SSE of Beauséjour, Guadeloupe",Saint Lucia,LCA,221.02755521450374,104.72364796494053
usp000h7pm,2010-02-25 22:43:26.650000+00:00,2010,2,2010-02,4.9,"54 km NW of Codrington, Antigua and Barbuda",Saint Lucia,LCA,468.439605644295,27.08920880792775
usp000hbrn,2010-04-21 19:29:28.880000+00:00,2010,4,2010-04,4.6,"26 km S of Güiria, Venezuela",Saint Lucia,LCA,410.5607938807004,25.61406832489626
usp000hc82,2010-05-02 21:21:51.200000+00:00,2010,5,2010-05,4.6,"39 km NNE of Güiria, Venezuela",Saint Lucia,LCA,347.0374569829107,35.18987604830858
usp000hcfj,2010-05-07 23:12:10.910000+00:00,2010,5,2010-05,5.2,Leeward Islands,Saint Lucia,LCA,281.0320643291866,97.66672524613794
usp000heq1,2010-06-29 18:48:26.520000+00:00,2010,6,2010-06,4.5,"27 km N of Basse-Pointe, Martinique",Saint Lucia,LCA,116.97435286027753,99.08169332278636
usp000heyx,2010-07-06 13:47:49.640000+00:00,2010,7,2010-07,5.0,"29 km SW of Güiria, Venezuela",Saint Lucia,LCA,416.6974762641941,39.36886797950356
usp000hhp3,2010-08-06 17:49:31.620000+00:00,2010,8,2010-08,4.7,"150 km NE of Greenland, Barbados",Saint Lucia,LCA,245.80979293802096,65.49841892799029
usp000hj4g,2010-08-14 08:40:40.690000+00:00,2010,8,2010-08,5.2,"79 km N of Güiria, Venezuela",Saint Lucia,LCA,319.6646757414825,80.51132542813771
usp000hj9v,2010-08-16 04:30:15.920000+00:00,2010,8,2010-08,4.5,"13 km ESE of La Plaine, Dominica",Saint Lucia,LCA,137.80773928377067,89.28002358641746
usp000hmy5,2010-10-10 13:50:17.980000+00:00,2010,10,2010-10,4.5,"7 km WNW of Roseau, Dominica",Saint Lucia,LCA,150.34481617849596,83.85527349860442
usp000hs32,2010-12-27 01:00:14.330000+00:00,2010,12,2010-12,5.0,"10 km WNW of Petit Valley, Trinidad and Tobago",Saint Lucia,LCA,347.8800190463686,55.53773153583388
usp000htef,2011-01-21 03:37:16.710000+00:00,2011,1,2011-01,5.0,"35 km SW of Oranjestad, Bonaire, Saint Eustatius and Saba ",Saint Lucia,LCA,440.70897830005526,34.915045553170714
usp000htn0,2011-01-25 10:32:38.730000+00:00,2011,1,2011-01,4.5,"121 km SE of Beauséjour, Guadeloupe",Saint Lucia,LCA,202.7312465622514,64.53193557266745
