id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f1v7,2007-01-07 06:15:33.510000+00:00,2007,1,2007-01,4.7,"102 km N of Charlotte Amalie, U.S. Virgin Islands",Montserrat,MSR,431.4085226910597,25.894545681515172
usp000f5rs,2007-02-27 09:42:40.610000+00:00,2007,2,2007-02,5.0,"30 km E of Parham, Antigua and Barbuda",Montserrat,MSR,83.93889449318073,207.83993912303302
usp000f7ru,2007-03-29 05:24:44.370000+00:00,2007,3,2007-03,4.7,"49 km NW of Speightstown, Barbados",Montserrat,MSR,432.8314072796262,25.710974706688482
usp000f8sb,2007-04-05 13:14:42.490000+00:00,2007,4,2007-04,4.5,"124 km ENE of Codrington, Antigua and Barbuda",Montserrat,MSR,210.058512781216,62.21050619261099
usp000fcy0,2007-05-28 18:24:28.940000+00:00,2007,5,2007-05,4.5,"65 km W of Pointe-Noire, Guadeloupe",Montserrat,MSR,60.456236295634696,131.43800265680235
usp000fe7b,2007-06-17 09:03:06.860000+00:00,2007,6,2007-06,4.8,"94 km N of Charlotte Amalie, U.S. Virgin Islands",Montserrat,MSR,403.55696491157363,33.395441165899825
usp000fg60,2007-07-14 18:11:51.190000+00:00,2007,7,2007-07,4.6,"22 km NW of Anse-Bertrand, Guadeloupe",Montserrat,MSR,56.50643884496508,150.41731326154886
usp000fjvs,2007-08-16 07:20:26.760000+00:00,2007,8,2007-08,4.9,"144 km NE of Beauséjour, Guadeloupe",Montserrat,MSR,218.00245326648147,94.75752037289224
usp000fkbq,2007-08-21 03:57:48.420000+00:00,2007,8,2007-08,4.5,"6 km NE of Marigot, Dominica",Montserrat,MSR,163.0649006796567,78.68810149220488
usp000fn3z,2007-09-13 06:37:22.700000+00:00,2007,9,2007-09,5.0,"58 km ESE of Le Marin, Martinique",Montserrat,MSR,343.7537626447313,56.69544765628314
usp000fn7q,2007-09-14 06:03:15+00:00,2007,9,2007-09,4.8,"36 km E of Cruz Bay, U.S. Virgin Islands",Montserrat,MSR,309.58906054593155,53.423937881534044
usp000fng5,2007-09-16 23:46:51.590000+00:00,2007,9,2007-09,4.5,"90 km N of Cruz Bay, U.S. Virgin Islands",Montserrat,MSR,385.69860232645266,25.85033208803305
usp000fs3p,2007-11-07 06:30:34.210000+00:00,2007,11,2007-11,4.8,"45 km NE of La Trinité, Martinique",Montserrat,MSR,261.44576541056637,67.96381261735043
usp000ftfj,2007-11-28 14:18:11.190000+00:00,2007,11,2007-11,4.8,"63 km NE of Sainte-Marie, Martinique",Montserrat,MSR,254.0997072761204,70.50655518231119
usp000ftj1,2007-11-29 19:00:20.420000+00:00,2007,11,2007-11,7.4,"18 km WNW of Basse-Pointe, Martinique",Montserrat,MSR,223.38143197988177,1640.3381427660458
usp000ftj6,2007-11-29 19:34:46.280000+00:00,2007,11,2007-11,5.1,Leeward Islands,Montserrat,MSR,202.84590349162758,128.6843452502804
usp000ftj8,2007-11-29 20:11:11.040000+00:00,2007,11,2007-11,4.5,"21 km S of Berekua, Dominica",Montserrat,MSR,211.94788332586864,61.62557990904001
usp000ftj9,2007-11-29 20:17:06.680000+00:00,2007,11,2007-11,4.5,Leeward Islands,Montserrat,MSR,209.59767244476888,62.35401702108323
usp000ftjt,2007-11-30 04:00:00.230000+00:00,2007,11,2007-11,5.0,"22 km SSE of Berekua, Dominica",Montserrat,MSR,214.2214099879555,108.34880323350708
usp000ftvv,2007-12-05 12:11:23.080000+00:00,2007,12,2007-12,5.2,"19 km S of Berekua, Dominica",Montserrat,MSR,209.94554576272103,139.35066317421405
usp000fubb,2007-12-13 00:18:28.890000+00:00,2007,12,2007-12,4.6,"11 km WNW of Gros Islet, Saint Lucia",Montserrat,MSR,321.8894936205463,39.904864979889176
usp000fuqp,2007-12-19 01:57:23.960000+00:00,2007,12,2007-12,5.3,"97 km N of Cruz Bay, U.S. Virgin Islands",Montserrat,MSR,389.45905794459566,63.72361440728047
usp000fur4,2007-12-19 02:48:52.110000+00:00,2007,12,2007-12,4.5,"95 km N of Cruz Bay, U.S. Virgin Islands",Montserrat,MSR,392.93125037976165,24.932201660584713
usp000fur8,2007-12-19 03:14:24.630000+00:00,2007,12,2007-12,4.6,"120 km NNE of Cruz Bay, U.S. Virgin Islands",Montserrat,MSR,400.9135182767991,26.87988191231644
usp000fv4j,2007-12-24 02:32:46.930000+00:00,2007,12,2007-12,4.6,"25 km WNW of Basse-Pointe, Martinique",Montserrat,MSR,216.93133736529373,67.44342019614305
usp000fvet,2007-12-28 03:34:13.430000+00:00,2007,12,2007-12,5.2,"99 km N of Cruz Bay, U.S. Virgin Islands",Montserrat,MSR,394.0696389522304,55.499446460799724
usp000fvh8,2007-12-28 18:18:07.290000+00:00,2007,12,2007-12,4.6,"100 km NNE of Cruz Bay, U.S. Virgin Islands",Montserrat,MSR,379.8609039142685,29.86362528986363
usp000fyaz,2008-02-06 18:37:57.870000+00:00,2008,2,2008-02,5.3,"66 km ENE of La Trinité, Martinique",Montserrat,MSR,274.5505604466261,113.19338121201062
usp000fz2y,2008-02-17 01:50:08.850000+00:00,2008,2,2008-02,4.5,"24 km WNW of Saint-Pierre, Martinique",Montserrat,MSR,231.4482725505206,55.900599045662474
