id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f2ux,2007-01-17 08:55:45.110000+00:00,2007,1,2007-01,4.9,"75 km SSE of Champerico, Guatemala",Nicaragua,NIC,458.2681918187006,28.502520408258242
usp000f2yn,2007-01-19 01:43:14.070000+00:00,2007,1,2007-01,5.4,"56 km S of El Rosario, El Salvador",Nicaragua,NIC,161.0752195446629,223.9905029385795
usp000f304,2007-01-19 14:50:26.590000+00:00,2007,1,2007-01,4.6,"107 km SW of Corinto, Nicaragua",Nicaragua,NIC,107.34857544292849,116.65289741250575
usp000f39t,2007-01-22 09:04:06.620000+00:00,2007,1,2007-01,4.7,"79 km SW of Corinto, Nicaragua",Nicaragua,NIC,78.78974341201963,150.976810394646
usp000f3r0,2007-01-27 09:12:41.180000+00:00,2007,1,2007-01,4.6,"21 km SSW of La Libertad, El Salvador",Nicaragua,NIC,198.14567191774378,74.08531646489475
usp000f3rg,2007-01-27 11:22:16.970000+00:00,2007,1,2007-01,4.5,"73 km SSW of Corinto, Nicaragua",Nicaragua,NIC,72.83286186235387,123.55076817330404
usp000f432,2007-02-01 11:18:58.190000+00:00,2007,2,2007-02,4.6,"165 km WSW of Masachapa, Nicaragua",Nicaragua,NIC,167.01882044395342,86.56119423919596
usp000f4tn,2007-02-13 18:38:49.750000+00:00,2007,2,2007-02,5.0,"59 km SSW of Puerto San José, Guatemala",Nicaragua,NIC,379.7491767947889,47.357104400343836
usp000f4xj,2007-02-15 17:16:53.730000+00:00,2007,2,2007-02,4.7,"47 km SW of San Juan del Sur, Nicaragua",Nicaragua,NIC,45.17696965863136,178.60740344500275
usp000f511,2007-02-17 08:57:18.880000+00:00,2007,2,2007-02,4.6,"141 km SSW of Chirilagua, El Salvador",Nicaragua,NIC,139.89657659452334,99.13304441518034
usp000f5pf,2007-02-26 10:42:28.200000+00:00,2007,2,2007-02,4.5,"15 km N of Quepos, Costa Rica",Nicaragua,NIC,132.34587062911797,91.75180007525151
usp000f5sw,2007-02-27 22:14:20.300000+00:00,2007,2,2007-02,4.6,"58 km SSW of Puerto El Triunfo, El Salvador",Nicaragua,NIC,123.12342119979502,107.80549248657854
usp000f6d2,2007-03-09 21:01:37.800000+00:00,2007,3,2007-03,5.6,"4 km W of Santa Cruz, Honduras",Nicaragua,NIC,29.270189901771772,545.0553291434724
usp000f6k2,2007-03-12 18:44:21.600000+00:00,2007,3,2007-03,4.5,"75 km S of Iztapa, Guatemala",Nicaragua,NIC,333.15268569952167,33.61771064869175
usp000f6qs,2007-03-14 21:59:13.050000+00:00,2007,3,2007-03,5.5,"31 km SSW of Masachapa, Nicaragua",Nicaragua,NIC,28.47541042084519,487.71535836028477
usp000f6qt,2007-03-14 22:10:56.220000+00:00,2007,3,2007-03,4.9,"77 km SSW of Masachapa, Nicaragua",Nicaragua,NIC,75.83275059183246,192.8995765781296
usp000f6qv,2007-03-14 22:44:08.170000+00:00,2007,3,2007-03,5.2,"29 km SW of Masachapa, Nicaragua",Nicaragua,NIC,28.840648294965025,344.6460679030098
usp000f7kv,2007-03-27 07:28:14.370000+00:00,2007,3,2007-03,4.6,"11 km SSE of Río Chiquito, Honduras",Nicaragua,NIC,260.8632746404468,54.14303498386164
usp000f95f,2007-04-09 09:37:04.170000+00:00,2007,4,2007-04,4.6,"4 km ESE of Villa El Carmen, Nicaragua",Nicaragua,NIC,0.0,199.52623149688787
usp000f9bu,2007-04-10 16:45:44.460000+00:00,2007,4,2007-04,5.2,"43 km WSW of Tola, Nicaragua",Nicaragua,NIC,29.033502785132168,344.3138953725905
usp000f9y3,2007-04-17 18:42:20.180000+00:00,2007,4,2007-04,4.5,"7 km S of Jalapa, Guatemala",Nicaragua,NIC,315.07921774903525,36.79714904208868
usp000fa8d,2007-04-21 07:24:18.820000+00:00,2007,4,2007-04,4.5,Guatemala,Nicaragua,NIC,475.0376358571083,16.53746279910075
usp000faft,2007-04-24 10:00:24.750000+00:00,2007,4,2007-04,4.5,"58 km WSW of Corinto, Nicaragua",Nicaragua,NIC,56.17871471702549,134.27942441533662
usp000fags,2007-04-24 17:51:36.280000+00:00,2007,4,2007-04,4.6,"35 km S of Jiquilillo, Nicaragua",Nicaragua,NIC,27.81039912782758,173.62429112055003
usp000far3,2007-04-27 18:28:32.330000+00:00,2007,4,2007-04,4.7,"44 km SW of Masachapa, Nicaragua",Nicaragua,NIC,44.32450258125314,179.37031283389686
usp000fbfb,2007-05-07 12:32:38.730000+00:00,2007,5,2007-05,4.6,"32 km S of Iztapa, Guatemala",Nicaragua,NIC,339.66700429431495,36.51089438719445
usp000fc0b,2007-05-15 09:54:37.930000+00:00,2007,5,2007-05,4.6,"57 km SSW of Masachapa, Nicaragua",Nicaragua,NIC,52.99460353788871,153.08184242676055
usp000fc0z,2007-05-15 15:59:30.510000+00:00,2007,5,2007-05,4.7,"9 km SSE of Golfito, Costa Rica",Nicaragua,NIC,263.1366908805362,60.06285000940142
usp000fc90,2007-05-18 23:47:50.430000+00:00,2007,5,2007-05,4.6,"36 km SW of San Juan del Sur, Nicaragua",Nicaragua,NIC,35.561462224165496,167.02414833400252
usp000fcg6,2007-05-22 10:48:45.430000+00:00,2007,5,2007-05,4.5,"31 km SW of Puerto El Triunfo, El Salvador",Nicaragua,NIC,119.23068204810427,97.97017043263305
usp000fdmh,2007-06-08 13:32:00.770000+00:00,2007,6,2007-06,5.8,"11 km SSE of Puerto San José, Guatemala",Nicaragua,NIC,357.60553290323867,132.88300841885098
usp000fdmm,2007-06-08 13:55:58.590000+00:00,2007,6,2007-06,4.6,"17 km S of Puerto San José, Guatemala",Nicaragua,NIC,360.63952011625844,32.87617112064206
usp000fdmu,2007-06-08 15:08:38.050000+00:00,2007,6,2007-06,5.5,"31 km S of Puerto San José, Guatemala",Nicaragua,NIC,355.7930049695731,94.93039899087407
usp000fdyv,2007-06-13 19:29:40.180000+00:00,2007,6,2007-06,6.7,"43 km SSE of Iztapa, Guatemala",Nicaragua,NIC,333.6952518979583,422.07532866022456
usp000fehx,2007-06-22 05:03:49.330000+00:00,2007,6,2007-06,5.0,"59 km SSW of Puerto El Triunfo, El Salvador",Nicaragua,NIC,127.81093410343496,166.9022083186045
usp000feq9,2007-06-24 06:25:03.520000+00:00,2007,6,2007-06,4.6,"72 km SW of Masachapa, Nicaragua",Nicaragua,NIC,73.98918441636013,137.82707115714783
usp000fex4,2007-06-26 15:55:27.290000+00:00,2007,6,2007-06,4.6,"53 km SSE of La Libertad, El Salvador",Nicaragua,NIC,170.0784681317399,85.24703821615503
usp000ffad,2007-07-02 18:36:02.590000+00:00,2007,7,2007-07,4.7,"9 km NE of Izalco, El Salvador",Nicaragua,NIC,235.3428435643568,69.01754521237707
