id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f1v7,2007-01-07 06:15:33.510000+00:00,2007,1,2007-01,4.7,"102 km N of Charlotte Amalie, U.S. Virgin Islands",Sint Maarten,SXM,262.8834219281752,60.138958464490806
usp000f5rs,2007-02-27 09:42:40.610000+00:00,2007,2,2007-02,5.0,"30 km E of Parham, Antigua and Barbuda",Sint Maarten,SXM,201.6957712247569,115.35148707197521
usp000f8sb,2007-04-05 13:14:42.490000+00:00,2007,4,2007-04,4.5,"124 km ENE of Codrington, Antigua and Barbuda",Sint Maarten,SXM,257.4192888870015,49.09317459250006
usp000fcy0,2007-05-28 18:24:28.940000+00:00,2007,5,2007-05,4.5,"65 km W of Pointe-Noire, Guadeloupe",Sint Maarten,SXM,223.4015917183829,58.195527263680894
usp000fe7b,2007-06-17 09:03:06.860000+00:00,2007,6,2007-06,4.8,"94 km N of Charlotte Amalie, U.S. Virgin Islands",Sint Maarten,SXM,233.13129036408102,78.30001318325834
usp000fg60,2007-07-14 18:11:51.190000+00:00,2007,7,2007-07,4.6,"22 km NW of Anse-Bertrand, Guadeloupe",Sint Maarten,SXM,223.8754731044457,65.14192481876913
usp000fjvs,2007-08-16 07:20:26.760000+00:00,2007,8,2007-08,4.9,"144 km NE of Beauséjour, Guadeloupe",Sint Maarten,SXM,311.49394890688654,59.37443421512479
usp000fkbq,2007-08-21 03:57:48.420000+00:00,2007,8,2007-08,4.5,"6 km NE of Marigot, Dominica",Sint Maarten,SXM,346.7527268021182,31.407691816539394
usp000fn7q,2007-09-14 06:03:15+00:00,2007,9,2007-09,4.8,"36 km E of Cruz Bay, U.S. Virgin Islands",Sint Maarten,SXM,153.09827616422407,116.82917700979795
usp000fng5,2007-09-16 23:46:51.590000+00:00,2007,9,2007-09,4.5,"90 km N of Cruz Bay, U.S. Virgin Islands",Sint Maarten,SXM,214.1714680271738,60.94422606392848
usp000fs3p,2007-11-07 06:30:34.210000+00:00,2007,11,2007-11,4.8,"45 km NE of La Trinité, Martinique",Sint Maarten,SXM,444.42144130270225,27.223947715639312
usp000ftfj,2007-11-28 14:18:11.190000+00:00,2007,11,2007-11,4.8,"63 km NE of Sainte-Marie, Martinique",Sint Maarten,SXM,435.4918924635034,28.46697834255551
usp000ftj1,2007-11-29 19:00:20.420000+00:00,2007,11,2007-11,7.4,"18 km WNW of Basse-Pointe, Martinique",Sint Maarten,SXM,407.081088477197,654.6884029072756
usp000ftj6,2007-11-29 19:34:46.280000+00:00,2007,11,2007-11,5.1,Leeward Islands,Sint Maarten,SXM,386.40498235821224,51.39634573807274
usp000ftj8,2007-11-29 20:11:11.040000+00:00,2007,11,2007-11,4.5,"21 km S of Berekua, Dominica",Sint Maarten,SXM,395.705596450302,24.58873661687054
usp000ftj9,2007-11-29 20:17:06.680000+00:00,2007,11,2007-11,4.5,Leeward Islands,Sint Maarten,SXM,393.73562477527685,24.83212891217149
usp000ftjt,2007-11-30 04:00:00.230000+00:00,2007,11,2007-11,5.0,"22 km SSE of Berekua, Dominica",Sint Maarten,SXM,398.13424106128053,43.19788463111074
usp000ftvv,2007-12-05 12:11:23.080000+00:00,2007,12,2007-12,5.2,"19 km S of Berekua, Dominica",Sint Maarten,SXM,393.72155968392144,55.596121596501845
usp000fuqp,2007-12-19 01:57:23.960000+00:00,2007,12,2007-12,5.3,"97 km N of Cruz Bay, U.S. Virgin Islands",Sint Maarten,SXM,217.05905181298183,150.89062511498855
usp000fur4,2007-12-19 02:48:52.110000+00:00,2007,12,2007-12,4.5,"95 km N of Cruz Bay, U.S. Virgin Islands",Sint Maarten,SXM,221.1795006391032,58.845711305679956
usp000fur8,2007-12-19 03:14:24.630000+00:00,2007,12,2007-12,4.6,"120 km NNE of Cruz Bay, U.S. Virgin Islands",Sint Maarten,SXM,226.15500583682777,64.40367422732491
usp000fv4j,2007-12-24 02:32:46.930000+00:00,2007,12,2007-12,4.6,"25 km WNW of Basse-Pointe, Martinique",Sint Maarten,SXM,400.54624722135037,26.929288275251448
usp000fvet,2007-12-28 03:34:13.430000+00:00,2007,12,2007-12,5.2,"99 km N of Cruz Bay, U.S. Virgin Islands",Sint Maarten,SXM,221.65335438540012,131.42738185683578
usp000fvh8,2007-12-28 18:18:07.290000+00:00,2007,12,2007-12,4.6,"100 km NNE of Cruz Bay, U.S. Virgin Islands",Sint Maarten,SXM,206.3275327196618,71.11569446026846
usp000fy4h,2008-02-04 07:43:56.130000+00:00,2008,2,2008-02,5.5,Puerto Rico region,Sint Maarten,SXM,436.46303660473166,63.42092299601359
