id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f665,2007-03-06 07:03:11.800000+00:00,2007,3,2007-03,4.5,"18 km NE of Luperón, Dominican Republic",Turks and Caicos Islands,TCA,158.28907974119915,80.58971698406648
usp000f6d1,2007-03-09 20:49:51.740000+00:00,2007,3,2007-03,4.9,"24 km SSW of Boca de Yuma, Dominican Republic",Turks and Caicos Islands,TCA,461.1746562841102,28.091307768782283
usp000f93a,2007-04-08 16:08:57.240000+00:00,2007,4,2007-04,4.7,"81 km NW of San Antonio, Puerto Rico",Turks and Caicos Islands,TCA,480.77742475412833,20.230428750782313
usp000fdmg,2007-06-08 13:30:46.770000+00:00,2007,6,2007-06,5.0,"1 km S of Piedra Blanca, Dominican Republic",Turks and Caicos Islands,TCA,310.1318783212937,67.07445968400494
usp000fn5j,2007-09-13 17:00:26.030000+00:00,2007,9,2007-09,4.8,"38 km SSE of Boca de Yuma, Dominican Republic",Turks and Caicos Islands,TCA,492.64552798145235,21.39113498744967
usp000fq16,2007-10-07 00:13:34.450000+00:00,2007,10,2007-10,4.5,"12 km NW of Sánchez, Dominican Republic",Turks and Caicos Islands,TCA,290.96943427590014,41.511449794949804
usp000fqx8,2007-10-19 20:54:38.410000+00:00,2007,10,2007-10,4.6,"10 km SW of Cotuí, Dominican Republic",Turks and Caicos Islands,TCA,296.45684340319684,45.31606008266982
usp000freb,2007-10-28 02:21:18.930000+00:00,2007,10,2007-10,4.6,"5 km S of Villa Vásquez, Dominican Republic",Turks and Caicos Islands,TCA,191.66192944825303,76.52642198649443
usp000fxfx,2008-01-26 03:04:01.760000+00:00,2008,1,2008-01,4.6,"4 km S of Puerto Plata, Dominican Republic",Turks and Caicos Islands,TCA,194.24782858277018,75.54334299757176
usp000g598,2008-05-01 20:57:28.180000+00:00,2008,5,2008-05,4.6,"4 km S of Ti Port-de-Paix, Haiti",Turks and Caicos Islands,TCA,208.9113159133121,70.20286585331249
usp000g7cr,2008-05-21 06:21:35.440000+00:00,2008,5,2008-05,4.5,"2 km NNW of Juncalito Abajo, Dominican Republic",Turks and Caicos Islands,TCA,249.27100924335713,51.13460210793479
usp000gem0,2008-08-13 23:03:09.670000+00:00,2008,8,2008-08,4.6,"7 km WNW of La Entrada, Dominican Republic",Turks and Caicos Islands,TCA,248.02374670130536,57.73288722494574
usp000gnrg,2008-11-15 11:58:31.490000+00:00,2008,11,2008-11,4.5,"7 km ESE of Punta Cana, Dominican Republic",Turks and Caicos Islands,TCA,457.58249639782406,18.04563770627896
usp000gqvg,2008-12-18 17:13:47.920000+00:00,2008,12,2008-12,5.1,"7 km N of Quisqueya, Dominican Republic",Turks and Caicos Islands,TCA,376.6020041697982,53.97829202942962
usp000gtye,2009-02-14 07:48:38.870000+00:00,2009,2,2009-02,5.0,"11 km NNE of Guaymate, Dominican Republic",Turks and Caicos Islands,TCA,403.5123379387697,42.05175168693979
usp000gumj,2009-03-04 22:30:26.450000+00:00,2009,3,2009-03,5.0,"11 km SSE of Boca de Yuma, Dominican Republic",Turks and Caicos Islands,TCA,463.85693736076087,31.099074057813727
usp000gzvd,2009-07-31 21:00:55.560000+00:00,2009,7,2009-07,4.5,"5 km ENE of Padre Las Casas, Dominican Republic",Turks and Caicos Islands,TCA,306.22371233716837,38.46304451372058
usp000h0s6,2009-08-23 03:00:28+00:00,2009,8,2009-08,4.6,"12 km SE of El Valle, Dominican Republic",Turks and Caicos Islands,TCA,356.377731517488,33.5842449364134
usp000h17n,2009-09-04 09:45:14.220000+00:00,2009,9,2009-09,4.8,"14 km NNE of Villa Vásquez, Dominican Republic",Turks and Caicos Islands,TCA,170.96236664089724,106.84641077817125
usp000h3g3,2009-10-27 19:18:20.970000+00:00,2009,10,2009-10,4.6,Dominican Republic region,Turks and Caicos Islands,TCA,362.33663559308025,32.598378110419496
usp000h5p7,2010-01-04 01:08:48.170000+00:00,2010,1,2010-01,4.6,"16 km SE of La Romana, Dominican Republic",Turks and Caicos Islands,TCA,440.05609299601343,22.101936937329647
usp000h60h,2010-01-12 21:53:10.060000+00:00,2010,1,2010-01,7.0,"10 km SE of Léogâne, Haiti",Turks and Caicos Islands,TCA,350.8346161108198,547.2330401765192
usp000h60j,2010-01-12 22:00:41.490000+00:00,2010,1,2010-01,6.0,"4 km SSW of Grangwav, Haiti",Turks and Caicos Islands,TCA,364.3336686128842,161.75566175939963
usp000h60k,2010-01-12 22:07:02.040000+00:00,2010,1,2010-01,5.0,"5 km S of Léogâne, Haiti",Turks and Caicos Islands,TCA,350.34087584957643,54.8585664022774
usp000h60n,2010-01-12 22:12:04.650000+00:00,2010,1,2010-01,5.7,Haiti region,Turks and Caicos Islands,TCA,348.0773359790137,124.21088854958093
usp000h60q,2010-01-12 22:52:51.260000+00:00,2010,1,2010-01,4.7,Haiti region,Turks and Caicos Islands,TCA,361.2738073531663,36.77086912279517
usp000h60r,2010-01-12 23:07:03.740000+00:00,2010,1,2010-01,4.6,"5 km ENE of Léogâne, Haiti",Turks and Caicos Islands,TCA,342.3837189204411,36.0182991590547
usp000h60s,2010-01-12 23:12:03.990000+00:00,2010,1,2010-01,5.3,Haiti region,Turks and Caicos Islands,TCA,353.74356953222747,76.18256637393702
usp000h60v,2010-01-12 23:27:36.860000+00:00,2010,1,2010-01,4.7,"12 km N of Grangwav, Haiti",Turks and Caicos Islands,TCA,346.612844216792,39.56760577304067
usp000h60w,2010-01-12 23:35:39.210000+00:00,2010,1,2010-01,4.6,"5 km S of Tigwav, Haiti",Turks and Caicos Islands,TCA,368.0967421475515,31.672918290525992
usp000h60x,2010-01-12 23:47:38.100000+00:00,2010,1,2010-01,4.5,"1 km SSE of Tigwav, Haiti",Turks and Caicos Islands,TCA,363.3240974904683,28.910243300529928
usp000h60z,2010-01-13 00:23:13.200000+00:00,2010,1,2010-01,4.5,"8 km NNW of Grangwav, Haiti",Turks and Caicos Islands,TCA,352.27310055302013,30.552635688276478
usp000h612,2010-01-13 00:43:27.280000+00:00,2010,1,2010-01,5.0,"8 km SE of Gressier, Haiti",Turks and Caicos Islands,TCA,343.41990913790113,56.79016655999118
usp000h614,2010-01-13 00:59:05.050000+00:00,2010,1,2010-01,5.2,"8 km SSW of Grangwav, Haiti",Turks and Caicos Islands,TCA,368.83724180727097,62.96223062662628
usp000h615,2010-01-13 01:00:26.360000+00:00,2010,1,2010-01,4.7,Haiti region,Turks and Caicos Islands,TCA,368.7982969731965,35.413159334243325
