id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f5fk,2007-02-23 14:48:20+00:00,2007,2,2007-02,4.9,"19 km NW of Petit Valley, Trinidad and Tobago",Trinidad and Tobago,TTO,10.852760638240596,266.9522156135793
usp000f6kf,2007-03-12 23:23:51.600000+00:00,2007,3,2007-03,4.5,"33 km NNE of Güiria, Venezuela",Trinidad and Tobago,TTO,56.24872502407968,134.23242792274183
usp000f7ru,2007-03-29 05:24:44.370000+00:00,2007,3,2007-03,4.7,"49 km NW of Speightstown, Barbados",Trinidad and Tobago,TTO,263.4396503561816,59.971935837337476
usp000fa8f,2007-04-21 09:47:58.130000+00:00,2007,4,2007-04,4.6,"35 km WNW of Güiria, Venezuela",Trinidad and Tobago,TTO,103.01837102952571,119.20609176526105
usp000fg9v,2007-07-16 01:32:18.900000+00:00,2007,7,2007-07,4.9,"8 km NW of Güiria, Venezuela",Trinidad and Tobago,TTO,76.87862347704069,191.89346734326963
usp000fkbq,2007-08-21 03:57:48.420000+00:00,2007,8,2007-08,4.5,"6 km NE of Marigot, Dominica",Trinidad and Tobago,TTO,490.7488730331061,15.288059426606337
usp000fn3z,2007-09-13 06:37:22.700000+00:00,2007,9,2007-09,5.0,"58 km ESE of Le Marin, Martinique",Trinidad and Tobago,TTO,330.100859606563,60.700894505272466
usp000fs3p,2007-11-07 06:30:34.210000+00:00,2007,11,2007-11,4.8,"45 km NE of La Trinité, Martinique",Trinidad and Tobago,TTO,414.3611563533951,31.639250094037024
usp000ftfj,2007-11-28 14:18:11.190000+00:00,2007,11,2007-11,4.8,"63 km NE of Sainte-Marie, Martinique",Trinidad and Tobago,TTO,433.39829566765025,28.766535359392957
usp000ftj1,2007-11-29 19:00:20.420000+00:00,2007,11,2007-11,7.4,"18 km WNW of Basse-Pointe, Martinique",Trinidad and Tobago,TTO,419.0595734134104,616.628648862728
usp000ftj6,2007-11-29 19:34:46.280000+00:00,2007,11,2007-11,5.1,Leeward Islands,Trinidad and Tobago,TTO,438.21272728323567,39.66734680808125
usp000ftj8,2007-11-29 20:11:11.040000+00:00,2007,11,2007-11,4.5,"21 km S of Berekua, Dominica",Trinidad and Tobago,TTO,430.3836717836674,20.674438875885613
usp000ftj9,2007-11-29 20:17:06.680000+00:00,2007,11,2007-11,4.5,Leeward Islands,Trinidad and Tobago,TTO,436.3210826669439,20.06969660598248
usp000ftjt,2007-11-30 04:00:00.230000+00:00,2007,11,2007-11,5.0,"22 km SSE of Berekua, Dominica",Trinidad and Tobago,TTO,429.2592984408738,36.972198572642576
usp000ftvv,2007-12-05 12:11:23.080000+00:00,2007,12,2007-12,5.2,"19 km S of Berekua, Dominica",Trinidad and Tobago,TTO,432.41532181781616,45.81651578128268
usp000fub3,2007-12-12 20:31:31.100000+00:00,2007,12,2007-12,4.9,"14 km NW of Güiria, Venezuela",Trinidad and Tobago,TTO,81.73392182239355,187.29105837534968
usp000fubb,2007-12-13 00:18:28.890000+00:00,2007,12,2007-12,4.6,"11 km WNW of Gros Islet, Saint Lucia",Trinidad and Tobago,TTO,319.40594716149076,40.40348235178977
usp000fv4j,2007-12-24 02:32:46.930000+00:00,2007,12,2007-12,4.6,"25 km WNW of Basse-Pointe, Martinique",Trinidad and Tobago,TTO,424.8325754145927,23.849967074596655
usp000fv8w,2007-12-26 05:59:52.400000+00:00,2007,12,2007-12,4.6,"99 km ENE of Guatire, Venezuela",Trinidad and Tobago,TTO,425.1593684357598,23.8110288811094
usp000fyaz,2008-02-06 18:37:57.870000+00:00,2008,2,2008-02,5.3,"66 km ENE of La Trinité, Martinique",Trinidad and Tobago,TTO,417.8300680235703,55.29597694902555
usp000fyuk,2008-02-13 20:06:40.690000+00:00,2008,2,2008-02,4.8,"28 km S of Güiria, Venezuela",Trinidad and Tobago,TTO,46.982549057010594,198.59974704127254
usp000fz2y,2008-02-17 01:50:08.850000+00:00,2008,2,2008-02,4.5,"24 km WNW of Saint-Pierre, Martinique",Trinidad and Tobago,TTO,407.6189068438543,23.16683951646858
usp000g13h,2008-03-09 22:17:09.310000+00:00,2008,3,2008-03,4.5,"30 km WNW of Güiria, Venezuela",Trinidad and Tobago,TTO,97.1964973246327,109.38064695123187
usp000g1v8,2008-03-20 15:28:18.960000+00:00,2008,3,2008-03,4.7,"18 km SSW of Güiria, Venezuela",Trinidad and Tobago,TTO,66.65565944180908,160.42020780630702
usp000g289,2008-03-24 13:30:18.970000+00:00,2008,3,2008-03,4.6,"40 km NNW of Güiria, Venezuela",Trinidad and Tobago,TTO,91.15875715557746,126.48856743916211
usp000gap7,2008-06-27 05:08:11.640000+00:00,2008,6,2008-06,5.2,"64 km N of Güiria, Venezuela",Trinidad and Tobago,TTO,96.89093782860041,245.24716840792644
usp000gatu,2008-06-28 08:03:47.630000+00:00,2008,6,2008-06,4.6,"20 km N of Basse-Pointe, Martinique",Trinidad and Tobago,TTO,428.21755628741806,23.449705412560284
usp000gb74,2008-07-03 06:34:53.700000+00:00,2008,7,2008-07,5.8,"80 km E of Rio Claro, Trinidad and Tobago",Trinidad and Tobago,TTO,58.072945183531736,594.1501372659189
