iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
AIA,Anguilla,2007,1,2007-01,2007-01-01,1,4.7,81.42189497262898,81.42189497262898,202.28615033768452
AIA,Anguilla,2007,2,2007-02,2007-02-01,1,5.0,109.89437356844616,109.89437356844616,211.38861366112033
AIA,Anguilla,2007,3,2007-03,2007-03-01,0,,0.0,0.0,
AIA,Anguilla,2007,4,2007-04,2007-04-01,2,4.7,71.56584595877831,50.88207454028602,250.26115356769898
AIA,Anguilla,2007,5,2007-05,2007-05-01,1,4.5,52.690107656447886,52.690107656447886,243.2777463625886
AIA,Anguilla,2007,6,2007-06,2007-06-01,1,4.8,106.75704221792488,106.75704221792488,171.1297207996571
AIA,Anguilla,2007,7,2007-07,2007-07-01,1,4.6,60.11985643566521,60.11985643566521,239.92110739347387
AIA,Anguilla,2007,8,2007-08,2007-08-01,2,4.9,88.3019835946168,59.65092654971254,310.5647592614273
AIA,Anguilla,2007,9,2007-09,2007-09-01,2,4.8,223.75489533991203,140.30110339440645,116.48267431443584
AIA,Anguilla,2007,10,2007-10,2007-10-01,0,,0.0,0.0,
AIA,Anguilla,2007,11,2007-11,2007-11-01,7,7.4,774.4792359506547,592.914077461003,406.2386109866196
AIA,Anguilla,2007,12,2007-12,2007-12-01,7,5.3,734.3656310295814,208.05945056820553,140.59186498278254
AIA,Anguilla,2008,1,2008-01,2008-01-01,0,,0.0,0.0,
AIA,Anguilla,2008,2,2008-02,2008-02-01,3,5.5,142.34033523300462,80.05626040467993,389.87587263384177
AIA,Anguilla,2008,3,2008-03,2008-03-01,0,,0.0,0.0,
AIA,Anguilla,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
AIA,Anguilla,2008,5,2008-05,2008-05-01,3,4.6,182.10509525982016,96.75990317118242,121.71675484129926
AIA,Anguilla,2008,6,2008-06,2008-06-01,2,4.9,149.42903142483348,125.59767514545824,161.64994679220314
AIA,Anguilla,2008,7,2008-07,2008-07-01,0,,0.0,0.0,
AIA,Anguilla,2008,8,2008-08,2008-08-01,0,,0.0,0.0,
AIA,Anguilla,2008,9,2008-09,2008-09-01,0,,0.0,0.0,
AIA,Anguilla,2008,10,2008-10,2008-10-01,1,6.1,480.48473529379277,480.48473529379277,169.61781482106414
AIA,Anguilla,2008,11,2008-11,2008-11-01,6,5.4,433.4056526586692,121.97152384173575,144.48332336607692
AIA,Anguilla,2008,12,2008-12,2008-12-01,3,4.8,147.35036478040524,72.83293762786163,201.55548421211998
AIA,Anguilla,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
AIA,Anguilla,2009,2,2009-02,2009-02-01,3,4.8,106.74495309017578,45.49715526613409,341.7108841613579
AIA,Anguilla,2009,3,2009-03,2009-03-01,1,5.1,67.56836249884697,67.56836249884697,331.69042480180406
AIA,Anguilla,2009,4,2009-04,2009-04-01,0,,0.0,0.0,
AIA,Anguilla,2009,5,2009-05,2009-05-01,2,5.0,117.06148372230433,97.65623911775022,235.00183690971656
AIA,Anguilla,2009,6,2009-06,2009-06-01,3,5.0,331.82560051834,179.14858866027774,104.10673386536111
AIA,Anguilla,2009,7,2009-07,2009-07-01,1,4.7,98.34398289253014,98.34398289253014,164.52072122527656
AIA,Anguilla,2009,8,2009-08,2009-08-01,3,5.1,211.7235791819138,93.45360154821999,266.8253828268089
AIA,Anguilla,2009,9,2009-09,2009-09-01,1,4.5,128.97464376539395,128.97464376539395,64.24012683071152
AIA,Anguilla,2009,10,2009-10,2009-10-01,2,4.7,211.6752841431217,193.43699117068536,29.22462722380887
AIA,Anguilla,2009,11,2009-11,2009-11-01,1,4.7,80.95447988270435,80.95447988270435,203.4375897176857
AIA,Anguilla,2009,12,2009-12,2009-12-01,1,4.9,36.711501101671914,36.711501101671914,407.64867807033454
AIA,Anguilla,2010,1,2010-01,2010-01-01,2,5.0,90.41550781713673,56.36583342521676,344.91990957584784
AIA,Anguilla,2010,2,2010-02,2010-02-01,1,4.9,181.93788163591967,181.93788163591967,87.53363174215521
AIA,Anguilla,2010,3,2010-03,2010-03-01,0,,0.0,0.0,
AIA,Anguilla,2010,4,2010-04,2010-04-01,2,4.8,158.12225065114208,99.92860817324183,184.3496420852402
AIA,Anguilla,2010,5,2010-05,2010-05-01,3,5.8,234.94279498757012,104.3120480768588,297.158782041487
AIA,Anguilla,2010,6,2010-06,2010-06-01,1,4.5,21.79531726126131,21.79531726126131,419.82426340893085
AIA,Anguilla,2010,7,2010-07,2010-07-01,3,4.9,360.28145186877026,207.23071741162713,61.500145676384484
AIA,Anguilla,2010,8,2010-08,2010-08-01,1,4.5,24.088978400296565,24.088978400296565,399.812410226953
AIA,Anguilla,2010,9,2010-09,2010-09-01,0,,0.0,0.0,
AIA,Anguilla,2010,10,2010-10,2010-10-01,2,4.7,135.3293556075516,108.66228436333522,144.5660409190742
AIA,Anguilla,2010,11,2010-11,2010-11-01,0,,0.0,0.0,
AIA,Anguilla,2010,12,2010-12,2010-12-01,1,5.1,77.6540813533575,77.6540813533575,303.86557560563773
AIA,Anguilla,2011,1,2011-01,2011-01-01,4,5.0,320.1889672504459,183.02147354354136,109.37184895194291
AIA,Anguilla,2011,2,2011-02,2011-02-01,1,5.0,190.6396844977681,190.6396844977681,101.2155109318892
AIA,Anguilla,2011,3,2011-03,2011-03-01,0,,0.0,0.0,
AIA,Anguilla,2011,4,2011-04,2011-04-01,3,5.0,326.23361093545327,189.85169082874378,102.04390794343115
AIA,Anguilla,2011,5,2011-05,2011-05-01,1,4.7,18.53017920911255,18.53017920911255,498.3348513979263
AIA,Anguilla,2011,6,2011-06,2011-06-01,0,,0.0,0.0,
AIA,Anguilla,2011,7,2011-07,2011-07-01,1,4.6,131.96561034125816,131.96561034125816,82.68087059218333
AIA,Anguilla,2011,8,2011-08,2011-08-01,1,4.6,160.92378305194404,160.92378305194404,43.002971636512605
AIA,Anguilla,2011,9,2011-09,2011-09-01,2,5.0,120.62047479692956,83.59086943301845,150.97643248379663
AIA,Anguilla,2011,10,2011-10,2011-10-01,0,,0.0,0.0,
AIA,Anguilla,2011,11,2011-11,2011-11-01,6,5.2,657.3495927818301,223.18916927441083,52.594682927249
AIA,Anguilla,2011,12,2011-12,2011-12-01,4,5.6,269.5379055962325,109.52492162473435,166.8174705936163
AIA,Anguilla,2012,1,2012-01,2012-01-01,1,4.6,92.08681214097295,92.08681214097295,154.64279430591264
AIA,Anguilla,2012,2,2012-02,2012-02-01,0,,0.0,0.0,
AIA,Anguilla,2012,3,2012-03,2012-03-01,1,4.7,27.83618599575094,27.83618599575094,416.9476279467668
AIA,Anguilla,2012,4,2012-04,2012-04-01,0,,0.0,0.0,
AIA,Anguilla,2012,5,2012-05,2012-05-01,0,,0.0,0.0,
AIA,Anguilla,2012,6,2012-06,2012-06-01,0,,0.0,0.0,
AIA,Anguilla,2012,7,2012-07,2012-07-01,1,5.0,297.5374017478355,297.5374017478355,12.184559048151108
AIA,Anguilla,2012,8,2012-08,2012-08-01,5,5.0,537.6047489852457,142.8549634192587,155.58324308081126
AIA,Anguilla,2012,9,2012-09,2012-09-01,6,4.9,469.5894121355372,127.06154510081738,145.33168588703467
AIA,Anguilla,2012,10,2012-10,2012-10-01,0,,0.0,0.0,
AIA,Anguilla,2012,11,2012-11,2012-11-01,1,4.5,23.468708841416802,23.468708841416802,405.02969280698676
AIA,Anguilla,2012,12,2012-12,2012-12-01,0,,0.0,0.0,
AIA,Anguilla,2013,1,2013-01,2013-01-01,1,5.0,142.30604715268169,142.30604715268169,159.69654649796547
AIA,Anguilla,2013,2,2013-02,2013-02-01,0,,0.0,0.0,
AIA,Anguilla,2013,3,2013-03,2013-03-01,3,4.7,340.26011559344647,149.22030913569864,81.13023396348102
AIA,Anguilla,2013,4,2013-04,2013-04-01,1,5.3,240.34143188180727,240.34143188180727,123.95799024694814
