iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
ATG,Antigua and Barbuda,2007,1,2007-01,2007-01-01,1,4.7,29.79923677962839,29.79923677962839,403.3184373548986
ATG,Antigua and Barbuda,2007,2,2007-02,2007-02-01,1,5.0,285.56790307819864,285.56790307819864,20.396578503047383
ATG,Antigua and Barbuda,2007,3,2007-03,2007-03-01,1,4.7,24.79213980481879,24.79213980481879,440.1096617912624
ATG,Antigua and Barbuda,2007,4,2007-04,2007-04-01,1,4.5,97.52676042757449,97.52676042757449,120.1379305935683
ATG,Antigua and Barbuda,2007,5,2007-05,2007-05-01,1,4.5,115.9944482635909,115.9944482635909,85.454825814437
ATG,Antigua and Barbuda,2007,6,2007-06,2007-06-01,1,4.8,38.98938650322341,38.98938650322341,372.58295100722376
ATG,Antigua and Barbuda,2007,7,2007-07,2007-07-01,1,4.6,161.1867204570575,161.1867204570575,42.67645330115763
ATG,Antigua and Barbuda,2007,8,2007-08,2007-08-01,2,4.9,204.49322972276968,129.42266378275204,155.64999319041806
ATG,Antigua and Barbuda,2007,9,2007-09,2007-09-01,3,5.0,144.3176930999434,59.383737379932434,288.43676315694427
ATG,Antigua and Barbuda,2007,10,2007-10,2007-10-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2007,11,2007-11,2007-11-01,7,7.4,1958.1588568519926,1491.7455351103285,223.31503985860866
ATG,Antigua and Barbuda,2007,12,2007-12,2007-12-01,8,5.3,464.12799001423105,126.68803099322905,228.9987252437289
ATG,Antigua and Barbuda,2008,1,2008-01,2008-01-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2008,2,2008-02,2008-02-01,2,5.3,163.6001997223024,113.75332644935592,254.37213750102103
ATG,Antigua and Barbuda,2008,3,2008-03,2008-03-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2008,5,2008-05,2008-05-01,3,4.6,147.36136299498202,92.66477636164669,153.391457609375
ATG,Antigua and Barbuda,2008,6,2008-06,2008-06-01,2,4.9,109.52493631108436,61.59634313253012,235.06864196812796
ATG,Antigua and Barbuda,2008,7,2008-07,2008-07-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2008,8,2008-08,2008-08-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2008,9,2008-09,2008-09-01,1,4.7,32.011490148352685,32.011490148352685,388.99601260988726
ATG,Antigua and Barbuda,2008,10,2008-10,2008-10-01,1,6.1,175.66604852056287,175.66604852056287,370.85995852461065
ATG,Antigua and Barbuda,2008,11,2008-11,2008-11-01,2,4.8,377.91414505483357,223.45705638604005,23.39699380862087
ATG,Antigua and Barbuda,2008,12,2008-12,2008-12-01,2,4.8,133.08637669070086,105.75041560395756,173.02449504119605
ATG,Antigua and Barbuda,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2009,2,2009-02,2009-02-01,1,4.5,79.72439630671127,79.72439630671127,160.44816371293638
ATG,Antigua and Barbuda,2009,3,2009-03,2009-03-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2009,4,2009-04,2009-04-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2009,5,2009-05,2009-05-01,2,5.0,90.18972099278241,52.57684186512347,266.7339919626519
ATG,Antigua and Barbuda,2009,6,2009-06,2009-06-01,2,5.0,121.63178871801124,77.32743633405858,277.9467078133541
ATG,Antigua and Barbuda,2009,7,2009-07,2009-07-01,1,4.7,36.00683257428056,36.00683257428056,365.4732508716867
ATG,Antigua and Barbuda,2009,8,2009-08,2009-08-01,3,5.1,78.84269615378896,34.90798461454668,463.7752797153507
ATG,Antigua and Barbuda,2009,9,2009-09,2009-09-01,1,4.5,70.37590538255749,70.37590538255749,185.39310154864668
ATG,Antigua and Barbuda,2009,10,2009-10,2009-10-01,2,4.7,176.02298027708997,125.99283577476706,114.969984426296
ATG,Antigua and Barbuda,2009,11,2009-11,2009-11-01,2,5.0,236.24311955129915,172.88175404868488,51.69342206827758
ATG,Antigua and Barbuda,2009,12,2009-12,2009-12-01,1,4.9,90.55231061766271,90.55231061766271,227.0811552485585
ATG,Antigua and Barbuda,2010,1,2010-01,2010-01-01,2,5.0,241.93297862944453,154.2792692415889,143.53966714576848
ATG,Antigua and Barbuda,2010,2,2010-02,2010-02-01,1,4.9,221.20549074935764,221.20549074935764,48.448277187888166
ATG,Antigua and Barbuda,2010,3,2010-03,2010-03-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2010,4,2010-04,2010-04-01,2,4.8,59.34959145910673,38.064581726200885,377.38399737943666
ATG,Antigua and Barbuda,2010,5,2010-05,2010-05-01,1,5.2,245.68059789490306,245.68059789490306,96.5377864044253
ATG,Antigua and Barbuda,2010,6,2010-06,2010-06-01,1,4.5,56.66207147116217,56.66207147116217,228.7422811655865
ATG,Antigua and Barbuda,2010,7,2010-07,2010-07-01,3,4.9,228.0432944451453,167.58232836757395,103.97174693616626
ATG,Antigua and Barbuda,2010,8,2010-08,2010-08-01,2,4.7,85.59664022139495,62.8930747772151,207.87608010458752
ATG,Antigua and Barbuda,2010,9,2010-09,2010-09-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2010,10,2010-10,2010-10-01,2,4.7,106.18222485036668,66.60108802437304,196.41910902428074
ATG,Antigua and Barbuda,2010,11,2010-11,2010-11-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2010,12,2010-12,2010-12-01,1,5.1,37.57499186642077,37.57499186642077,449.0506535916645
ATG,Antigua and Barbuda,2011,1,2011-01,2011-01-01,3,5.0,343.6556515581433,190.43212549619344,101.4333796029969
ATG,Antigua and Barbuda,2011,2,2011-02,2011-02-01,1,5.0,161.70661828681847,161.70661828681847,134.13580746441698
ATG,Antigua and Barbuda,2011,3,2011-03,2011-03-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2011,4,2011-04,2011-04-01,4,5.0,196.0105374490198,69.2428770464724,259.96089351938605
ATG,Antigua and Barbuda,2011,5,2011-05,2011-05-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2011,6,2011-06,2011-06-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2011,7,2011-07,2011-07-01,1,4.6,64.22462331915261,64.22462331915261,226.7118071853179
ATG,Antigua and Barbuda,2011,8,2011-08,2011-08-01,3,5.2,187.62121634522728,110.31839957949471,118.51499751628161
ATG,Antigua and Barbuda,2011,9,2011-09,2011-09-01,2,5.0,247.7910186390881,151.6076190847807,31.904145895207407
ATG,Antigua and Barbuda,2011,10,2011-10,2011-10-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2011,11,2011-11,2011-11-01,4,5.2,337.4925191693788,131.39653849184702,83.54519029432407
ATG,Antigua and Barbuda,2011,12,2011-12,2011-12-01,2,5.6,240.5213268648372,211.64751769380902,218.4632043678977
ATG,Antigua and Barbuda,2012,1,2012-01,2012-01-01,1,4.6,192.50148565813387,192.50148565813387,7.168368496731111
ATG,Antigua and Barbuda,2012,2,2012-02,2012-02-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2012,3,2012-03,2012-03-01,1,4.7,71.46914444250662,71.46914444250662,228.36183164751577
ATG,Antigua and Barbuda,2012,4,2012-04,2012-04-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2012,5,2012-05,2012-05-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2012,6,2012-06,2012-06-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2012,7,2012-07,2012-07-01,1,5.0,163.02039487210595,163.02039487210595,132.51748351813708
ATG,Antigua and Barbuda,2012,8,2012-08,2012-08-01,5,5.0,201.1503059695861,53.41982371848882,351.1746243815874
ATG,Antigua and Barbuda,2012,9,2012-09,2012-09-01,5,4.9,170.02098111091172,48.005031073367476,340.92686029186575
ATG,Antigua and Barbuda,2012,10,2012-10,2012-10-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2012,11,2012-11,2012-11-01,1,4.5,61.2457489723691,61.2457489723691,213.18440335062436
ATG,Antigua and Barbuda,2012,12,2012-12,2012-12-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2013,1,2013-01,2013-01-01,1,5.0,52.32420103881229,52.32420103881229,359.8007466950632
ATG,Antigua and Barbuda,2013,2,2013-02,2013-02-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2013,3,2013-03,2013-03-01,3,4.7,241.59590625153174,137.48068682005922,97.51830415704357
ATG,Antigua and Barbuda,2013,4,2013-04,2013-04-01,1,5.3,373.47146172779645,373.47146172779645,35.8017804941069
ATG,Antigua and Barbuda,2013,5,2013-05,2013-05-01,3,4.8,476.21699107473853,223.31626792474816,23.523042933124238
ATG,Antigua and Barbuda,2013,6,2013-06,2013-06-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2013,7,2013-07,2013-07-01,1,4.7,220.41329483077368,220.41329483077368,3.1141143405525487
ATG,Antigua and Barbuda,2013,8,2013-08,2013-08-01,1,4.6,183.0378062952124,183.0378062952124,17.250598120981874
ATG,Antigua and Barbuda,2013,9,2013-09,2013-09-01,1,4.8,98.98782755354499,98.98782755354499,186.24146692303577
ATG,Antigua and Barbuda,2013,10,2013-10,2013-10-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2013,11,2013-11,2013-11-01,1,4.6,91.74962180628184,91.74962180628184,155.37646979249965
ATG,Antigua and Barbuda,2013,12,2013-12,2013-12-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2014,1,2014-01,2014-01-01,2,4.5,193.01484235826857,110.23933297034375,95.6325405387978
ATG,Antigua and Barbuda,2014,2,2014-02,2014-02-01,1,6.5,227.799905665002,227.799905665002,410.9867830661802
ATG,Antigua and Barbuda,2014,3,2014-03,2014-03-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2014,4,2014-04,2014-04-01,3,5.0,348.19905632154035,220.6383890962561,71.98752390342027
ATG,Antigua and Barbuda,2014,5,2014-05,2014-05-01,7,5.9,1131.9429626612587,431.59354053288826,136.60185167383878
ATG,Antigua and Barbuda,2014,6,2014-06,2014-06-01,1,4.6,88.43496766461408,88.43496766461408,162.73565212795123
ATG,Antigua and Barbuda,2014,7,2014-07,2014-07-01,1,4.5,53.83142746831939,53.83142746831939,238.9918017867958
ATG,Antigua and Barbuda,2014,8,2014-08,2014-08-01,1,4.6,30.986475068074718,30.986475068074718,372.47897854582726
ATG,Antigua and Barbuda,2014,9,2014-09,2014-09-01,1,5.2,68.16680617959804,68.16680617959804,352.9527016654793
ATG,Antigua and Barbuda,2014,10,2014-10,2014-10-01,0,,0.0,0.0,
ATG,Antigua and Barbuda,2014,11,2014-11,2014-11-01,0,,0.0,0.0,
