iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
BHS,Bahamas,2007,1,2007-01,2007-01-01,0,,0.0,0.0,
BHS,Bahamas,2007,2,2007-02,2007-02-01,1,6.2,129.13013992762086,129.13013992762086,455.43861116106956
BHS,Bahamas,2007,3,2007-03,2007-03-01,1,4.5,44.423192281284194,44.423192281284194,277.4109554994867
BHS,Bahamas,2007,4,2007-04,2007-04-01,0,,0.0,0.0,
BHS,Bahamas,2007,5,2007-05,2007-05-01,0,,0.0,0.0,
BHS,Bahamas,2007,6,2007-06,2007-06-01,1,5.0,41.85551259125251,41.85551259125251,404.4478443227435
BHS,Bahamas,2007,7,2007-07,2007-07-01,0,,0.0,0.0,
BHS,Bahamas,2007,8,2007-08,2007-08-01,0,,0.0,0.0,
BHS,Bahamas,2007,9,2007-09,2007-09-01,0,,0.0,0.0,
BHS,Bahamas,2007,10,2007-10,2007-10-01,3,4.6,106.81074458370487,59.3250520235571,242.5828069280348
BHS,Bahamas,2007,11,2007-11,2007-11-01,0,,0.0,0.0,
BHS,Bahamas,2007,12,2007-12,2007-12-01,0,,0.0,0.0,
BHS,Bahamas,2008,1,2008-01,2008-01-01,1,4.6,42.60270464060082,42.60270464060082,308.80559468207065
BHS,Bahamas,2008,2,2008-02,2008-02-01,0,,0.0,0.0,
BHS,Bahamas,2008,3,2008-03,2008-03-01,0,,0.0,0.0,
BHS,Bahamas,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
BHS,Bahamas,2008,5,2008-05,2008-05-01,2,4.6,136.83790859290264,102.68622327979796,132.85355024590987
BHS,Bahamas,2008,6,2008-06,2008-06-01,0,,0.0,0.0,
BHS,Bahamas,2008,7,2008-07,2008-07-01,0,,0.0,0.0,
BHS,Bahamas,2008,8,2008-08,2008-08-01,1,4.6,28.54037010858672,28.54037010858672,388.92522677125834
BHS,Bahamas,2008,9,2008-09,2008-09-01,0,,0.0,0.0,
BHS,Bahamas,2008,10,2008-10,2008-10-01,1,4.9,27.729229708447356,27.729229708447356,463.76927937361523
BHS,Bahamas,2008,11,2008-11,2008-11-01,0,,0.0,0.0,
BHS,Bahamas,2008,12,2008-12,2008-12-01,0,,0.0,0.0,
BHS,Bahamas,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
BHS,Bahamas,2009,2,2009-02,2009-02-01,0,,0.0,0.0,
BHS,Bahamas,2009,3,2009-03,2009-03-01,0,,0.0,0.0,
BHS,Bahamas,2009,4,2009-04,2009-04-01,0,,0.0,0.0,
BHS,Bahamas,2009,5,2009-05,2009-05-01,0,,0.0,0.0,
BHS,Bahamas,2009,6,2009-06,2009-06-01,0,,0.0,0.0,
BHS,Bahamas,2009,7,2009-07,2009-07-01,1,4.5,28.72906262881863,28.72906262881863,364.58144273793204
BHS,Bahamas,2009,8,2009-08,2009-08-01,1,4.6,16.888776789243156,16.888776789243156,493.8592815754599
BHS,Bahamas,2009,9,2009-09,2009-09-01,1,4.8,78.32275355898597,78.32275355898597,233.07321355606538
BHS,Bahamas,2009,10,2009-10,2009-10-01,0,,0.0,0.0,
BHS,Bahamas,2009,11,2009-11,2009-11-01,0,,0.0,0.0,
BHS,Bahamas,2009,12,2009-12,2009-12-01,0,,0.0,0.0,
BHS,Bahamas,2010,1,2010-01,2010-01-01,59,7.0,4479.218175830282,686.2549426268536,289.6378572583376
BHS,Bahamas,2010,2,2010-02,2010-02-01,4,5.3,357.4279656690234,211.531344470182,149.4954616247799
BHS,Bahamas,2010,3,2010-03,2010-03-01,5,5.6,412.20040124972365,192.55392281836424,234.0326410281192
BHS,Bahamas,2010,4,2010-04,2010-04-01,1,4.9,61.30624567905884,61.30624567905884,305.0903505972353
BHS,Bahamas,2010,5,2010-05,2010-05-01,0,,0.0,0.0,
BHS,Bahamas,2010,6,2010-06,2010-06-01,1,4.8,56.353063445473374,56.353063445473374,298.91352391459037
BHS,Bahamas,2010,7,2010-07,2010-07-01,1,4.7,68.4520735639952,68.4520735639952,236.9882248282764
BHS,Bahamas,2010,8,2010-08,2010-08-01,0,,0.0,0.0,
BHS,Bahamas,2010,9,2010-09,2010-09-01,0,,0.0,0.0,
BHS,Bahamas,2010,10,2010-10,2010-10-01,1,5.1,109.02983611818219,109.02983611818219,235.99408330137533
BHS,Bahamas,2010,11,2010-11,2010-11-01,1,4.5,41.89984468654041,41.89984468654041,289.10686781610525
BHS,Bahamas,2010,12,2010-12,2010-12-01,0,,0.0,0.0,
BHS,Bahamas,2011,1,2011-01,2011-01-01,0,,0.0,0.0,
BHS,Bahamas,2011,2,2011-02,2011-02-01,0,,0.0,0.0,
BHS,Bahamas,2011,3,2011-03,2011-03-01,0,,0.0,0.0,
BHS,Bahamas,2011,4,2011-04,2011-04-01,0,,0.0,0.0,
BHS,Bahamas,2011,5,2011-05,2011-05-01,2,4.5,90.50516494582544,54.514603237796294,236.46956882840962
BHS,Bahamas,2011,6,2011-06,2011-06-01,0,,0.0,0.0,
BHS,Bahamas,2011,7,2011-07,2011-07-01,0,,0.0,0.0,
BHS,Bahamas,2011,8,2011-08,2011-08-01,0,,0.0,0.0,
BHS,Bahamas,2011,9,2011-09,2011-09-01,1,5.2,54.92946259468216,54.92946259468216,396.1342755870601
BHS,Bahamas,2011,10,2011-10,2011-10-01,0,,0.0,0.0,
