iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
BRB,Barbados,2007,1,2007-01,2007-01-01,0,,0.0,0.0,
BRB,Barbados,2007,2,2007-02,2007-02-01,2,5.0,78.68592893161018,50.24249180257203,344.8944717848554
BRB,Barbados,2007,3,2007-03,2007-03-01,2,4.7,205.0598896768485,178.5108178395031,45.285153001959216
BRB,Barbados,2007,4,2007-04,2007-04-01,1,4.6,23.528189098825422,23.528189098825422,427.5492950969195
BRB,Barbados,2007,5,2007-05,2007-05-01,1,4.5,18.63693225366621,18.63693225366621,451.1342484379377
BRB,Barbados,2007,6,2007-06,2007-06-01,0,,0.0,0.0,
BRB,Barbados,2007,7,2007-07,2007-07-01,2,4.9,57.68113604603286,35.657638318630696,413.47401906761684
BRB,Barbados,2007,8,2007-08,2007-08-01,2,4.9,63.6139854574016,37.02834217235972,313.82656703316815
BRB,Barbados,2007,9,2007-09,2007-09-01,1,5.0,162.49612713133658,162.49612713133658,133.16171280745246
BRB,Barbados,2007,10,2007-10,2007-10-01,0,,0.0,0.0,
BRB,Barbados,2007,11,2007-11,2007-11-01,7,7.4,1795.2062445942597,1367.8731390932385,217.27629081799057
BRB,Barbados,2007,12,2007-12,2007-12-01,4,5.2,271.3302108043872,102.14736686768285,179.75751858769965
BRB,Barbados,2008,1,2008-01,2008-01-01,0,,0.0,0.0,
BRB,Barbados,2008,2,2008-02,2008-02-01,3,5.3,234.29514246377778,156.47565579854208,209.79001051134355
BRB,Barbados,2008,3,2008-03,2008-03-01,3,4.7,73.08250440664517,26.632516475493087,402.76256415193563
BRB,Barbados,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
BRB,Barbados,2008,5,2008-05,2008-05-01,1,4.6,38.41461520728693,38.41461520728693,329.50154446953167
BRB,Barbados,2008,6,2008-06,2008-06-01,2,5.2,114.49062388417693,59.05547236182898,256.14636346642567
BRB,Barbados,2008,7,2008-07,2008-07-01,2,5.8,193.79187812916587,152.0449065466114,312.86376043303494
BRB,Barbados,2008,8,2008-08,2008-08-01,1,4.9,57.44519672342929,57.44519672342929,318.1004169966515
BRB,Barbados,2008,9,2008-09,2008-09-01,1,4.7,130.69972574416732,130.69972574416732,107.63448925388305
BRB,Barbados,2008,10,2008-10,2008-10-01,0,,0.0,0.0,
BRB,Barbados,2008,11,2008-11,2008-11-01,0,,0.0,0.0,
BRB,Barbados,2008,12,2008-12,2008-12-01,2,4.9,100.38391763508429,50.393463361679125,322.87443010319186
BRB,Barbados,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
BRB,Barbados,2009,2,2009-02,2009-02-01,1,4.5,33.21736008519885,33.21736008519885,335.54876516863277
BRB,Barbados,2009,3,2009-03,2009-03-01,1,4.5,18.972760788255794,18.972760788255794,447.56243028850633
BRB,Barbados,2009,4,2009-04,2009-04-01,2,4.9,80.62890649786146,43.54845188307425,336.5711425773182
