iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
CYM,Cayman Islands,2007,1,2007-01,2007-01-01,0,,0.0,0.0,
CYM,Cayman Islands,2007,2,2007-02,2007-02-01,1,6.2,621.1501635133271,621.1501635133271,141.28818527579816
CYM,Cayman Islands,2007,3,2007-03,2007-03-01,0,,0.0,0.0,
CYM,Cayman Islands,2007,4,2007-04,2007-04-01,0,,0.0,0.0,
CYM,Cayman Islands,2007,5,2007-05,2007-05-01,0,,0.0,0.0,
CYM,Cayman Islands,2007,6,2007-06,2007-06-01,0,,0.0,0.0,
CYM,Cayman Islands,2007,7,2007-07,2007-07-01,0,,0.0,0.0,
CYM,Cayman Islands,2007,8,2007-08,2007-08-01,0,,0.0,0.0,
CYM,Cayman Islands,2007,9,2007-09,2007-09-01,0,,0.0,0.0,
CYM,Cayman Islands,2007,10,2007-10,2007-10-01,0,,0.0,0.0,
CYM,Cayman Islands,2007,11,2007-11,2007-11-01,0,,0.0,0.0,
CYM,Cayman Islands,2007,12,2007-12,2007-12-01,0,,0.0,0.0,
CYM,Cayman Islands,2008,1,2008-01,2008-01-01,0,,0.0,0.0,
CYM,Cayman Islands,2008,2,2008-02,2008-02-01,0,,0.0,0.0,
CYM,Cayman Islands,2008,3,2008-03,2008-03-01,2,5.6,203.6243384164244,138.23750496701055,73.39449151076693
CYM,Cayman Islands,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
CYM,Cayman Islands,2008,5,2008-05,2008-05-01,0,,0.0,0.0,
CYM,Cayman Islands,2008,6,2008-06,2008-06-01,0,,0.0,0.0,
CYM,Cayman Islands,2008,7,2008-07,2008-07-01,0,,0.0,0.0,
CYM,Cayman Islands,2008,8,2008-08,2008-08-01,0,,0.0,0.0,
CYM,Cayman Islands,2008,9,2008-09,2008-09-01,0,,0.0,0.0,
CYM,Cayman Islands,2008,10,2008-10,2008-10-01,1,4.9,159.17525878610107,159.17525878610107,114.26552522750035
CYM,Cayman Islands,2008,11,2008-11,2008-11-01,0,,0.0,0.0,
CYM,Cayman Islands,2008,12,2008-12,2008-12-01,0,,0.0,0.0,
CYM,Cayman Islands,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
CYM,Cayman Islands,2009,2,2009-02,2009-02-01,0,,0.0,0.0,
CYM,Cayman Islands,2009,3,2009-03,2009-03-01,0,,0.0,0.0,
CYM,Cayman Islands,2009,4,2009-04,2009-04-01,0,,0.0,0.0,
CYM,Cayman Islands,2009,5,2009-05,2009-05-01,1,4.6,18.204932205461642,18.204932205461642,478.85063124348267
CYM,Cayman Islands,2009,6,2009-06,2009-06-01,0,,0.0,0.0,
CYM,Cayman Islands,2009,7,2009-07,2009-07-01,0,,0.0,0.0,
CYM,Cayman Islands,2009,8,2009-08,2009-08-01,0,,0.0,0.0,
CYM,Cayman Islands,2009,9,2009-09,2009-09-01,0,,0.0,0.0,
CYM,Cayman Islands,2009,10,2009-10,2009-10-01,0,,0.0,0.0,
CYM,Cayman Islands,2009,11,2009-11,2009-11-01,0,,0.0,0.0,
CYM,Cayman Islands,2009,12,2009-12,2009-12-01,1,4.8,28.606387236423405,28.606387236423405,434.51484006988966
CYM,Cayman Islands,2010,1,2010-01,2010-01-01,1,5.9,701.6198685428242,701.6198685428242,47.84685295435024
CYM,Cayman Islands,2010,2,2010-02,2010-02-01,0,,0.0,0.0,
CYM,Cayman Islands,2010,3,2010-03,2010-03-01,4,5.6,260.6819528172691,155.42174033561415,49.960677307632345
CYM,Cayman Islands,2010,4,2010-04,2010-04-01,4,5.1,435.05959380043424,153.93959337574418,151.8414733160005
CYM,Cayman Islands,2010,5,2010-05,2010-05-01,0,,0.0,0.0,
