iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
DMA,Dominica,2007,1,2007-01,2007-01-01,0,,0.0,0.0,
DMA,Dominica,2007,2,2007-02,2007-02-01,1,5.0,134.37281574808952,134.37281574808952,171.16891772664758
DMA,Dominica,2007,3,2007-03,2007-03-01,1,4.7,66.88639155905908,66.88639155905908,241.61588735123746
DMA,Dominica,2007,4,2007-04,2007-04-01,1,4.5,43.65226442389793,43.65226442389793,280.9122602920797
DMA,Dominica,2007,5,2007-05,2007-05-01,1,4.5,96.33700743202363,96.33700743202363,122.59278421735976
DMA,Dominica,2007,6,2007-06,2007-06-01,0,,0.0,0.0,
DMA,Dominica,2007,7,2007-07,2007-07-01,1,4.6,110.87078147346446,110.87078147346446,117.5160643140675
DMA,Dominica,2007,8,2007-08,2007-08-01,2,4.9,257.4605502256769,171.23994580506712,7.550138889029953
DMA,Dominica,2007,9,2007-09,2007-09-01,2,5.0,172.27427326124095,147.1912713022006,152.94596523345865
DMA,Dominica,2007,10,2007-10,2007-10-01,0,,0.0,0.0,
DMA,Dominica,2007,11,2007-11,2007-11-01,7,7.4,5560.473059715085,4285.915482161422,12.823758644715836
DMA,Dominica,2007,12,2007-12,2007-12-01,3,5.2,643.518940076325,364.16672692367365,17.821887603486328
DMA,Dominica,2008,1,2008-01,2008-01-01,0,,0.0,0.0,
DMA,Dominica,2008,2,2008-02,2008-02-01,2,5.3,413.2605536775204,270.88408617512005,44.468346043684626
DMA,Dominica,2008,3,2008-03,2008-03-01,0,,0.0,0.0,
DMA,Dominica,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
DMA,Dominica,2008,5,2008-05,2008-05-01,1,4.6,153.3467282389477,153.3467282389477,52.64883176133499
DMA,Dominica,2008,6,2008-06,2008-06-01,2,5.2,208.24029056651585,171.77765685492633,29.94895320494675
DMA,Dominica,2008,7,2008-07,2008-07-01,0,,0.0,0.0,
DMA,Dominica,2008,8,2008-08,2008-08-01,0,,0.0,0.0,
DMA,Dominica,2008,9,2008-09,2008-09-01,1,4.7,88.85433174133877,88.85433174133877,184.81533234081485
DMA,Dominica,2008,10,2008-10,2008-10-01,0,,0.0,0.0,
DMA,Dominica,2008,11,2008-11,2008-11-01,2,4.8,159.08910631669028,91.44939794256625,193.32424933132347
DMA,Dominica,2008,12,2008-12,2008-12-01,1,4.8,155.90090763534613,155.90090763534613,95.39672504632765
DMA,Dominica,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
DMA,Dominica,2009,2,2009-02,2009-02-01,1,4.5,110.1201130361979,110.1201130361979,95.8489504961445
DMA,Dominica,2009,3,2009-03,2009-03-01,0,,0.0,0.0,
DMA,Dominica,2009,4,2009-04,2009-04-01,0,,0.0,0.0,
DMA,Dominica,2009,5,2009-05,2009-05-01,2,4.6,159.36832535651624,124.64814105910621,94.09016346245767
DMA,Dominica,2009,6,2009-06,2009-06-01,0,,0.0,0.0,
DMA,Dominica,2009,7,2009-07,2009-07-01,0,,0.0,0.0,
DMA,Dominica,2009,8,2009-08,2009-08-01,0,,0.0,0.0,
DMA,Dominica,2009,9,2009-09,2009-09-01,1,4.5,22.141629556084233,22.141629556084233,416.6713864624275
DMA,Dominica,2009,10,2009-10,2009-10-01,2,4.7,141.01409038544324,95.25322214348799,147.8813744347137
DMA,Dominica,2009,11,2009-11,2009-11-01,2,5.0,201.22538065540317,128.69697167451613,179.8004296544821
DMA,Dominica,2009,12,2009-12,2009-12-01,1,4.9,256.06891240201884,256.06891240201884,19.177376102068145
DMA,Dominica,2010,1,2010-01,2010-01-01,2,5.0,449.80196664787525,225.92985279104127,0.0
DMA,Dominica,2010,2,2010-02,2010-02-01,1,4.9,68.35538143753222,68.35538143753222,283.322636844741
DMA,Dominica,2010,3,2010-03,2010-03-01,0,,0.0,0.0,
DMA,Dominica,2010,4,2010-04,2010-04-01,0,,0.0,0.0,
DMA,Dominica,2010,5,2010-05,2010-05-01,2,5.2,237.91500045256407,221.4323302798509,117.32084112264606
DMA,Dominica,2010,6,2010-06,2010-06-01,1,4.5,155.4879136519052,155.4879136519052,26.849691269866845
DMA,Dominica,2010,7,2010-07,2010-07-01,1,4.9,50.64729450707017,50.64729450707017,343.2895328050047
DMA,Dominica,2010,8,2010-08,2010-08-01,3,5.2,253.21968006905988,165.26752729017494,14.650184166653355
DMA,Dominica,2010,9,2010-09,2010-09-01,0,,0.0,0.0,
DMA,Dominica,2010,10,2010-10,2010-10-01,1,4.5,171.6934863053973,171.6934863053973,7.0211257077052505
DMA,Dominica,2010,11,2010-11,2010-11-01,0,,0.0,0.0,
DMA,Dominica,2010,12,2010-12,2010-12-01,0,,0.0,0.0,
DMA,Dominica,2011,1,2011-01,2011-01-01,3,5.0,215.03983468681005,93.80539834869343,127.91881063772622
DMA,Dominica,2011,2,2011-02,2011-02-01,2,5.2,112.33006071586439,70.85113543837872,299.1763481058725
DMA,Dominica,2011,3,2011-03,2011-03-01,0,,0.0,0.0,
DMA,Dominica,2011,4,2011-04,2011-04-01,3,5.0,209.58173331534664,106.49868256695925,125.56261981532612
DMA,Dominica,2011,5,2011-05,2011-05-01,0,,0.0,0.0,
DMA,Dominica,2011,6,2011-06,2011-06-01,0,,0.0,0.0,
DMA,Dominica,2011,7,2011-07,2011-07-01,1,4.6,20.094446054877327,20.094446054877327,459.10045053624606
DMA,Dominica,2011,8,2011-08,2011-08-01,3,5.2,248.77902483661862,153.67859638311486,190.37157134794487
DMA,Dominica,2011,9,2011-09,2011-09-01,2,5.0,332.0177146880908,265.72788366504477,34.79798821181573
DMA,Dominica,2011,10,2011-10,2011-10-01,0,,0.0,0.0,
DMA,Dominica,2011,11,2011-11,2011-11-01,2,4.8,209.95044606981176,165.8837593140498,82.98338504227253
DMA,Dominica,2011,12,2011-12,2011-12-01,1,5.6,125.66486852999665,125.66486852999665,322.7239340971331
DMA,Dominica,2012,1,2012-01,2012-01-01,1,4.6,60.17614811923281,60.17614811923281,239.7339301455357
DMA,Dominica,2012,2,2012-02,2012-02-01,1,4.6,36.29978971976823,36.29978971976823,340.82675309522574
DMA,Dominica,2012,3,2012-03,2012-03-01,1,4.7,201.28914802828277,201.28914802828277,21.266509358121553
