iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
DOM,Dominican Republic,2007,1,2007-01,2007-01-01,1,4.7,35.87245736652056,35.87245736652056,366.2210343537561
DOM,Dominican Republic,2007,2,2007-02,2007-02-01,0,,0.0,0.0,
DOM,Dominican Republic,2007,3,2007-03,2007-03-01,2,4.9,447.8301813127365,281.4311634437596,0.2891189989705144
DOM,Dominican Republic,2007,4,2007-04,2007-04-01,1,4.7,148.77927910695516,148.77927910695516,81.72222182942646
DOM,Dominican Republic,2007,5,2007-05,2007-05-01,0,,0.0,0.0,
DOM,Dominican Republic,2007,6,2007-06,2007-06-01,2,5.0,351.1359400389589,316.22776601683796,0.0
DOM,Dominican Republic,2007,7,2007-07,2007-07-01,0,,0.0,0.0,
DOM,Dominican Republic,2007,8,2007-08,2007-08-01,0,,0.0,0.0,
DOM,Dominican Republic,2007,9,2007-09,2007-09-01,4,4.8,436.8028669092312,229.19896020161636,18.322754999515606
DOM,Dominican Republic,2007,10,2007-10,2007-10-01,3,4.6,575.1186643001226,199.52623149688787,0.0
DOM,Dominican Republic,2007,11,2007-11,2007-11-01,0,,0.0,0.0,
DOM,Dominican Republic,2007,12,2007-12,2007-12-01,5,5.3,176.2943492964132,55.97289106664397,409.1635347635411
DOM,Dominican Republic,2008,1,2008-01,2008-01-01,1,4.6,199.52623149688787,199.52623149688787,0.0
DOM,Dominican Republic,2008,2,2008-02,2008-02-01,1,5.5,245.18591300631178,245.18591300631178,166.01845087131215
DOM,Dominican Republic,2008,3,2008-03,2008-03-01,0,,0.0,0.0,
DOM,Dominican Republic,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
DOM,Dominican Republic,2008,5,2008-05,2008-05-01,4,4.6,328.104939931273,177.82794100389228,0.0
DOM,Dominican Republic,2008,6,2008-06,2008-06-01,1,4.9,25.83486705670978,25.83486705670978,477.9216923938786
DOM,Dominican Republic,2008,7,2008-07,2008-07-01,0,,0.0,0.0,
DOM,Dominican Republic,2008,8,2008-08,2008-08-01,1,4.6,199.52623149688787,199.52623149688787,0.0
DOM,Dominican Republic,2008,9,2008-09,2008-09-01,0,,0.0,0.0,
DOM,Dominican Republic,2008,10,2008-10,2008-10-01,1,6.1,156.1866653519549,156.1866653519549,394.3665337871978
DOM,Dominican Republic,2008,11,2008-11,2008-11-01,5,5.4,551.1285796530167,176.69875868016067,1.274020989773302
DOM,Dominican Republic,2008,12,2008-12,2008-12-01,3,5.1,448.38549060853137,354.8133892335753,0.0
DOM,Dominican Republic,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
DOM,Dominican Republic,2009,2,2009-02,2009-02-01,3,5.0,440.93788686034924,316.22776601683796,0.0
DOM,Dominican Republic,2009,3,2009-03,2009-03-01,2,5.1,422.1684099438544,306.8533885423931,6.0185321436021875
DOM,Dominican Republic,2009,4,2009-04,2009-04-01,0,,0.0,0.0,
DOM,Dominican Republic,2009,5,2009-05,2009-05-01,1,5.0,64.34020941352951,64.34020941352951,318.4555911768465
DOM,Dominican Republic,2009,6,2009-06,2009-06-01,1,4.9,101.09704804055129,101.09704804055129,205.05051012944483
DOM,Dominican Republic,2009,7,2009-07,2009-07-01,2,4.7,208.60786724928306,177.82794100389228,0.0
DOM,Dominican Republic,2009,8,2009-08,2009-08-01,4,5.1,382.40727194871374,199.52623149688787,0.0
