iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
HTI,Haiti,2007,1,2007-01,2007-01-01,0,,0.0,0.0,
HTI,Haiti,2007,2,2007-02,2007-02-01,1,6.2,124.96324826432901,124.96324826432901,461.998821619033
HTI,Haiti,2007,3,2007-03,2007-03-01,2,4.9,157.82134425660064,104.16740503376518,106.96343808584649
HTI,Haiti,2007,4,2007-04,2007-04-01,1,4.7,24.744300282296855,24.744300282296855,440.49595953337314
HTI,Haiti,2007,5,2007-05,2007-05-01,0,,0.0,0.0,
HTI,Haiti,2007,6,2007-06,2007-06-01,1,5.0,147.45796940196,147.45796940196,152.58391010383397
HTI,Haiti,2007,7,2007-07,2007-07-01,0,,0.0,0.0,
HTI,Haiti,2007,8,2007-08,2007-08-01,0,,0.0,0.0,
HTI,Haiti,2007,9,2007-09,2007-09-01,2,4.8,76.43474627743379,39.805125885494164,368.441705619072
HTI,Haiti,2007,10,2007-10,2007-10-01,3,4.6,319.68896866248815,169.27996797285078,32.87835088253705
HTI,Haiti,2007,11,2007-11,2007-11-01,0,,0.0,0.0,
HTI,Haiti,2007,12,2007-12,2007-12-01,0,,0.0,0.0,
HTI,Haiti,2008,1,2008-01,2008-01-01,1,4.6,111.40850954451278,111.40850954451278,116.54840040336602
HTI,Haiti,2008,2,2008-02,2008-02-01,0,,0.0,0.0,
HTI,Haiti,2008,3,2008-03,2008-03-01,0,,0.0,0.0,
HTI,Haiti,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
HTI,Haiti,2008,5,2008-05,2008-05-01,2,4.6,312.58391559036556,199.52623149688787,0.0
HTI,Haiti,2008,6,2008-06,2008-06-01,0,,0.0,0.0,
HTI,Haiti,2008,7,2008-07,2008-07-01,0,,0.0,0.0,
HTI,Haiti,2008,8,2008-08,2008-08-01,1,4.6,77.06121699615262,77.06121699615262,190.26911639485348
HTI,Haiti,2008,9,2008-09,2008-09-01,0,,0.0,0.0,
HTI,Haiti,2008,10,2008-10,2008-10-01,1,4.9,24.468783557086663,24.468783557086663,488.7870626438002
HTI,Haiti,2008,11,2008-11,2008-11-01,1,4.5,27.352967962050005,27.352967962050005,374.39828368964
HTI,Haiti,2008,12,2008-12,2008-12-01,1,5.1,98.36612838650984,98.36612838650984,256.5790932099042
HTI,Haiti,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
HTI,Haiti,2009,2,2009-02,2009-02-01,1,5.0,67.62763391081842,67.62763391081842,308.4892094606595
HTI,Haiti,2009,3,2009-03,2009-03-01,1,5.0,54.87980922222268,54.87980922222268,350.26344506899585
HTI,Haiti,2009,4,2009-04,2009-04-01,0,,0.0,0.0,
HTI,Haiti,2009,5,2009-05,2009-05-01,0,,0.0,0.0,
HTI,Haiti,2009,6,2009-06,2009-06-01,0,,0.0,0.0,
HTI,Haiti,2009,7,2009-07,2009-07-01,1,4.5,112.22927326673803,112.22927326673803,92.0545195243125
HTI,Haiti,2009,8,2009-08,2009-08-01,1,4.6,53.32948439608199,53.32948439608199,263.89127149965094
HTI,Haiti,2009,9,2009-09,2009-09-01,1,4.8,202.6350645857211,202.6350645857211,42.95951467333192
HTI,Haiti,2009,10,2009-10,2009-10-01,1,4.6,46.15631854626667,46.15631854626667,292.7823698127983
HTI,Haiti,2009,11,2009-11,2009-11-01,0,,0.0,0.0,
HTI,Haiti,2009,12,2009-12,2009-12-01,0,,0.0,0.0,
HTI,Haiti,2010,1,2010-01,2010-01-01,60,7.0,20422.72316952094,3162.2776601683795,0.0
HTI,Haiti,2010,2,2010-02,2010-02-01,4,5.3,906.9047128019116,267.62737755630894,0.0
HTI,Haiti,2010,3,2010-03,2010-03-01,5,5.6,703.805654753521,282.5484768081776,87.4331665537059
HTI,Haiti,2010,4,2010-04,2010-04-01,2,5.1,129.65767568788507,69.88195299650371,278.90520901988384
HTI,Haiti,2010,5,2010-05,2010-05-01,0,,0.0,0.0,
HTI,Haiti,2010,6,2010-06,2010-06-01,1,4.8,61.750275928771735,61.750275928771735,280.6211558410946
HTI,Haiti,2010,7,2010-07,2010-07-01,1,4.7,96.91541237973178,96.91541237973178,167.44728156014295
HTI,Haiti,2010,8,2010-08,2010-08-01,0,,0.0,0.0,
HTI,Haiti,2010,9,2010-09,2010-09-01,0,,0.0,0.0,
HTI,Haiti,2010,10,2010-10,2010-10-01,1,5.1,145.4297768945687,145.4297768945687,178.379730011019
HTI,Haiti,2010,11,2010-11,2010-11-01,2,5.4,257.03682408779304,172.69884640095037,5.853430778464554
HTI,Haiti,2010,12,2010-12,2010-12-01,0,,0.0,0.0,
HTI,Haiti,2011,1,2011-01,2011-01-01,0,,0.0,0.0,
HTI,Haiti,2011,2,2011-02,2011-02-01,0,,0.0,0.0,
HTI,Haiti,2011,3,2011-03,2011-03-01,1,5.0,39.75024206495393,39.75024206495393,414.7693603437879
HTI,Haiti,2011,4,2011-04,2011-04-01,0,,0.0,0.0,
HTI,Haiti,2011,5,2011-05,2011-05-01,4,4.7,228.588978274677,97.9870554262064,119.19621535560823
HTI,Haiti,2011,6,2011-06,2011-06-01,0,,0.0,0.0,
HTI,Haiti,2011,7,2011-07,2011-07-01,1,4.6,25.200307869179678,25.200307869179678,413.81790048252293
HTI,Haiti,2011,8,2011-08,2011-08-01,0,,0.0,0.0,
HTI,Haiti,2011,9,2011-09,2011-09-01,1,5.2,52.080539872566874,52.080539872566874,406.7859755442425
HTI,Haiti,2011,10,2011-10,2011-10-01,0,,0.0,0.0,
HTI,Haiti,2011,11,2011-11,2011-11-01,0,,0.0,0.0,
HTI,Haiti,2011,12,2011-12,2011-12-01,2,5.2,67.20171328650646,35.528701369435005,483.22540558929353
HTI,Haiti,2012,1,2012-01,2012-01-01,6,5.5,728.3096032930082,265.49479832934816,129.94279191580742
HTI,Haiti,2012,2,2012-02,2012-02-01,0,,0.0,0.0,
HTI,Haiti,2012,3,2012-03,2012-03-01,3,4.8,280.9806617995739,177.82794100389228,0.0
HTI,Haiti,2012,4,2012-04,2012-04-01,0,,0.0,0.0,
HTI,Haiti,2012,5,2012-05,2012-05-01,0,,0.0,0.0,
HTI,Haiti,2012,6,2012-06,2012-06-01,0,,0.0,0.0,
HTI,Haiti,2012,7,2012-07,2012-07-01,2,5.1,306.0682371016012,257.1930611532363,64.35299470883098
HTI,Haiti,2012,8,2012-08,2012-08-01,0,,0.0,0.0,
HTI,Haiti,2012,9,2012-09,2012-09-01,1,4.5,19.036843068411553,19.036843068411553,446.8880497702152
HTI,Haiti,2012,10,2012-10,2012-10-01,3,4.7,282.0587590505282,128.53713470398804,96.94513571170425
HTI,Haiti,2012,11,2012-11,2012-11-01,0,,0.0,0.0,
HTI,Haiti,2012,12,2012-12,2012-12-01,0,,0.0,0.0,
HTI,Haiti,2013,1,2013-01,2013-01-01,0,,0.0,0.0,
HTI,Haiti,2013,2,2013-02,2013-02-01,2,5.1,118.82684566373622,72.93954612390682,224.28880115400483
HTI,Haiti,2013,3,2013-03,2013-03-01,0,,0.0,0.0,
HTI,Haiti,2013,4,2013-04,2013-04-01,0,,0.0,0.0,
HTI,Haiti,2013,5,2013-05,2013-05-01,0,,0.0,0.0,
HTI,Haiti,2013,6,2013-06,2013-06-01,0,,0.0,0.0,
HTI,Haiti,2013,7,2013-07,2013-07-01,1,4.9,124.87873316400095,124.87873316400095,162.79806922126653
