iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
KNA,Saint Kitts and Nevis,2007,1,2007-01,2007-01-01,1,4.7,42.41246679493388,42.41246679493388,332.7265242667015
KNA,Saint Kitts and Nevis,2007,2,2007-02,2007-02-01,1,5.0,176.27357436400044,176.27357436400044,116.8851088960866
KNA,Saint Kitts and Nevis,2007,3,2007-03,2007-03-01,1,4.7,18.51155426395527,18.51155426395527,498.53597531930427
KNA,Saint Kitts and Nevis,2007,4,2007-04,2007-04-01,1,4.5,58.24541054929618,58.24541054929618,223.23023174961642
KNA,Saint Kitts and Nevis,2007,5,2007-05,2007-05-01,1,4.5,104.43075064563288,104.43075064563288,106.45845614884703
KNA,Saint Kitts and Nevis,2007,6,2007-06,2007-06-01,1,4.8,54.70552331847736,54.70552331847736,304.8479088223471
KNA,Saint Kitts and Nevis,2007,7,2007-07,2007-07-01,1,4.6,112.27859624250091,112.27859624250091,114.99249295282857
KNA,Saint Kitts and Nevis,2007,8,2007-08,2007-08-01,2,4.9,137.33315552677922,80.79320476095785,229.17379555128886
KNA,Saint Kitts and Nevis,2007,9,2007-09,2007-09-01,3,5.0,170.22895186638897,87.08879786723531,211.85519198299943
KNA,Saint Kitts and Nevis,2007,10,2007-10,2007-10-01,0,,0.0,0.0,
KNA,Saint Kitts and Nevis,2007,11,2007-11,2007-11-01,7,7.4,1550.7138543564843,1189.6445523033185,266.9252687902927
KNA,Saint Kitts and Nevis,2007,12,2007-12,2007-12-01,8,5.3,507.72585980992415,104.30369482079776,274.3050560774747
KNA,Saint Kitts and Nevis,2008,1,2008-01,2008-01-01,0,,0.0,0.0,
KNA,Saint Kitts and Nevis,2008,2,2008-02,2008-02-01,3,5.5,170.72351279051327,81.32848365100403,294.47446261584435
KNA,Saint Kitts and Nevis,2008,3,2008-03,2008-03-01,0,,0.0,0.0,
KNA,Saint Kitts and Nevis,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
KNA,Saint Kitts and Nevis,2008,5,2008-05,2008-05-01,3,4.6,134.50295501301855,64.69698762107924,225.24621452859435
KNA,Saint Kitts and Nevis,2008,6,2008-06,2008-06-01,2,4.9,105.67445112376382,58.16821976760226,287.0169650008784
KNA,Saint Kitts and Nevis,2008,7,2008-07,2008-07-01,0,,0.0,0.0,
KNA,Saint Kitts and Nevis,2008,8,2008-08,2008-08-01,0,,0.0,0.0,
