iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
LCA,Saint Lucia,2007,1,2007-01,2007-01-01,0,,0.0,0.0,
LCA,Saint Lucia,2007,2,2007-02,2007-02-01,2,5.0,106.13091004431554,54.433072766088436,339.1835058677253
LCA,Saint Lucia,2007,3,2007-03,2007-03-01,2,4.7,160.32891470683384,129.85038576283586,108.93841191946953
LCA,Saint Lucia,2007,4,2007-04,2007-04-01,2,4.6,47.983460953158044,28.74404559109788,387.5030155936027
LCA,Saint Lucia,2007,5,2007-05,2007-05-01,1,4.5,41.540970550097704,41.540970550097704,290.8272553663946
LCA,Saint Lucia,2007,6,2007-06,2007-06-01,0,,0.0,0.0,
LCA,Saint Lucia,2007,7,2007-07,2007-07-01,2,4.9,85.45243484632593,44.15106434971376,301.6657359091266
LCA,Saint Lucia,2007,8,2007-08,2007-08-01,2,4.9,116.26098907959397,75.01434181223404,172.62742796363634
LCA,Saint Lucia,2007,9,2007-09,2007-09-01,1,5.0,234.40876649114415,234.40876649114415,59.87925515507237
LCA,Saint Lucia,2007,10,2007-10,2007-10-01,0,,0.0,0.0,
LCA,Saint Lucia,2007,11,2007-11,2007-11-01,7,7.4,3847.587458380167,2995.69483673573,102.92667230518236
LCA,Saint Lucia,2007,12,2007-12,2007-12-01,4,5.2,569.9087116333586,222.41525964202654,9.193374565428908
LCA,Saint Lucia,2008,1,2008-01,2008-01-01,0,,0.0,0.0,
LCA,Saint Lucia,2008,2,2008-02,2008-02-01,3,5.3,390.12299114395483,248.06502740875914,95.79543728304454
LCA,Saint Lucia,2008,3,2008-03,2008-03-01,3,4.7,86.89444698720708,32.69380496667726,361.7520208982899
LCA,Saint Lucia,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
LCA,Saint Lucia,2008,5,2008-05,2008-05-01,1,4.6,71.43672186320005,71.43672186320005,205.42673298884588
LCA,Saint Lucia,2008,6,2008-06,2008-06-01,2,5.2,189.85591261547347,115.13874154395101,109.96157289772364
LCA,Saint Lucia,2008,7,2008-07,2008-07-01,2,5.8,140.54973402902942,110.2740295333509,377.1200309671712
LCA,Saint Lucia,2008,8,2008-08,2008-08-01,1,4.9,44.25881517979449,44.25881517979449,370.25578262381373
LCA,Saint Lucia,2008,9,2008-09,2008-09-01,1,4.7,173.77363454453715,173.77363454453715,50.66429343724302
LCA,Saint Lucia,2008,10,2008-10,2008-10-01,0,,0.0,0.0,
LCA,Saint Lucia,2008,11,2008-11,2008-11-01,2,4.8,63.41362060241592,36.586233720226915,378.27863898271414
LCA,Saint Lucia,2008,12,2008-12,2008-12-01,2,4.9,135.06405217828143,83.29055938529625,220.77380262901562
LCA,Saint Lucia,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
LCA,Saint Lucia,2009,2,2009-02,2009-02-01,1,4.5,56.171465353326646,56.171465353326646,230.4815130408093
LCA,Saint Lucia,2009,3,2009-03,2009-03-01,1,4.5,21.491958004310938,21.491958004310938,422.6275280773751
LCA,Saint Lucia,2009,4,2009-04,2009-04-01,2,4.9,70.23793616677307,38.13047171764465,365.3714346853859
LCA,Saint Lucia,2009,5,2009-05,2009-05-01,2,4.6,169.55667165572055,109.41067730824801,120.16744597303814
LCA,Saint Lucia,2009,6,2009-06,2009-06-01,0,,0.0,0.0,
LCA,Saint Lucia,2009,7,2009-07,2009-07-01,0,,0.0,0.0,
LCA,Saint Lucia,2009,8,2009-08,2009-08-01,0,,0.0,0.0,
LCA,Saint Lucia,2009,9,2009-09,2009-09-01,1,4.8,35.945948306466704,35.945948306466704,388.8375697891028
LCA,Saint Lucia,2009,10,2009-10,2009-10-01,1,4.6,80.8834226851015,80.8834226851015,180.58736440088393
LCA,Saint Lucia,2009,11,2009-11,2009-11-01,4,5.2,259.3365828590859,130.58636970713147,176.88557756070443
LCA,Saint Lucia,2009,12,2009-12,2009-12-01,1,4.9,153.44541389487023,153.44541389487023,121.59771677154538
LCA,Saint Lucia,2010,1,2010-01,2010-01-01,4,5.6,309.5562932755413,104.72364796494053,156.80595705121158
LCA,Saint Lucia,2010,2,2010-02,2010-02-01,1,4.9,27.08920880792775,27.08920880792775,468.439605644295
LCA,Saint Lucia,2010,3,2010-03,2010-03-01,0,,0.0,0.0,
LCA,Saint Lucia,2010,4,2010-04,2010-04-01,1,4.6,25.61406832489626,25.61406832489626,410.5607938807004
LCA,Saint Lucia,2010,5,2010-05,2010-05-01,2,5.2,132.85660129444653,97.66672524613794,281.0320643291866
LCA,Saint Lucia,2010,6,2010-06,2010-06-01,1,4.5,99.08169332278636,99.08169332278636,116.97435286027753
LCA,Saint Lucia,2010,7,2010-07,2010-07-01,1,5.0,39.36886797950356,39.36886797950356,416.6974762641941
LCA,Saint Lucia,2010,8,2010-08,2010-08-01,3,5.2,235.28976794254544,89.28002358641746,137.80773928377067
LCA,Saint Lucia,2010,9,2010-09,2010-09-01,0,,0.0,0.0,
LCA,Saint Lucia,2010,10,2010-10,2010-10-01,1,4.5,83.85527349860442,83.85527349860442,150.34481617849596
LCA,Saint Lucia,2010,11,2010-11,2010-11-01,0,,0.0,0.0,
LCA,Saint Lucia,2010,12,2010-12,2010-12-01,1,5.0,55.53773153583388,55.53773153583388,347.8800190463686
LCA,Saint Lucia,2011,1,2011-01,2011-01-01,2,5.0,99.44698112583816,64.53193557266745,202.7312465622514
LCA,Saint Lucia,2011,2,2011-02,2011-02-01,2,5.2,117.60722297171216,87.34960512583102,303.36054516238244
LCA,Saint Lucia,2011,3,2011-03,2011-03-01,1,4.6,25.710005375642734,25.710005375642734,409.81309670418153
LCA,Saint Lucia,2011,4,2011-04,2011-04-01,2,4.6,214.59830868691944,129.09252453918933,87.083264426339
LCA,Saint Lucia,2011,5,2011-05,2011-05-01,1,4.7,35.95707420789889,35.95707420789889,365.74982492963386
LCA,Saint Lucia,2011,6,2011-06,2011-06-01,0,,0.0,0.0,
LCA,Saint Lucia,2011,7,2011-07,2011-07-01,0,,0.0,0.0,
LCA,Saint Lucia,2011,8,2011-08,2011-08-01,4,5.2,409.0357926546116,290.98181893966466,62.692090887083594
LCA,Saint Lucia,2011,9,2011-09,2011-09-01,2,5.0,210.71655320433678,184.38877348373143,107.88326090812615
LCA,Saint Lucia,2011,10,2011-10,2011-10-01,0,,0.0,0.0,
