iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
NIC,Nicaragua,2007,1,2007-01,2007-01-01,6,5.4,717.7588157921883,223.9905029385795,72.83286186235387
NIC,Nicaragua,2007,2,2007-02,2007-02-01,6,5.0,611.2160390615529,178.60740344500275,45.17696965863136
NIC,Nicaragua,2007,3,2007-03,2007-03-01,6,5.6,1658.07707761745,545.0553291434724,28.47541042084519
NIC,Nicaragua,2007,4,2007-04,2007-04-01,7,5.2,1084.4487670804513,344.3138953725905,0.0
NIC,Nicaragua,2007,5,2007-05,2007-05-01,5,4.7,514.6499055899919,167.02414833400252,35.561462224165496
NIC,Nicaragua,2007,6,2007-06,2007-06-01,7,6.7,1072.741224882499,422.07532866022456,73.98918441636013
NIC,Nicaragua,2007,7,2007-07,2007-07-01,9,5.5,1068.0861252763325,201.3108914825465,21.24490632568139
NIC,Nicaragua,2007,8,2007-08,2007-08-01,13,5.2,1274.4462719574178,323.2237238271141,41.675302980202936
NIC,Nicaragua,2007,9,2007-09,2007-09-01,8,5.3,976.2498956389911,266.5614675549162,27.687995763870795
NIC,Nicaragua,2007,10,2007-10,2007-10-01,13,5.2,1119.2735698161753,165.3173980493129,60.64154357811192
NIC,Nicaragua,2007,11,2007-11,2007-11-01,11,5.2,1460.389163192619,211.7927027352051,12.51597874777726
NIC,Nicaragua,2007,12,2007-12,2007-12-01,11,5.0,1174.2990403236927,316.22776601683796,0.0
NIC,Nicaragua,2008,1,2008-01,2008-01-01,14,5.9,899.7455287641811,166.79171040896904,93.78433715914448
NIC,Nicaragua,2008,2,2008-02,2008-02-01,8,4.7,679.1114790046503,156.67296222032695,51.53241729908265
NIC,Nicaragua,2008,3,2008-03,2008-03-01,1,5.6,159.8925142586834,159.8925142586834,274.54729135639496
NIC,Nicaragua,2008,4,2008-04,2008-04-01,11,6.1,673.6785173418,213.48026814795605,128.9196948634533
NIC,Nicaragua,2008,5,2008-05,2008-05-01,9,5.7,750.2701310336577,157.26700277800407,216.6479020076455
NIC,Nicaragua,2008,6,2008-06,2008-06-01,10,5.2,1170.0683063511087,279.328859559846,27.342651244841107
NIC,Nicaragua,2008,7,2008-07,2008-07-01,8,5.1,1056.6197136369149,279.5842244294743,36.30534454513201
NIC,Nicaragua,2008,8,2008-08,2008-08-01,15,5.5,1645.6466372034502,299.87817942653885,33.643132704997974
NIC,Nicaragua,2008,9,2008-09,2008-09-01,8,5.2,439.8493369590578,134.9819632587171,55.13505904303331
NIC,Nicaragua,2008,10,2008-10,2008-10-01,4,5.0,490.0495247676705,212.32073869133754,37.624591208551884
NIC,Nicaragua,2008,11,2008-11,2008-11-01,11,6.3,1801.5213619201118,438.03329065772124,48.0633111017431
NIC,Nicaragua,2008,12,2008-12,2008-12-01,4,5.0,470.4346407152744,171.18876610162403,76.68747603926805
NIC,Nicaragua,2009,1,2009-01,2009-01-01,12,6.1,2081.021172165105,795.142686658273,25.644634346675694
NIC,Nicaragua,2009,2,2009-02,2009-02-01,5,4.7,530.0024987303207,136.1066238463458,53.475576359388064
NIC,Nicaragua,2009,3,2009-03,2009-03-01,14,5.9,1660.7036172963597,242.44794396501808,14.243823905332574
NIC,Nicaragua,2009,4,2009-04,2009-04-01,10,5.2,875.0340237993864,165.90878500831025,36.90151289106208
NIC,Nicaragua,2009,5,2009-05,2009-05-01,16,7.3,2645.9297156539005,1186.170033851958,21.46033425029401
NIC,Nicaragua,2009,6,2009-06,2009-06-01,11,5.4,1164.7979966189746,167.84983331391007,12.113149873006464
NIC,Nicaragua,2009,7,2009-07,2009-07-01,4,5.5,1109.8597768598654,480.5436252761357,0.0
NIC,Nicaragua,2009,8,2009-08,2009-08-01,6,5.8,961.841960076719,316.13757639201543,46.10875092274734
NIC,Nicaragua,2009,9,2009-09,2009-09-01,3,5.1,368.4387846525423,251.18864315095797,0.0
NIC,Nicaragua,2009,10,2009-10,2009-10-01,13,6.0,1400.6249075667938,281.8382931264455,0.0
NIC,Nicaragua,2009,11,2009-11,2009-11-01,9,5.9,1238.0466318148713,263.7953307421913,82.30954032992895
NIC,Nicaragua,2009,12,2009-12,2009-12-01,12,5.1,1836.0376208494686,283.2962459966487,16.47847371009204
NIC,Nicaragua,2010,1,2010-01,2010-01-01,16,5.9,1456.7029471782066,212.67579082393942,48.55251476160128
NIC,Nicaragua,2010,2,2010-02,2010-02-01,8,5.7,1405.969344638901,627.9420084828851,23.983939201769
NIC,Nicaragua,2010,3,2010-03,2010-03-01,15,5.0,1544.2738010640649,207.53419733048915,0.0
NIC,Nicaragua,2010,4,2010-04,2010-04-01,12,5.5,1729.3121886591523,474.25803811720897,0.0
NIC,Nicaragua,2010,5,2010-05,2010-05-01,4,5.9,798.138843556905,378.83637575275816,117.53947705975712
NIC,Nicaragua,2010,6,2010-06,2010-06-01,4,6.0,732.0867527671294,450.4329326194049,0.0
NIC,Nicaragua,2010,7,2010-07,2010-07-01,8,5.2,1121.517588089972,347.9040563320077,26.958900043542098
NIC,Nicaragua,2010,8,2010-08,2010-08-01,8,5.5,810.7895112204602,196.5557639344157,26.025758312104266
NIC,Nicaragua,2010,9,2010-09,2010-09-01,8,5.0,1327.8390545172342,265.877819901452,0.0
NIC,Nicaragua,2010,10,2010-10,2010-10-01,8,5.8,974.104883275576,572.2266125996961,63.70324234957654
NIC,Nicaragua,2010,11,2010-11,2010-11-01,10,5.0,1185.2701453315753,223.872113856834,0.0
NIC,Nicaragua,2010,12,2010-12,2010-12-01,6,5.7,991.7779975528647,415.9577468351816,47.66428782496356
NIC,Nicaragua,2011,1,2011-01,2011-01-01,10,5.2,1608.106490573398,396.8663450309651,0.62433603426996
NIC,Nicaragua,2011,2,2011-02,2011-02-01,10,5.7,1245.6466689291542,533.5472810216946,42.42446152643517
NIC,Nicaragua,2011,3,2011-03,2011-03-01,13,4.8,1107.3175503356608,195.09207817824947,50.546516057083096
NIC,Nicaragua,2011,4,2011-04,2011-04-01,14,6.1,2110.231109869359,597.460469162289,0.0
NIC,Nicaragua,2011,5,2011-05,2011-05-01,6,5.9,1302.9266827824347,555.2500308757789,49.571467570437406
NIC,Nicaragua,2011,6,2011-06,2011-06-01,6,5.5,666.140788489995,201.58050246932322,48.64745531157912
NIC,Nicaragua,2011,7,2011-07,2011-07-01,14,5.7,3072.027437470359,564.3551030614391,23.368185631527123
NIC,Nicaragua,2011,8,2011-08,2011-08-01,7,5.0,938.6104678189571,260.24803400541487,38.965515854499806
NIC,Nicaragua,2011,9,2011-09,2011-09-01,11,5.8,688.626766979131,128.96624478694824,110.27871288057518
NIC,Nicaragua,2011,10,2011-10,2011-10-01,1,4.5,22.43510739914475,22.43510739914475,414.03788653906406
NIC,Nicaragua,2011,11,2011-11,2011-11-01,11,6.0,2089.440935405581,1000.0,0.0
NIC,Nicaragua,2011,12,2011-12,2011-12-01,14,5.2,1001.9521007972172,200.03076323874797,79.73747020548886
