iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
SXM,Sint Maarten,2007,1,2007-01,2007-01-01,1,4.7,60.138958464490806,60.138958464490806,262.8834219281752
SXM,Sint Maarten,2007,2,2007-02,2007-02-01,1,5.0,115.35148707197521,115.35148707197521,201.6957712247569
SXM,Sint Maarten,2007,3,2007-03,2007-03-01,0,,0.0,0.0,
SXM,Sint Maarten,2007,4,2007-04,2007-04-01,1,4.5,49.09317459250006,49.09317459250006,257.4192888870015
SXM,Sint Maarten,2007,5,2007-05,2007-05-01,1,4.5,58.195527263680894,58.195527263680894,223.4015917183829
SXM,Sint Maarten,2007,6,2007-06,2007-06-01,1,4.8,78.30001318325834,78.30001318325834,233.13129036408102
SXM,Sint Maarten,2007,7,2007-07,2007-07-01,1,4.6,65.14192481876913,65.14192481876913,223.8754731044457
SXM,Sint Maarten,2007,8,2007-08,2007-08-01,2,4.9,90.78212603166419,59.37443421512479,311.49394890688654
SXM,Sint Maarten,2007,9,2007-09,2007-09-01,2,4.8,177.77340307372643,116.82917700979795,153.09827616422407
SXM,Sint Maarten,2007,10,2007-10,2007-10-01,0,,0.0,0.0,
SXM,Sint Maarten,2007,11,2007-11,2007-11-01,7,7.4,854.3944248636959,654.6884029072756,386.40498235821224
SXM,Sint Maarten,2007,12,2007-12,2007-12-01,7,5.3,559.2084968368509,150.89062511498855,206.3275327196618
SXM,Sint Maarten,2008,1,2008-01,2008-01-01,0,,0.0,0.0,
SXM,Sint Maarten,2008,2,2008-02,2008-02-01,3,5.5,131.5392009698303,63.42092299601359,414.01675259147436
SXM,Sint Maarten,2008,3,2008-03,2008-03-01,0,,0.0,0.0,
SXM,Sint Maarten,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
SXM,Sint Maarten,2008,5,2008-05,2008-05-01,3,4.6,140.65927932298553,67.67153742201094,193.23015796948073
SXM,Sint Maarten,2008,6,2008-06,2008-06-01,2,4.9,113.5852993633794,87.36266131060107,234.2531005165154
SXM,Sint Maarten,2008,7,2008-07,2008-07-01,0,,0.0,0.0,
SXM,Sint Maarten,2008,8,2008-08,2008-08-01,0,,0.0,0.0,
SXM,Sint Maarten,2008,9,2008-09,2008-09-01,0,,0.0,0.0,
SXM,Sint Maarten,2008,10,2008-10,2008-10-01,1,6.1,353.3735739204162,353.3735739204162,231.07175064492506
SXM,Sint Maarten,2008,11,2008-11,2008-11-01,6,5.4,396.1452322703856,134.06867581757425,125.57040968397898
SXM,Sint Maarten,2008,12,2008-12,2008-12-01,3,4.8,123.8987762219499,55.536280550465854,255.78184061861097
SXM,Sint Maarten,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
SXM,Sint Maarten,2009,2,2009-02,2009-02-01,3,4.8,89.54761568839787,34.46935013905522,349.23957636253573
SXM,Sint Maarten,2009,3,2009-03,2009-03-01,1,5.1,52.84500256715668,52.84500256715668,380.8457676189035
SXM,Sint Maarten,2009,4,2009-04,2009-04-01,0,,0.0,0.0,
SXM,Sint Maarten,2009,5,2009-05,2009-05-01,2,5.0,96.31145167887344,75.18965705747614,287.28981002360007
SXM,Sint Maarten,2009,6,2009-06,2009-06-01,3,5.0,238.9780533903062,127.61786429053676,173.26234605219875
SXM,Sint Maarten,2009,7,2009-07,2009-07-01,1,4.7,72.5581761986252,72.5581761986252,225.33725962492088
SXM,Sint Maarten,2009,8,2009-08,2009-08-01,3,5.1,159.85371201945108,70.677556498874,322.69278232083076
SXM,Sint Maarten,2009,9,2009-09,2009-09-01,1,4.5,107.00595186391752,107.00595186391752,101.5864002850557
SXM,Sint Maarten,2009,10,2009-10,2009-10-01,2,4.7,223.73132723666066,204.2183565570257,18.377034371084665
SXM,Sint Maarten,2009,11,2009-11,2009-11-01,1,4.7,81.24918138814975,81.24918138814975,202.71084451993772
SXM,Sint Maarten,2009,12,2009-12,2009-12-01,1,4.9,40.54569507310712,40.54569507310712,387.78077326699014
SXM,Sint Maarten,2010,1,2010-01,2010-01-01,2,5.0,98.29995332167567,60.856394676977,329.5891658773827
SXM,Sint Maarten,2010,2,2010-02,2010-02-01,1,4.9,180.34882432187456,180.34882432187456,89.28811787533478
SXM,Sint Maarten,2010,3,2010-03,2010-03-01,0,,0.0,0.0,
SXM,Sint Maarten,2010,4,2010-04,2010-04-01,2,4.8,119.95854750576544,76.96569745526116,236.568877637023
SXM,Sint Maarten,2010,5,2010-05,2010-05-01,3,5.8,214.26357072755388,95.49980338001367,285.51941062959565
SXM,Sint Maarten,2010,6,2010-06,2010-06-01,1,4.5,23.95736134696828,23.95736134696828,400.90816389516976
SXM,Sint Maarten,2010,7,2010-07,2010-07-01,3,4.9,304.1241208080714,185.02489401114997,84.1686199174678
SXM,Sint Maarten,2010,8,2010-08,2010-08-01,1,4.5,26.44751480596227,26.44751480596227,381.1308527066646
SXM,Sint Maarten,2010,9,2010-09,2010-09-01,0,,0.0,0.0,
SXM,Sint Maarten,2010,10,2010-10,2010-10-01,2,4.7,108.25615907219463,78.81452532039863,208.7955314363987
SXM,Sint Maarten,2010,11,2010-11,2010-11-01,0,,0.0,0.0,
SXM,Sint Maarten,2010,12,2010-12,2010-12-01,1,5.1,65.91683188275681,65.91683188275681,336.639632543903
SXM,Sint Maarten,2011,1,2011-01,2011-01-01,4,5.0,316.3048099247467,197.92666407837586,93.71323076840282
SXM,Sint Maarten,2011,2,2011-02,2011-02-01,1,5.0,201.66134403774055,201.66134403774055,89.97459133439516
SXM,Sint Maarten,2011,3,2011-03,2011-03-01,0,,0.0,0.0,
SXM,Sint Maarten,2011,4,2011-04,2011-04-01,3,5.0,240.53239524644047,137.80253980536372,166.12818859539527
SXM,Sint Maarten,2011,5,2011-05,2011-05-01,0,,0.0,0.0,
SXM,Sint Maarten,2011,6,2011-06,2011-06-01,0,,0.0,0.0,
SXM,Sint Maarten,2011,7,2011-07,2011-07-01,1,4.6,99.87955965756386,99.87955965756386,138.39613143985397
SXM,Sint Maarten,2011,8,2011-08,2011-08-01,1,4.6,177.7152448448566,177.7152448448566,23.15263852401654
SXM,Sint Maarten,2011,9,2011-09,2011-09-01,2,5.0,131.5907823310793,90.87432423574381,134.26779192119184
SXM,Sint Maarten,2011,10,2011-10,2011-10-01,0,,0.0,0.0,
SXM,Sint Maarten,2011,11,2011-11,2011-11-01,6,5.2,531.8234391647206,160.80128304232198,51.87155809003815
SXM,Sint Maarten,2011,12,2011-12,2011-12-01,4,5.6,229.62129390714932,105.18103152620898,238.77516363627763
SXM,Sint Maarten,2012,1,2012-01,2012-01-01,1,4.6,92.72220969647303,92.72220969647303,153.26753664192202
SXM,Sint Maarten,2012,2,2012-02,2012-02-01,0,,0.0,0.0,
SXM,Sint Maarten,2012,3,2012-03,2012-03-01,1,4.7,30.654545285986522,30.654545285986522,397.6588041410676
SXM,Sint Maarten,2012,4,2012-04,2012-04-01,0,,0.0,0.0,
SXM,Sint Maarten,2012,5,2012-05,2012-05-01,0,,0.0,0.0,
SXM,Sint Maarten,2012,6,2012-06,2012-06-01,0,,0.0,0.0,
SXM,Sint Maarten,2012,7,2012-07,2012-07-01,1,5.0,299.533787122535,299.533787122535,10.847101906198597
SXM,Sint Maarten,2012,8,2012-08,2012-08-01,5,5.0,375.35699799747925,99.65931122465788,227.83134058615187
SXM,Sint Maarten,2012,9,2012-09,2012-09-01,5,4.9,317.1729993590804,88.4649699941028,217.66825779802076
SXM,Sint Maarten,2012,10,2012-10,2012-10-01,0,,0.0,0.0,
SXM,Sint Maarten,2012,11,2012-11,2012-11-01,1,4.5,25.771693312285088,25.771693312285088,386.3079456133026
SXM,Sint Maarten,2012,12,2012-12,2012-12-01,0,,0.0,0.0,
SXM,Sint Maarten,2013,1,2013-01,2013-01-01,1,5.0,100.04183635704683,100.04183635704683,230.17485408323847
SXM,Sint Maarten,2013,2,2013-02,2013-02-01,0,,0.0,0.0,
SXM,Sint Maarten,2013,3,2013-03,2013-03-01,3,4.7,319.78325795090825,164.08725953318762,62.13532237734396
SXM,Sint Maarten,2013,4,2013-04,2013-04-01,1,5.3,254.49896678878986,254.49896678878986,112.51074404417659
SXM,Sint Maarten,2013,5,2013-05,2013-05-01,3,4.8,349.56823136639036,148.99233858377772,81.43601656267322
SXM,Sint Maarten,2013,6,2013-06,2013-06-01,0,,0.0,0.0,
SXM,Sint Maarten,2013,7,2013-07,2013-07-01,1,4.7,104.07884436455325,104.07884436455325,153.1852475463333
SXM,Sint Maarten,2013,8,2013-08,2013-08-01,1,4.6,90.44799369946135,90.44799369946135,158.23413672252178
