iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
TCA,Turks and Caicos Islands,2007,1,2007-01,2007-01-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2007,2,2007-02,2007-02-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2007,3,2007-03,2007-03-01,2,4.9,108.68102475284877,80.58971698406648,158.28907974119915
TCA,Turks and Caicos Islands,2007,4,2007-04,2007-04-01,1,4.7,20.230428750782313,20.230428750782313,480.77742475412833
TCA,Turks and Caicos Islands,2007,5,2007-05,2007-05-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2007,6,2007-06,2007-06-01,1,5.0,67.07445968400494,67.07445968400494,310.1318783212937
TCA,Turks and Caicos Islands,2007,7,2007-07,2007-07-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2007,8,2007-08,2007-08-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2007,9,2007-09,2007-09-01,1,4.8,21.39113498744967,21.39113498744967,492.64552798145235
TCA,Turks and Caicos Islands,2007,10,2007-10,2007-10-01,3,4.6,163.35393186411406,76.52642198649443,191.66192944825303
TCA,Turks and Caicos Islands,2007,11,2007-11,2007-11-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2007,12,2007-12,2007-12-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2008,1,2008-01,2008-01-01,1,4.6,75.54334299757176,75.54334299757176,194.24782858277018
TCA,Turks and Caicos Islands,2008,2,2008-02,2008-02-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2008,3,2008-03,2008-03-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2008,5,2008-05,2008-05-01,2,4.6,121.33746796124728,70.20286585331249,208.9113159133121
TCA,Turks and Caicos Islands,2008,6,2008-06,2008-06-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2008,7,2008-07,2008-07-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2008,8,2008-08,2008-08-01,1,4.6,57.73288722494574,57.73288722494574,248.02374670130536
TCA,Turks and Caicos Islands,2008,9,2008-09,2008-09-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2008,10,2008-10,2008-10-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2008,11,2008-11,2008-11-01,1,4.5,18.04563770627896,18.04563770627896,457.58249639782406
TCA,Turks and Caicos Islands,2008,12,2008-12,2008-12-01,1,5.1,53.97829202942962,53.97829202942962,376.6020041697982
TCA,Turks and Caicos Islands,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2009,2,2009-02,2009-02-01,1,5.0,42.05175168693979,42.05175168693979,403.5123379387697
TCA,Turks and Caicos Islands,2009,3,2009-03,2009-03-01,1,5.0,31.099074057813727,31.099074057813727,463.85693736076087
TCA,Turks and Caicos Islands,2009,4,2009-04,2009-04-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2009,5,2009-05,2009-05-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2009,6,2009-06,2009-06-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2009,7,2009-07,2009-07-01,1,4.5,38.46304451372058,38.46304451372058,306.22371233716837
TCA,Turks and Caicos Islands,2009,8,2009-08,2009-08-01,1,4.6,33.5842449364134,33.5842449364134,356.377731517488
TCA,Turks and Caicos Islands,2009,9,2009-09,2009-09-01,1,4.8,106.84641077817125,106.84641077817125,170.96236664089724
TCA,Turks and Caicos Islands,2009,10,2009-10,2009-10-01,1,4.6,32.598378110419496,32.598378110419496,362.33663559308025
TCA,Turks and Caicos Islands,2009,11,2009-11,2009-11-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2009,12,2009-12,2009-12-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2010,1,2010-01,2010-01-01,60,7.0,3410.236958691126,547.2330401765192,342.3837189204411
TCA,Turks and Caicos Islands,2010,2,2010-02,2010-02-01,4,5.3,214.46775210463124,100.30119053279765,298.7345863635911
TCA,Turks and Caicos Islands,2010,3,2010-03,2010-03-01,5,5.6,279.60793352009136,88.23357857798827,196.33935063618463
TCA,Turks and Caicos Islands,2010,4,2010-04,2010-04-01,1,5.1,32.048075098716446,32.048075098716446,480.87097297883804
TCA,Turks and Caicos Islands,2010,5,2010-05,2010-05-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2010,6,2010-06,2010-06-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2010,7,2010-07,2010-07-01,1,4.7,31.3201516741188,31.3201516741188,393.3626509402063
TCA,Turks and Caicos Islands,2010,8,2010-08,2010-08-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2010,9,2010-09,2010-09-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2010,10,2010-10,2010-10-01,1,5.1,49.807268076676905,49.807268076676905,392.68621368767856
TCA,Turks and Caicos Islands,2010,11,2010-11,2010-11-01,1,4.5,32.226043998167086,32.226043998167086,341.6083027571739
TCA,Turks and Caicos Islands,2010,12,2010-12,2010-12-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2011,1,2011-01,2011-01-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2011,2,2011-02,2011-02-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2011,3,2011-03,2011-03-01,1,5.0,32.447449722573175,32.447449722573175,455.3681766814652
TCA,Turks and Caicos Islands,2011,4,2011-04,2011-04-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2011,5,2011-05,2011-05-01,3,4.7,109.87857496528231,62.779637881259,208.23713517967653
TCA,Turks and Caicos Islands,2011,6,2011-06,2011-06-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2011,7,2011-07,2011-07-01,1,4.6,20.497559873098673,20.497559873098673,455.1279730814393
TCA,Turks and Caicos Islands,2011,8,2011-08,2011-08-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2011,9,2011-09,2011-09-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2011,10,2011-10,2011-10-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2011,11,2011-11,2011-11-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2011,12,2011-12,2011-12-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2012,1,2012-01,2012-01-01,6,5.5,373.73730113900086,104.09183202708375,241.82153250154758
TCA,Turks and Caicos Islands,2012,2,2012-02,2012-02-01,0,,0.0,0.0,
TCA,Turks and Caicos Islands,2012,3,2012-03,2012-03-01,2,4.5,52.809069192565126,30.82584156602213,350.49262182939225
TCA,Turks and Caicos Islands,2012,4,2012-04,2012-04-01,0,,0.0,0.0,
