iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
TTO,Trinidad and Tobago,2007,1,2007-01,2007-01-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2007,2,2007-02,2007-02-01,1,4.9,272.80967441784344,272.80967441784344,6.511817817280006
TTO,Trinidad and Tobago,2007,3,2007-03,2007-03-01,2,4.7,179.31833462802592,136.10301531445276,53.48087893706954
TTO,Trinidad and Tobago,2007,4,2007-04,2007-04-01,1,4.6,120.73149839205144,120.73149839205144,100.47533110389055
TTO,Trinidad and Tobago,2007,5,2007-05,2007-05-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2007,6,2007-06,2007-06-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2007,7,2007-07,2007-07-01,1,4.9,193.34338876039482,193.34338876039482,75.37313069718898
TTO,Trinidad and Tobago,2007,8,2007-08,2007-08-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2007,9,2007-09,2007-09-01,1,5.0,44.98592285225463,44.98592285225463,390.0226234320705
TTO,Trinidad and Tobago,2007,10,2007-10,2007-10-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2007,11,2007-11,2007-11-01,7,7.4,633.578405444845,493.78147233395197,463.494357691637
TTO,Trinidad and Tobago,2007,12,2007-12,2007-12-01,5,5.2,300.34517425925657,188.3214074111662,80.63667216852613
TTO,Trinidad and Tobago,2008,1,2008-01,2008-01-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2008,2,2008-02,2008-02-01,3,5.3,262.7932703449092,202.73421809575703,42.861674490319054
TTO,Trinidad and Tobago,2008,3,2008-03,2008-03-01,3,4.7,403.5558198525182,163.7538205876544,62.54215249196507
TTO,Trinidad and Tobago,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2008,5,2008-05,2008-05-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2008,6,2008-06,2008-06-01,2,5.2,268.9244879824977,250.43878816468748,92.70134194880691
TTO,Trinidad and Tobago,2008,7,2008-07,2008-07-01,2,5.8,759.0525386126546,607.0276121237144,53.78449803248774
TTO,Trinidad and Tobago,2008,8,2008-08,2008-08-01,2,5.2,356.468089317923,243.45966201175887,29.27644162500726
TTO,Trinidad and Tobago,2008,9,2008-09,2008-09-01,1,4.7,39.583249907911124,39.583249907911124,346.5337843762403
TTO,Trinidad and Tobago,2008,10,2008-10,2008-10-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2008,11,2008-11,2008-11-01,1,4.6,45.02400556646819,45.02400556646819,297.74998186419566
TTO,Trinidad and Tobago,2008,12,2008-12,2008-12-01,1,4.9,272.89746411317384,272.89746411317384,6.447468506164856
TTO,Trinidad and Tobago,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2009,2,2009-02,2009-02-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2009,3,2009-03,2009-03-01,1,4.5,130.55362936069167,130.55362936069167,61.806472787280306
TTO,Trinidad and Tobago,2009,4,2009-04,2009-04-01,2,4.9,481.36452462333335,281.8382931264455,0.0
TTO,Trinidad and Tobago,2009,5,2009-05,2009-05-01,2,4.6,48.979530148440574,30.9416383459201,372.7685835572977
TTO,Trinidad and Tobago,2009,6,2009-06,2009-06-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2009,7,2009-07,2009-07-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2009,8,2009-08,2009-08-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2009,9,2009-09,2009-09-01,1,4.8,151.50216692480572,151.50216692480572,101.12085904090866
TTO,Trinidad and Tobago,2009,10,2009-10,2009-10-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2009,11,2009-11,2009-11-01,3,5.2,799.8075639004076,391.0530263840224,3.575614728782771
TTO,Trinidad and Tobago,2009,12,2009-12,2009-12-01,1,4.9,25.984977818695363,25.984977818695363,476.76297659898916
TTO,Trinidad and Tobago,2010,1,2010-01,2010-01-01,2,5.6,428.2681911678685,263.4360298405415,84.25529421302092
TTO,Trinidad and Tobago,2010,2,2010-02,2010-02-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2010,3,2010-03,2010-03-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2010,4,2010-04,2010-04-01,1,4.6,159.64293119165373,159.64293119165373,44.601214522733
TTO,Trinidad and Tobago,2010,5,2010-05,2010-05-01,1,4.6,149.9456354211729,149.9456354211729,57.13458320187585
TTO,Trinidad and Tobago,2010,6,2010-06,2010-06-01,1,4.5,15.868757171058844,15.868757171058844,483.2928481735397
TTO,Trinidad and Tobago,2010,7,2010-07,2010-07-01,1,5.0,230.56678415216575,230.56678415216575,63.18443519914254
TTO,Trinidad and Tobago,2010,8,2010-08,2010-08-01,2,5.2,263.4005764877948,241.37290911811408,100.07563269060009
TTO,Trinidad and Tobago,2010,9,2010-09,2010-09-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2010,10,2010-10,2010-10-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2010,11,2010-11,2010-11-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2010,12,2010-12,2010-12-01,1,5.0,316.22776601683796,316.22776601683796,0.0
TTO,Trinidad and Tobago,2011,1,2011-01,2011-01-01,0,,0.0,0.0,
TTO,Trinidad and Tobago,2011,2,2011-02,2011-02-01,1,5.2,263.9626343510981,263.9626343510981,82.18273704086327
TTO,Trinidad and Tobago,2011,3,2011-03,2011-03-01,1,4.6,156.3829027338971,156.3829027338971,48.72764186177925
TTO,Trinidad and Tobago,2011,4,2011-04,2011-04-01,1,4.6,30.816893081414044,30.816893081414044,373.5765395191682
