iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
VCT,Saint Vincent and the Grenadines,2007,1,2007-01,2007-01-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2007,2,2007-02,2007-02-01,2,5.0,139.14931931216913,102.60361178284285,202.0920686313035
VCT,Saint Vincent and the Grenadines,2007,3,2007-03,2007-03-01,2,4.7,175.52937686001383,113.9992436679294,134.97663093107357
VCT,Saint Vincent and the Grenadines,2007,4,2007-04,2007-04-01,1,4.6,57.828620151632286,57.828620151632286,247.69238048513373
VCT,Saint Vincent and the Grenadines,2007,5,2007-05,2007-05-01,1,4.5,30.70173183015125,30.70173183015125,351.29947896578733
VCT,Saint Vincent and the Grenadines,2007,6,2007-06,2007-06-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2007,7,2007-07,2007-07-01,2,4.9,113.46689247451923,83.39571621479239,243.547306824186
VCT,Saint Vincent and the Grenadines,2007,8,2007-08,2007-08-01,2,4.9,76.79736776366191,50.14343827811894,253.1857590602187
VCT,Saint Vincent and the Grenadines,2007,9,2007-09,2007-09-01,1,5.0,164.9245070904322,164.9245070904322,130.194979213971
VCT,Saint Vincent and the Grenadines,2007,10,2007-10,2007-10-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2007,11,2007-11,2007-11-01,7,7.4,2610.4240242936166,2039.9449391237597,179.77734964591377
VCT,Saint Vincent and the Grenadines,2007,12,2007-12,2007-12-01,4,5.2,445.519711243722,151.8779558215265,84.13886286130642
VCT,Saint Vincent and the Grenadines,2008,1,2008-01,2008-01-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2008,2,2008-02,2008-02-01,3,5.3,302.5874348302478,160.8741236973452,166.45867896609914
VCT,Saint Vincent and the Grenadines,2008,3,2008-03,2008-03-01,3,4.7,175.13454020106897,65.81007895678754,221.8345423300308
VCT,Saint Vincent and the Grenadines,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2008,5,2008-05,2008-05-01,1,4.6,46.77251667490602,46.77251667490602,290.1299867996065
VCT,Saint Vincent and the Grenadines,2008,6,2008-06,2008-06-01,2,5.2,226.26294720556092,149.9955263949526,192.3399709693354
VCT,Saint Vincent and the Grenadines,2008,7,2008-07,2008-07-01,2,5.8,243.91740496994657,191.73158260154472,268.22697160522955
VCT,Saint Vincent and the Grenadines,2008,8,2008-08,2008-08-01,2,5.2,137.2965471479656,78.67506285506757,255.20144719295922
VCT,Saint Vincent and the Grenadines,2008,9,2008-09,2008-09-01,1,4.7,138.11652516732516,138.11652516732516,96.59545088020434
VCT,Saint Vincent and the Grenadines,2008,10,2008-10,2008-10-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2008,11,2008-11,2008-11-01,2,4.8,44.72060874907635,25.995769148880928,450.193099189538
VCT,Saint Vincent and the Grenadines,2008,12,2008-12,2008-12-01,2,4.9,156.5155996800367,102.70802465924878,201.88864541142803
VCT,Saint Vincent and the Grenadines,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2009,2,2009-02,2009-02-01,1,4.5,36.338663088153965,36.338663088153965,317.5868371867835
VCT,Saint Vincent and the Grenadines,2009,3,2009-03,2009-03-01,1,4.5,43.39875316785972,43.39875316785972,282.0771494788167
VCT,Saint Vincent and the Grenadines,2009,4,2009-04,2009-04-01,2,4.9,133.17672783793597,72.78901239529374,239.03200326852777
VCT,Saint Vincent and the Grenadines,2009,5,2009-05,2009-05-01,2,4.6,125.00947655696262,70.78605747916619,207.25673216798222
VCT,Saint Vincent and the Grenadines,2009,6,2009-06,2009-06-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2009,7,2009-07,2009-07-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2009,8,2009-08,2009-08-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2009,9,2009-09,2009-09-01,1,4.8,72.30033890452465,72.30033890452465,249.07508131116808
VCT,Saint Vincent and the Grenadines,2009,10,2009-10,2009-10-01,1,4.6,53.19390874534141,53.19390874534141,264.40036427240744
VCT,Saint Vincent and the Grenadines,2009,11,2009-11,2009-11-01,4,5.2,293.92668796977915,93.51756867041222,253.63792359633425
VCT,Saint Vincent and the Grenadines,2009,12,2009-12,2009-12-01,1,4.9,106.9789763342551,106.9789763342551,193.74022910724412
VCT,Saint Vincent and the Grenadines,2010,1,2010-01,2010-01-01,4,5.6,340.1561630803696,120.9028813192591,224.21275584306596
VCT,Saint Vincent and the Grenadines,2010,2,2010-02,2010-02-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2010,3,2010-03,2010-03-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2010,4,2010-04,2010-04-01,1,4.6,51.662742133456426,51.662742133456426,270.2417694454943
VCT,Saint Vincent and the Grenadines,2010,5,2010-05,2010-05-01,2,5.2,135.10152290574632,71.05657527403687,206.49386386074738
VCT,Saint Vincent and the Grenadines,2010,6,2010-06,2010-06-01,1,4.5,65.43525949882584,65.43525949882584,199.95104199748215
VCT,Saint Vincent and the Grenadines,2010,7,2010-07,2010-07-01,1,5.0,79.49740702427286,79.49740702427286,276.14766548072504
VCT,Saint Vincent and the Grenadines,2010,8,2010-08,2010-08-01,3,5.2,272.21144550483183,161.15841944684846,180.86667777266925
VCT,Saint Vincent and the Grenadines,2010,9,2010-09,2010-09-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2010,10,2010-10,2010-10-01,1,4.5,57.8956632985261,57.8956632985261,224.43479546310635
VCT,Saint Vincent and the Grenadines,2010,11,2010-11,2010-11-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2010,12,2010-12,2010-12-01,1,5.0,109.85009860300588,109.85009860300588,211.46920720798298
VCT,Saint Vincent and the Grenadines,2011,1,2011-01,2011-01-01,2,5.0,67.98271759764552,41.77039818045746,289.7257096166093
VCT,Saint Vincent and the Grenadines,2011,2,2011-02,2011-02-01,1,5.2,176.15822481176144,176.15822481176144,163.06772919934028
VCT,Saint Vincent and the Grenadines,2011,3,2011-03,2011-03-01,1,4.6,45.235547851747135,45.235547851747135,296.81249584924694
VCT,Saint Vincent and the Grenadines,2011,4,2011-04,2011-04-01,2,4.6,155.39938957240668,99.73388835286977,138.6880382868236
VCT,Saint Vincent and the Grenadines,2011,5,2011-05,2011-05-01,1,4.7,72.60496552245084,72.60496552245084,225.20833068361736
VCT,Saint Vincent and the Grenadines,2011,6,2011-06,2011-06-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2011,7,2011-07,2011-07-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2011,8,2011-08,2011-08-01,3,5.2,315.2389751094465,232.49569553760128,107.5699061490519
VCT,Saint Vincent and the Grenadines,2011,9,2011-09,2011-09-01,2,5.0,139.89837768323207,121.44116164123707,191.40657066531708
VCT,Saint Vincent and the Grenadines,2011,10,2011-10,2011-10-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2011,11,2011-11,2011-11-01,3,4.9,204.0320695211376,89.00340757137666,207.50591337353433
VCT,Saint Vincent and the Grenadines,2011,12,2011-12,2011-12-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2012,1,2012-01,2012-01-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2012,2,2012-02,2012-02-01,1,4.6,110.8588847916602,110.8588847916602,117.53752591100408
VCT,Saint Vincent and the Grenadines,2012,3,2012-03,2012-03-01,1,4.7,83.74780591703644,83.74780591703644,196.65299923590808
VCT,Saint Vincent and the Grenadines,2012,4,2012-04,2012-04-01,1,4.6,32.72235411978958,32.72235411978958,361.5774514627037
VCT,Saint Vincent and the Grenadines,2012,5,2012-05,2012-05-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2012,6,2012-06,2012-06-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2012,7,2012-07,2012-07-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2012,8,2012-08,2012-08-01,0,,0.0,0.0,
VCT,Saint Vincent and the Grenadines,2012,9,2012-09,2012-09-01,1,4.8,63.49422169144667,63.49422169144667,275.05106368252643
VCT,Saint Vincent and the Grenadines,2012,10,2012-10,2012-10-01,1,4.8,61.88192855947292,61.88192855947292,280.1952063694051
