iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
VGB,British Virgin Islands,2007,1,2007-01,2007-01-01,1,4.7,136.80296191811306,136.80296191811306,98.50666242675037
VGB,British Virgin Islands,2007,2,2007-02,2007-02-01,1,5.0,53.30732755007231,53.30732755007231,356.0777866550388
VGB,British Virgin Islands,2007,3,2007-03,2007-03-01,1,4.9,30.979302558511566,30.979302558511566,441.602831147383
VGB,British Virgin Islands,2007,4,2007-04,2007-04-01,2,4.7,66.20833409604552,42.910395515862604,330.392170447928
VGB,British Virgin Islands,2007,5,2007-05,2007-05-01,1,4.5,31.86982642183245,31.86982642183245,343.8313554532208
VGB,British Virgin Islands,2007,6,2007-06,2007-06-01,1,4.8,176.45208168398835,176.45208168398835,70.6309751096738
VGB,British Virgin Islands,2007,7,2007-07,2007-07-01,1,4.6,31.259971974758706,31.259971974758706,370.72145708284216
VGB,British Virgin Islands,2007,8,2007-08,2007-08-01,2,4.9,43.12583599081661,27.30684359567348,466.8392251799139
VGB,British Virgin Islands,2007,9,2007-09,2007-09-01,4,4.8,440.4987728561007,242.02148075953386,7.435547499823719
VGB,British Virgin Islands,2007,10,2007-10,2007-10-01,0,,0.0,0.0,
VGB,British Virgin Islands,2007,11,2007-11,2007-11-01,0,,0.0,0.0,
VGB,British Virgin Islands,2007,12,2007-12,2007-12-01,5,5.3,1037.2505010107543,331.4958862993042,54.85983544292711
VGB,British Virgin Islands,2008,1,2008-01,2008-01-01,0,,0.0,0.0,
VGB,British Virgin Islands,2008,2,2008-02,2008-02-01,1,5.5,163.80148904837853,163.80148904837853,246.69074874130692
VGB,British Virgin Islands,2008,3,2008-03,2008-03-01,0,,0.0,0.0,
VGB,British Virgin Islands,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
VGB,British Virgin Islands,2008,5,2008-05,2008-05-01,3,4.6,216.10374435427204,122.38426159269265,74.73013583695342
VGB,British Virgin Islands,2008,6,2008-06,2008-06-01,1,4.9,154.71980526413802,154.71980526413802,119.94354095305633
VGB,British Virgin Islands,2008,7,2008-07,2008-07-01,0,,0.0,0.0,
VGB,British Virgin Islands,2008,8,2008-08,2008-08-01,0,,0.0,0.0,
VGB,British Virgin Islands,2008,9,2008-09,2008-09-01,0,,0.0,0.0,
VGB,British Virgin Islands,2008,10,2008-10,2008-10-01,1,6.1,798.3448707926576,798.3448707926576,68.06877212540267
VGB,British Virgin Islands,2008,11,2008-11,2008-11-01,7,5.4,565.3738192404602,172.26194688124284,212.1797835116165
VGB,British Virgin Islands,2008,12,2008-12,2008-12-01,2,4.6,202.1221265255943,134.2851677528809,79.19601152224111
