iso3,country,year,month,year_month,date,monthly_total_mm_pop
JAM,Jamaica,2017,1,2017-01,2017-01-01,25.450922226047663
JAM,Jamaica,2017,2,2017-02,2017-02-01,26.87784208235295
JAM,Jamaica,2017,3,2017-03,2017-03-01,71.07251305263486
JAM,Jamaica,2017,4,2017-04,2017-04-01,159.93675296241955
JAM,Jamaica,2017,5,2017-05,2017-05-01,255.4359637578824
JAM,Jamaica,2017,6,2017-06,2017-06-01,116.06321176090998
JAM,Jamaica,2017,7,2017-07,2017-07-01,39.565923078216954
JAM,Jamaica,2017,8,2017-08,2017-08-01,65.11731684452232
JAM,Jamaica,2017,9,2017-09,2017-09-01,157.81730228288876
JAM,Jamaica,2017,10,2017-10,2017-10-01,223.47333504035635
JAM,Jamaica,2017,11,2017-11,2017-11-01,251.40079687700475
JAM,Jamaica,2017,12,2017-12,2017-12-01,79.25662098702959
JAM,Jamaica,2018,1,2018-01,2018-01-01,163.6160731022503
JAM,Jamaica,2018,2,2018-02,2018-02-01,33.478818875842926
JAM,Jamaica,2018,3,2018-03,2018-03-01,51.23049406949535
JAM,Jamaica,2018,4,2018-04,2018-04-01,78.70236036449403
JAM,Jamaica,2018,5,2018-05,2018-05-01,274.1736322888825
JAM,Jamaica,2018,6,2018-06,2018-06-01,31.124265668413102
JAM,Jamaica,2018,7,2018-07,2018-07-01,24.787378079587047
JAM,Jamaica,2018,8,2018-08,2018-08-01,28.618277386306474
JAM,Jamaica,2018,9,2018-09,2018-09-01,89.26280038722369
JAM,Jamaica,2018,10,2018-10,2018-10-01,95.12882823036176
JAM,Jamaica,2018,11,2018-11,2018-11-01,64.77823406375167
JAM,Jamaica,2018,12,2018-12,2018-12-01,41.677569587356544
JAM,Jamaica,2019,1,2019-01,2019-01-01,46.34798256046876
JAM,Jamaica,2019,2,2019-02,2019-02-01,54.654676659765215
JAM,Jamaica,2019,3,2019-03,2019-03-01,51.27354380460864
JAM,Jamaica,2019,4,2019-04,2019-04-01,78.02803308330209
JAM,Jamaica,2019,5,2019-05,2019-05-01,129.6409311234135
JAM,Jamaica,2019,6,2019-06,2019-06-01,15.828737947195272
JAM,Jamaica,2019,7,2019-07,2019-07-01,51.55039985566333
JAM,Jamaica,2019,8,2019-08,2019-08-01,61.45832833301035
JAM,Jamaica,2019,9,2019-09,2019-09-01,160.58548329456852
JAM,Jamaica,2019,10,2019-10,2019-10-01,204.92103928541152
JAM,Jamaica,2019,11,2019-11,2019-11-01,134.48171676819675
JAM,Jamaica,2019,12,2019-12,2019-12-01,68.11037714755028
JAM,Jamaica,2020,1,2020-01,2020-01-01,59.389373063700866
JAM,Jamaica,2020,2,2020-02,2020-02-01,26.39213321803532
JAM,Jamaica,2020,3,2020-03,2020-03-01,30.99917456680482
JAM,Jamaica,2020,4,2020-04,2020-04-01,37.274991300467086
JAM,Jamaica,2020,5,2020-05,2020-05-01,131.1939770828714
JAM,Jamaica,2020,6,2020-06,2020-06-01,69.21955132957929
JAM,Jamaica,2020,7,2020-07,2020-07-01,60.033535114099394
JAM,Jamaica,2020,8,2020-08,2020-08-01,121.65650906019816
JAM,Jamaica,2020,9,2020-09,2020-09-01,151.24992828255796
JAM,Jamaica,2020,10,2020-10,2020-10-01,336.3186618374737
JAM,Jamaica,2020,11,2020-11,2020-11-01,365.9620492101664
JAM,Jamaica,2020,12,2020-12,2020-12-01,33.4905934388059
JAM,Jamaica,2021,1,2021-01,2021-01-01,46.58482896627995
JAM,Jamaica,2021,2,2021-02,2021-02-01,57.91796826098322
JAM,Jamaica,2021,3,2021-03,2021-03-01,29.696550833220183
JAM,Jamaica,2021,4,2021-04,2021-04-01,59.223177134030955
JAM,Jamaica,2021,5,2021-05,2021-05-01,63.86742617140695
JAM,Jamaica,2021,6,2021-06,2021-06-01,96.23072335544434
JAM,Jamaica,2021,7,2021-07,2021-07-01,123.60602477987968
JAM,Jamaica,2021,8,2021-08,2021-08-01,294.877051542462
JAM,Jamaica,2021,9,2021-09,2021-09-01,45.01669004871514
JAM,Jamaica,2021,10,2021-10,2021-10-01,92.18095388801613
JAM,Jamaica,2021,11,2021-11,2021-11-01,59.179300525217336
JAM,Jamaica,2021,12,2021-12,2021-12-01,40.46668166775283
JAM,Jamaica,2022,1,2022-01,2022-01-01,33.92074200968434
JAM,Jamaica,2022,2,2022-02,2022-02-01,24.14989153180321
JAM,Jamaica,2022,3,2022-03,2022-03-01,52.25270501704446
JAM,Jamaica,2022,4,2022-04,2022-04-01,128.89669104963338
JAM,Jamaica,2022,5,2022-05,2022-05-01,90.24970820696969
JAM,Jamaica,2022,6,2022-06,2022-06-01,48.940906982177445
JAM,Jamaica,2022,7,2022-07,2022-07-01,54.02342999580566
JAM,Jamaica,2022,8,2022-08,2022-08-01,128.29681832201672
JAM,Jamaica,2022,9,2022-09,2022-09-01,199.55277746046806
JAM,Jamaica,2022,10,2022-10,2022-10-01,121.82899374525176
JAM,Jamaica,2022,11,2022-11,2022-11-01,60.51781064315514
JAM,Jamaica,2022,12,2022-12,2022-12-01,30.657575560040147
JAM,Jamaica,2023,1,2023-01,2023-01-01,45.931924722491495
JAM,Jamaica,2023,2,2023-02,2023-02-01,20.649257135399676
JAM,Jamaica,2023,3,2023-03,2023-03-01,44.24277261546115
JAM,Jamaica,2023,4,2023-04,2023-04-01,43.482441379661715
JAM,Jamaica,2023,5,2023-05,2023-05-01,140.19027126939662
JAM,Jamaica,2023,6,2023-06,2023-06-01,147.69070993734314
JAM,Jamaica,2023,7,2023-07,2023-07-01,36.0493637171707
JAM,Jamaica,2023,8,2023-08,2023-08-01,99.88739890687053
JAM,Jamaica,2023,9,2023-09,2023-09-01,99.34334868958257
JAM,Jamaica,2023,10,2023-10,2023-10-01,111.24207556289136
JAM,Jamaica,2023,11,2023-11,2023-11-01,293.9849512302717
JAM,Jamaica,2023,12,2023-12,2023-12-01,46.59445461256225
JAM,Jamaica,2024,1,2024-01,2024-01-01,45.285596512015616
JAM,Jamaica,2024,2,2024-02,2024-02-01,33.08909823575218
JAM,Jamaica,2024,3,2024-03,2024-03-01,62.46506035359196
JAM,Jamaica,2024,4,2024-04,2024-04-01,57.01631141739748
JAM,Jamaica,2024,5,2024-05,2024-05-01,100.87997828544252
JAM,Jamaica,2024,6,2024-06,2024-06-01,188.91073401423395
JAM,Jamaica,2024,7,2024-07,2024-07-01,158.94356856960556
JAM,Jamaica,2024,8,2024-08,2024-08-01,109.10347659010579
JAM,Jamaica,2024,9,2024-09,2024-09-01,159.4213354002714
JAM,Jamaica,2024,10,2024-10,2024-10-01,129.41491213990426
JAM,Jamaica,2024,11,2024-11,2024-11-01,291.6322640125968
JAM,Jamaica,2024,12,2024-12,2024-12-01,53.68714536989279
