iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed,population_weight_year
BMU,Bermuda,2007,1,2007-01,2007-01-01,78.34542659611914,2.5272718256812627,39.07241837156229,48.11340247591916,48.11340247591916,18.51452574504713,35.747113075814816,2,0,31,2015
BMU,Bermuda,2007,2,2007-02,2007-02-01,71.741919675327,2.562211416975964,26.791737170602232,29.676876166345757,67.45567218042362,18.86973365795378,24.780380954755838,1,0,28,2015
BMU,Bermuda,2007,3,2007-03,2007-03-01,63.31596323890443,2.0424504270614334,25.214302213656865,29.676876166345757,47.415847624479085,19.050830512623783,23.758818419694073,2,0,31,2015
BMU,Bermuda,2007,4,2007-04,2007-04-01,52.05334188447391,1.7351113961491302,22.881133054077065,22.952848025582902,33.54732345940772,11.557447373537526,19.808735178267877,1,0,30,2015
BMU,Bermuda,2007,5,2007-05,2007-05-01,68.88142022302935,2.221981297517076,17.615356238861278,20.57533257321475,28.022379716434436,14.029508328383566,17.165511245075763,0,0,31,2015
BMU,Bermuda,2007,6,2007-06,2007-06-01,71.39356324532167,2.3797854415107222,12.99034842357908,15.728277238671627,25.98069684715816,12.253256777827733,12.79153022838306,0,0,30,2015
BMU,Bermuda,2007,7,2007-07,2007-07-01,91.74005544390775,2.9593566272228307,30.546346260097614,42.80686196278815,55.06737766547868,18.336338889214538,27.698842357791477,2,0,31,2015
BMU,Bermuda,2007,8,2007-08,2007-08-01,148.263117327605,4.78268120411629,53.844042942146295,81.14784760999663,117.82052538842571,29.42691722158513,47.15583899209837,3,1,31,2015
BMU,Bermuda,2007,9,2007-09,2007-09-01,64.66438588714722,2.155479529571574,46.66750399356143,91.85550193536481,91.85550193536481,7.569326804456357,35.97516396917412,1,0,30,2015
BMU,Bermuda,2007,10,2007-10,2007-10-01,81.44658489579061,2.6273091901867938,30.486615420539078,41.11613906843574,47.96627953277925,23.983139766389623,29.114214479824245,3,0,31,2015
BMU,Bermuda,2007,11,2007-11,2007-11-01,46.42273978509681,1.547424659503227,22.499284704058912,29.83330550372171,29.83330550372171,6.196711043294943,18.101358171784053,1,0,30,2015
BMU,Bermuda,2007,12,2007-12,2007-12-01,66.37987798180298,2.1412863865097735,37.00776267727667,37.00776267727667,37.00776267727667,14.068723384672701,32.21270144859883,2,0,31,2015
BMU,Bermuda,2008,1,2008-01,2008-01-01,99.63550844968847,3.21404865966737,21.90174703820083,44.76226860697952,63.16401140867055,17.904907442791806,20.70269515957812,1,0,31,2015
BMU,Bermuda,2008,2,2008-02,2008-02-01,56.17845191035658,1.9371879969088475,22.31674598622947,22.31674598622947,33.861705924127115,17.18450235013298,21.163805082760213,1,0,29,2015
BMU,Bermuda,2008,3,2008-03,2008-03-01,76.74850023932807,2.475758072236389,16.80322745230536,42.008054163924015,42.008054163924015,15.923228889431517,16.803225282279453,0,0,31,2015
BMU,Bermuda,2008,4,2008-04,2008-04-01,39.60883070510653,1.3202943568368843,26.1473535211151,26.1473535211151,26.147353521115107,7.403812451195246,22.468449383349245,1,0,30,2015
BMU,Bermuda,2008,5,2008-05,2008-05-01,68.09235515882574,2.1965275857685724,14.261366020414435,22.499643967976795,28.202763241509643,11.464391092617076,14.239056788659507,0,0,31,2015
BMU,Bermuda,2008,6,2008-06,2008-06-01,38.85724034982724,1.2952413449942413,32.715486068379086,34.38084969217459,35.44646821111157,1.4027948629546783,23.710950559449877,1,0,30,2015
BMU,Bermuda,2008,7,2008-07,2008-07-01,79.37841772727981,2.560594120234833,54.65411193464597,79.37841772727981,79.37841772727981,12.362152896316918,45.67517009204231,2,1,31,2015
BMU,Bermuda,2008,8,2008-08,2008-08-01,90.68932704422733,2.9254621627170105,31.48970760268935,80.19149608291579,83.69469736714483,24.350894240113217,29.87354378655086,3,0,31,2015
BMU,Bermuda,2008,9,2008-09,2008-09-01,137.14850240655116,4.571616746885039,30.666507418335698,57.893244278206055,71.81556876392943,26.23915677863918,29.66897395638075,3,0,30,2015
BMU,Bermuda,2008,10,2008-10,2008-10-01,77.83135173992794,2.5106887658041273,35.85225634320197,61.18107070267805,74.54352531545595,19.138876151394214,31.58482081990293,2,0,31,2015
BMU,Bermuda,2008,11,2008-11,2008-11-01,197.38664888937126,6.579554962979042,48.52887286627039,92.79164749132356,125.93877112242683,45.22692937726914,47.80007688203128,4,0,30,2015
BMU,Bermuda,2008,12,2008-12,2008-12-01,59.58081057562154,1.9219616314716625,59.58081057562154,59.58081057562154,59.58081057562155,0.0,41.706567402935036,1,1,31,2015
BMU,Bermuda,2009,1,2009-01,2009-01-01,75.54822795287595,2.437039611383095,30.11060765422728,60.22121530845456,60.22121530845456,22.718810149324334,30.11060765422728,2,0,31,2015
BMU,Bermuda,2009,2,2009-02,2009-02-01,47.37595387278102,1.691998352599322,13.023889029293459,23.96198771617013,23.96198771617013,10.148671366712795,12.460725636840927,0,0,28,2015
BMU,Bermuda,2009,3,2009-03,2009-03-01,58.345001544607,1.8820968240195808,32.037905559643576,32.037905559643576,32.037905559643576,13.153547992481712,28.5570374102268,2,0,31,2015
