iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed,population_weight_year
DMA,Dominica,2007,1,2007-01,2007-01-01,53.712669083019485,1.7326667446135318,20.064668553316068,34.95584350798018,44.308585015679704,7.445587477332054,16.611473829872285,1,0,31,2015
DMA,Dominica,2007,2,2007-02,2007-02-01,43.95240423330908,1.5697287226181815,9.248988875115419,16.653062125728102,17.717510903628433,7.005162702432702,8.930796926689787,0,0,28,2015
DMA,Dominica,2007,3,2007-03,2007-03-01,66.33638758375677,2.139883470443767,35.462430679814744,42.07788975415335,46.13830768894566,6.0497146422059,27.05414016050709,1,0,31,2015
DMA,Dominica,2007,4,2007-04,2007-04-01,58.281329482518544,1.9427109827506182,14.097727961460759,49.784836854876765,52.882330526977874,9.179365905095809,12.810140879407934,0,0,30,2015
DMA,Dominica,2007,5,2007-05,2007-05-01,44.12592583371705,1.4234169623779693,12.5107644159557,18.30386998312743,21.98999543925424,8.13725876268268,11.400887387701546,0,0,31,2015
DMA,Dominica,2007,6,2007-06,2007-06-01,101.64850071931141,3.3882833573103803,21.616859711991985,37.45045506100416,58.94985741123231,16.638346174980885,21.05527279514609,1,0,30,2015
DMA,Dominica,2007,7,2007-07,2007-07-01,135.49051919082015,4.370661909381295,47.03020837503869,51.92541180991199,90.28662218935355,26.14480970356732,41.46044141046385,3,0,31,2015
DMA,Dominica,2007,8,2007-08,2007-08-01,308.9306259090458,9.965504061582122,118.24155042958854,139.00876533852144,156.71415878075538,53.11827950639762,107.20136767177493,4,2,31,2015
DMA,Dominica,2007,9,2007-09,2007-09-01,294.53253287486126,9.817751095828708,75.25196975176294,131.62796183541144,147.84449088852205,50.07936370034014,70.88044140387228,4,2,30,2015
DMA,Dominica,2007,10,2007-10,2007-10-01,252.86272346467942,8.156862047247722,59.82503817348175,108.68004625394467,129.5423745553326,36.774093586258275,53.207955088618704,6,1,31,2015
DMA,Dominica,2007,11,2007-11,2007-11-01,94.18267183144675,3.1394223943815587,14.640852426112682,22.58636592555193,31.053265317017733,13.188348695483583,14.49523534493807,0,0,30,2015
DMA,Dominica,2007,12,2007-12,2007-12-01,124.23146543355912,4.007466626889004,16.409289414116223,33.86003491208527,48.57221896054591,15.34183781394735,16.277950063711568,0,0,31,2015
DMA,Dominica,2008,1,2008-01,2008-01-01,49.292031306563274,1.5900655260181702,10.701885504640055,16.70298739274855,16.70298739274855,5.865233512549896,9.291650419680584,0,0,31,2015
DMA,Dominica,2008,2,2008-02,2008-02-01,49.97144880123482,1.7231534069391317,10.5204223920355,24.500355551903134,24.50035555190314,7.325124952181888,10.001116485794332,0,0,29,2015
DMA,Dominica,2008,3,2008-03,2008-03-01,76.76603365525146,2.4763236662984345,12.286091244559199,20.696755895704683,25.569838103022942,11.192697435553159,12.18687726761694,0,0,31,2015
DMA,Dominica,2008,4,2008-04,2008-04-01,61.44156526312554,2.048052175437518,17.836820972297968,22.98099740394933,25.820408688823377,12.25829091397601,17.333503537069493,0,0,30,2015
DMA,Dominica,2008,5,2008-05,2008-05-01,61.72825135781597,1.9912339147682572,41.845949342653526,47.27466215973565,47.60893487799077,4.079515808268546,30.527493731285958,1,0,31,2015
DMA,Dominica,2008,6,2008-06,2008-06-01,172.58987529796318,5.752995843265439,55.480000979009084,67.54163224031512,123.0216332193242,36.09291569867747,51.65530892848398,4,1,30,2015
DMA,Dominica,2008,7,2008-07,2008-07-01,165.4469634958634,5.336998822447207,89.05966312862616,101.04783412372028,101.04783412372029,23.47215796540279,72.82860767075171,2,1,31,2015
DMA,Dominica,2008,8,2008-08,2008-08-01,150.26037075342245,4.847108733981369,35.33862293392044,101.84272555247195,101.84272555247196,27.28878481829161,34.04037114344362,4,0,31,2015
DMA,Dominica,2008,9,2008-09,2008-09-01,255.53296566577905,8.517765522192635,89.97090929436096,136.55634399543743,159.6602514308636,27.478084403003134,72.88586297453779,3,1,30,2015
DMA,Dominica,2008,10,2008-10,2008-10-01,376.3591404764771,12.140617434725067,68.35477445815248,126.76291897314778,150.65819218158845,56.85385543459181,65.70485833317382,8,3,31,2015
DMA,Dominica,2008,11,2008-11,2008-11-01,168.31736398628635,5.610578799542878,96.49167827707463,157.10113400641615,157.1011340064162,35.61750670588187,86.08583373823207,2,2,30,2015
DMA,Dominica,2008,12,2008-12,2008-12-01,131.3571928905448,4.237328802920801,19.12853589307197,33.279245941627465,45.38614573358565,17.325663858565434,18.974545236572133,0,0,31,2015
DMA,Dominica,2009,1,2009-01,2009-01-01,48.760733686342235,1.572926893107814,8.544000898055454,13.410419898861912,20.026163710212344,7.675483056133818,8.502322482008843,0,0,31,2015
DMA,Dominica,2009,2,2009-02,2009-02-01,79.62200071186713,2.8436428825666833,23.920387456803613,27.87226786868998,34.76505307118674,11.248987002925919,20.773133218657264,1,0,28,2015
DMA,Dominica,2009,3,2009-03,2009-03-01,34.59557789096097,1.115986383579386,9.827261946261064,12.345398391042956,20.373163880295106,5.4667600767337365,8.944199133153703,0,0,31,2015
DMA,Dominica,2009,4,2009-04,2009-04-01,87.56763513972615,2.918921171324205,24.38192280416476,29.212507241401603,34.71955122262108,11.895848510508015,20.844649154746364,1,0,30,2015
DMA,Dominica,2009,5,2009-05,2009-05-01,147.04702794336708,4.743452514302164,17.02444289907291,36.16651086346829,54.67432490424925,15.886319511522647,16.683351328492083,0,0,31,2015
DMA,Dominica,2009,6,2009-06,2009-06-01,145.63998899650892,4.854666299883631,70.64401680510868,127.23072623061381,128.5920460725752,37.09988368868569,66.56739766502366,2,2,30,2015
DMA,Dominica,2009,7,2009-07,2009-07-01,170.89608610685391,5.512776971188836,49.31419336962513,66.47324348091934,116.23441096768909,44.021489527663775,48.99082119119891,3,0,31,2015
