iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed
GRD,Grenada,2007,1,2007-01,2007-01-01,92.20339888035708,2.9743031896889383,18.042964252470945,30.970743257220015,47.891029553659266,11.073945309931197,16.01424413198192,0,0,31
GRD,Grenada,2007,2,2007-02,2007-02-01,62.968116075753684,2.2488612884197745,14.077945305347196,29.984678953386265,29.98467895338626,12.181476984000973,13.721880832693943,0,0,28
GRD,Grenada,2007,3,2007-03,2007-03-01,59.08832286334586,1.9060749310756728,45.570737886316536,45.74164440324996,46.67595804565735,6.3456017241089,35.42658346216467,1,0,31
GRD,Grenada,2007,4,2007-04,2007-04-01,59.77113953549469,1.992371317849823,49.939679412021555,61.69656921783196,61.69656921783196,5.407303067910196,38.30829581834254,1,0,30
GRD,Grenada,2007,5,2007-05,2007-05-01,55.81280346820431,1.8004130151033648,46.41335906312534,49.64969864863956,52.01793565521628,4.420458088802574,34.17072432181499,1,0,31
GRD,Grenada,2007,6,2007-06,2007-06-01,153.53386592973993,5.117795530991331,67.66646124468402,84.31793653686509,84.31793653686509,30.443740841181835,60.14440078974953,2,1,30
GRD,Grenada,2007,7,2007-07,2007-07-01,77.62334066937025,2.503978731270008,50.11606237695038,75.86955249126427,76.6725914506061,13.27826453682786,42.80729069815942,2,1,31
GRD,Grenada,2007,8,2007-08,2007-08-01,255.7223765068187,8.249108919574796,40.676357229821974,55.792034917864314,74.37435202593579,28.29160572857561,38.4148497679185,4,0,31
GRD,Grenada,2007,9,2007-09,2007-09-01,170.4362303995178,5.681207679983927,81.27228845866809,149.4866060059451,151.71622959350654,36.140267868651755,70.22509546107463,3,1,30
GRD,Grenada,2007,10,2007-10,2007-10-01,259.9295088784863,8.384822867047944,50.673767260243395,96.63717373110727,122.56834164777305,41.28946333168837,49.73356375181217,5,1,31
GRD,Grenada,2007,11,2007-11,2007-11-01,155.34606318868111,5.178202106289371,133.61430215321562,148.63206956048558,148.63206956048555,11.281069206686443,99.22130707689146,1,1,30
GRD,Grenada,2007,12,2007-12,2007-12-01,245.36270572732542,7.914925991204046,222.4051975180132,222.4051975180132,222.40519751801318,11.478754104656106,159.78842214292388,1,1,31
GRD,Grenada,2008,1,2008-01,2008-01-01,78.80549706481881,2.542112808542542,13.85225797798533,23.003555028912928,38.00071809668166,9.53889794390955,12.640800440816323,0,0,31
