iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed,population_weight_year
HND,Honduras,2007,1,2007-01,2007-01-01,49.80564879932559,1.6066338322363094,8.974711912207855,15.047538354994508,18.20493555450392,5.3207986489438,7.913816644290269,0,0,31,2015
HND,Honduras,2007,2,2007-02,2007-02-01,28.57433194378422,1.0205118551351506,8.772317745033169,14.25860414838969,14.56266448821472,4.271041215186093,7.7536462012511285,0,0,28,2015
HND,Honduras,2007,3,2007-03,2007-03-01,32.78177836886858,1.0574767215764058,9.361688797818244,16.417321339865687,17.350870506839307,5.5234933153399055,8.321402951484796,0,0,31,2015
HND,Honduras,2007,4,2007-04,2007-04-01,40.459716784630054,1.348657226154335,9.65713784508478,13.542911248284717,14.691873451330245,6.514865198994881,9.393208267011165,0,0,30,2015
HND,Honduras,2007,5,2007-05,2007-05-01,86.84523679039951,2.80145925130321,18.85581532604995,41.33266796534856,44.25179323202633,11.238426319649307,18.093880937184657,0,0,31,2015
HND,Honduras,2007,6,2007-06,2007-06-01,170.7340259799998,5.6911341993333275,18.88028903333015,42.21687532104492,54.664546230826105,12.064533005554582,17.115278913601607,0,0,30,2015
HND,Honduras,2007,7,2007-07,2007-07-01,120.39731149691868,3.883784241836086,11.999159266806455,20.622348305134672,31.891179981314743,9.719280395192694,11.693791243279163,0,0,31,2015
HND,Honduras,2007,8,2007-08,2007-08-01,193.76968829123788,6.250635106168964,24.009684228090865,33.48770082983152,46.75311523027104,12.799269587708231,21.2581296442668,1,0,31,2015
HND,Honduras,2007,9,2007-09,2007-09-01,266.03396779172033,8.867798926390678,29.34957130122149,52.430724659610135,81.34457732637556,18.31657226876351,26.202179613984725,1,0,30,2015
HND,Honduras,2007,10,2007-10,2007-10-01,200.67018173154545,6.473231668759531,25.927469597287228,45.187142859468494,58.798889708019374,15.006959750958414,22.65324845274378,1,0,31,2015
HND,Honduras,2007,11,2007-11,2007-11-01,159.50126130468468,5.316708710156155,29.190254218532022,42.00238461704256,80.8461021372037,22.908536717461367,29.047782711343135,2,0,30,2015
HND,Honduras,2007,12,2007-12,2007-12-01,53.50564513224322,1.725988552653007,11.064378124100024,20.842819136113896,22.289961957848313,6.135387536386155,10.187661306739079,0,0,31,2015
HND,Honduras,2008,1,2008-01,2008-01-01,53.88987313003733,1.7383830041947526,10.483696002308386,21.701840540156606,27.903678791875706,6.428232455144007,9.692224360838383,0,0,31,2015
HND,Honduras,2008,2,2008-02,2008-02-01,32.96370620003897,1.1366795241392749,6.830459202311573,13.331022295758245,17.080591152584162,6.026236578543933,6.649262841863774,0,0,29,2015
HND,Honduras,2008,3,2008-03,2008-03-01,32.456508365861424,1.0469841408342395,15.187897876171318,16.869968150164304,17.3759566608833,2.9447469669331277,11.743021924929957,0,0,31,2015
HND,Honduras,2008,4,2008-04,2008-04-01,27.509058415647523,0.9169686138549175,6.754051020101709,13.009779305627609,16.13245609634991,3.3797746241932196,6.06794800416106,0,0,30,2015
HND,Honduras,2008,5,2008-05,2008-05-01,125.43873655921541,4.046410856748884,17.609686568387602,34.44796165651416,49.294143850414,14.789815212405106,16.89191789361437,0,0,31,2015
HND,Honduras,2008,6,2008-06,2008-06-01,192.38695166379352,6.412898388793118,16.826344801056994,45.88466535233544,70.18667866946018,15.463762512845111,16.52107950244291,0,0,30,2015
HND,Honduras,2008,7,2008-07,2008-07-01,239.06992931308474,7.711933203647895,23.06454714795219,50.68731282323458,67.50751720867146,18.7583844712874,21.79745351090042,1,0,31,2015
HND,Honduras,2008,8,2008-08,2008-08-01,219.7787843262071,7.089638204071197,21.767791222358785,46.646151433726025,60.015464607368685,17.232801363870855,20.486040106505737,1,0,31,2015
HND,Honduras,2008,9,2008-09,2008-09-01,299.10226479402803,9.970075493134267,22.007052107937202,50.69618669845133,82.96746736968143,19.742288611288263,21.359508840235023,1,0,30,2015
HND,Honduras,2008,10,2008-10,2008-10-01,379.3114973066129,12.235854751826222,33.557265290275375,95.03063784060768,135.29745044400326,32.9616266401122,33.555311205376846,7,0,31,2015
HND,Honduras,2008,11,2008-11,2008-11-01,106.42456351923059,3.5474854506410196,22.848613063535858,33.57387505038057,42.87067765558287,12.122616031599616,19.94395417782914,1,0,30,2015
HND,Honduras,2008,12,2008-12,2008-12-01,72.59066527528802,2.3416343637189683,23.70867390267172,27.632684240265636,36.116581932873885,9.683402911802979,21.11882866018093,1,0,31,2015
HND,Honduras,2009,1,2009-01,2009-01-01,64.21411350876674,2.0714230164118304,15.431973719585168,30.638092566559592,39.51775883001207,9.031207975575484,14.576778130917472,0,0,31,2015
HND,Honduras,2009,2,2009-02,2009-02-01,61.06657400947876,2.1809490717670985,10.595285278162306,16.671928696324272,25.102267616773627,8.9934045413769,10.45523800167261,0,0,28,2015
HND,Honduras,2009,3,2009-03,2009-03-01,22.329734764622902,0.720314024665255,9.74855859277496,10.799117014616506,11.558015887882563,2.775355387566777,7.805753740806111,0,0,31,2015
HND,Honduras,2009,4,2009-04,2009-04-01,24.632221454311725,0.8210740484770576,11.435652565523698,16.91520626433804,18.782526922543035,2.9636735380537322,9.247835187775355,0,0,30,2015
HND,Honduras,2009,5,2009-05,2009-05-01,151.6928150319645,4.8933166139343385,12.624688910204389,26.83520589849787,42.16231317524061,11.232944966089054,12.333342940917818,0,0,31,2015
HND,Honduras,2009,6,2009-06,2009-06-01,223.76184008072502,7.458728002690834,25.274363357398972,59.38137836672142,83.4289331967553,20.01206357134564,24.6049480271057,2,0,30,2015
HND,Honduras,2009,7,2009-07,2009-07-01,130.9017730923072,4.2226378416873285,12.777354855620473,25.001933465972733,40.2469056796995,10.724929644515353,12.311572573050272,0,0,31,2015
HND,Honduras,2009,8,2009-08,2009-08-01,148.11391268748665,4.777868151209247,14.391008118809497,31.878114273997866,40.96278717920861,9.919141397797596,13.121763700447815,0,0,31,2015
HND,Honduras,2009,9,2009-09,2009-09-01,118.58648387728329,3.952882795909443,11.79392098190498,23.768780049857014,40.06055722393014,10.668133234377848,11.697415581628265,0,0,30,2015
HND,Honduras,2009,10,2009-10,2009-10-01,118.5881731079154,3.825424938965013,21.00740043241341,36.619800993804056,37.962597121042585,15.61155868326819,20.770430942945385,2,0,31,2015
HND,Honduras,2009,11,2009-11,2009-11-01,201.8590249951989,6.728634166506629,71.19526493756503,120.98357588137902,133.234262066429,29.667515678558647,59.3625848784789,4,1,30,2015
HND,Honduras,2009,12,2009-12,2009-12-01,75.58401899444482,2.4381941611111233,57.36824687134907,61.764353240442624,65.8804152040524,3.1576534744008424,41.19676990213193,1,1,31,2015
HND,Honduras,2010,1,2010-01,2010-01-01,77.8567243110598,2.511507235840639,9.043926872100508,20.29926262100261,35.93902154759313,8.064722318768752,8.886984641167832,0,0,31,2015
HND,Honduras,2010,2,2010-02,2010-02-01,42.987896387070506,1.5352820138239467,10.206864690174143,12.596930829271049,13.195480464593714,5.749662097148539,9.084384184003598,0,0,28,2015
HND,Honduras,2010,3,2010-03,2010-03-01,27.81297365039848,0.897192698399951,8.097146537254524,11.649502913489682,11.653139603833415,4.163430919345951,7.039435817025083,0,0,31,2015
HND,Honduras,2010,4,2010-04,2010-04-01,112.68762015095173,3.756254005031724,17.8631132548869,43.1297768274149,50.697797310753074,15.600691026570454,17.360911495117723,0,0,30,2015
HND,Honduras,2010,5,2010-05,2010-05-01,285.93561195713914,9.22372941797223,36.28264522946063,69.28335775491962,112.04651705776152,31.353081838387748,36.15464278299446,6,0,31,2015
HND,Honduras,2010,6,2010-06,2010-06-01,191.64901285125282,6.388300428375094,36.0620679617185,56.4225688394235,63.15478008623043,14.279125875001057,30.287606160267813,1,0,30,2015
HND,Honduras,2010,7,2010-07,2010-07-01,284.78676664985124,9.186669891930686,27.073465188607,45.156691254314026,70.10941427149056,17.894216063145116,24.65393631412924,1,0,31,2015
HND,Honduras,2010,8,2010-08,2010-08-01,264.2743994531899,8.524980627522256,17.71998832858816,43.57295346479553,61.97489146637302,16.665886848375052,17.591701875267916,0,0,31,2015
HND,Honduras,2010,9,2010-09,2010-09-01,290.2386403666816,9.674621345556053,34.45863420830886,68.50315695133193,104.96028339385529,24.927613076889983,32.027103636685474,3,0,30,2015
HND,Honduras,2010,10,2010-10,2010-10-01,136.0289079846512,4.388029289827458,46.663390265226795,59.47116359704732,95.92829003957068,16.258201585615435,38.796125308961,2,0,31,2015
HND,Honduras,2010,11,2010-11,2010-11-01,75.47578464398806,2.5158594881329353,29.10930759773281,60.204634205417705,60.44850962392939,15.638071581484127,25.438614757665487,1,0,30,2015
HND,Honduras,2010,12,2010-12,2010-12-01,56.43483576490715,1.820478573061521,8.891341376827578,18.563811461609895,21.495264445115318,6.539791284390716,8.316223191049374,0,0,31,2015
HND,Honduras,2011,1,2011-01,2011-01-01,80.3116339088255,2.590697868026629,36.69002747562531,47.727936287333584,48.400531133105325,7.846968709506758,28.342392249253777,1,0,31,2015
HND,Honduras,2011,2,2011-02,2011-02-01,47.80116094538374,1.7071843194779908,6.850847989088562,16.708001545425248,40.97561212437356,5.690657031392226,6.649214556980542,0,0,28,2015
HND,Honduras,2011,3,2011-03,2011-03-01,28.19248133237951,0.9094348816896617,4.880701623834449,9.58766327682898,11.547836829674281,3.8601765247647446,4.718218772357574,0,0,31,2015
HND,Honduras,2011,4,2011-04,2011-04-01,43.614325763126445,1.4538108587708816,9.85400466632959,17.938987524737446,24.795700493026082,6.990193342646595,9.33321505552134,0,0,30,2015
