iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed,population_weight_year
HTI,Haiti,2007,1,2007-01,2007-01-01,27.144133642154724,0.8756172142630556,5.468332355069966,13.198828795478672,14.264063543848566,3.8786591234448347,5.183533960376538,0,0,31,2015
HTI,Haiti,2007,2,2007-02,2007-02-01,30.40575818589839,1.0859199352106568,7.378588939522148,12.896092510450819,14.28795473572832,3.180825803617975,6.256780533132444,0,0,28,2015
HTI,Haiti,2007,3,2007-03,2007-03-01,99.89066690748238,3.2222795776607223,41.630662923860775,63.31056935113435,71.63643731915349,17.84253801336377,35.49976038171155,2,0,31,2015
HTI,Haiti,2007,4,2007-04,2007-04-01,139.42337406568095,4.647445802189365,23.759122105060296,42.795386531055115,53.698614991723794,15.892591772280687,22.260988755565997,1,0,30,2015
HTI,Haiti,2007,5,2007-05,2007-05-01,216.68739923476198,6.989916104347161,67.88813057289752,86.68552646323495,103.4443583157144,34.44378665587146,60.08551491031078,4,1,31,2015
HTI,Haiti,2007,6,2007-06,2007-06-01,104.3844594240205,3.4794819808006836,9.21203288652133,43.8641643207825,66.37290035906477,8.862560754881859,9.149115848602541,0,0,30,2015
HTI,Haiti,2007,7,2007-07,2007-07-01,146.8158948070855,4.735996606680177,16.497773260379805,28.795700796646447,40.46284231529205,10.866328550133062,15.125557535990108,0,0,31,2015
HTI,Haiti,2007,8,2007-08,2007-08-01,159.91954018405173,5.1586948446468295,34.92580442543549,44.3139297564868,53.098461345709865,13.439791268384106,28.63616174460217,1,0,31,2015
HTI,Haiti,2007,9,2007-09,2007-09-01,106.22500438713028,3.5408334795710092,11.705350435937827,22.146723380751382,29.29897627976534,9.449886588245128,11.345296154434667,0,0,30,2015
HTI,Haiti,2007,10,2007-10,2007-10-01,287.8067058891196,9.284087286745793,45.36166710515888,93.56854360604379,112.55205479620005,24.10343825044246,39.146163535672464,4,0,31,2015
HTI,Haiti,2007,11,2007-11,2007-11-01,147.84804578737737,4.928268192912579,35.15510064032228,83.99230948703855,127.17490465607544,17.184407870058607,29.984880989277663,1,0,30,2015
HTI,Haiti,2007,12,2007-12,2007-12-01,50.09962358554264,1.6161168898562142,20.344898642990472,34.94180030887306,35.49618953469412,7.298450832941297,16.507946702404475,1,0,31,2015
HTI,Haiti,2008,1,2008-01,2008-01-01,22.173682065818124,0.7152800666392943,8.477427631313828,9.956254434982757,12.391204794084992,2.5350616314969807,6.751721638733253,0,0,31,2015
HTI,Haiti,2008,2,2008-02,2008-02-01,35.43111820134693,1.22176269659817,5.9400941216882766,13.559128197615621,14.360224334970452,3.9137701321474117,5.489486870102625,0,0,29,2015
HTI,Haiti,2008,3,2008-03,2008-03-01,34.2346641806752,1.1043440058282323,9.263544601900136,17.443116160269454,22.258231614441705,5.309246298753095,8.337334098696774,0,0,31,2015
HTI,Haiti,2008,4,2008-04,2008-04-01,177.15498998492714,5.9051663328309045,70.78472245232001,148.14977577162716,163.58949663141624,38.7843919696498,61.77049507143586,3,1,30,2015
HTI,Haiti,2008,5,2008-05,2008-05-01,153.4228557025861,4.949124377502778,44.06881318457081,108.44239790106266,126.36547178066394,32.18679235824592,40.525194000998454,3,0,31,2015
HTI,Haiti,2008,6,2008-06,2008-06-01,144.5090007547764,4.81696669182588,24.42040716713008,90.03372335735992,132.47427670224158,14.06116935953731,21.49998747493394,1,0,30,2015
HTI,Haiti,2008,7,2008-07,2008-07-01,98.6854042231371,3.183400136230229,15.324663330384581,29.032739357426987,43.87649646058026,12.745819742804,14.64670427692091,0,0,31,2015
HTI,Haiti,2008,8,2008-08,2008-08-01,248.61064898593176,8.019698354384895,46.52109714112586,75.65071572881283,89.41434976632567,29.22120861121332,44.890980316330264,2,0,31,2015
HTI,Haiti,2008,9,2008-09,2008-09-01,289.42293843111764,9.647431281037255,48.33057762223922,80.62578000917887,94.45805326938317,29.78339090860677,45.46480418091051,2,0,30,2015
HTI,Haiti,2008,10,2008-10,2008-10-01,154.38424476688198,4.980136927963935,19.44730304519902,34.40433945646306,41.35778411685415,15.627088773260398,18.79483185437821,0,0,31,2015
HTI,Haiti,2008,11,2008-11,2008-11-01,71.89337282568178,2.3964457608560594,11.397644546881146,23.876648322136894,46.112012467130505,10.840975837987505,11.256373418151606,0,0,30,2015
HTI,Haiti,2008,12,2008-12,2008-12-01,24.903420226126663,0.8033361363266666,4.286322417444049,5.079906563699043,6.043371218322648,2.9518907108987253,4.164943883684932,0,0,31,2015
HTI,Haiti,2009,1,2009-01,2009-01-01,21.810680662713462,0.7035703439584988,5.278511623331816,5.459908848688518,10.335583671597902,4.272629892083431,5.009012322340571,0,0,31,2015
HTI,Haiti,2009,2,2009-02,2009-02-01,32.38431879466175,1.1565828140950625,6.715693037400532,10.166527807632857,10.199529311811078,5.556491894930469,6.563732722153755,0,0,28,2015
HTI,Haiti,2009,3,2009-03,2009-03-01,52.388315858334316,1.6899456728494942,18.901546419804973,29.013773388984564,30.2483408776284,5.610342282163515,15.216467174704624,0,0,31,2015
HTI,Haiti,2009,4,2009-04,2009-04-01,95.11336577504018,3.1704455258346727,51.84569487476728,58.51382126334745,58.964414236479236,7.804763301006595,39.418450567278356,1,1,30,2015
HTI,Haiti,2009,5,2009-05,2009-05-01,328.3075807785724,10.590567121889432,71.44493355682435,182.12617941009768,210.59742722440666,55.34062292663667,68.71533743090416,5,2,31,2015
HTI,Haiti,2009,6,2009-06,2009-06-01,181.73022715682143,6.057674238560714,34.139067915747795,62.23838237518428,72.11353671382449,17.005163379124085,30.86799389932981,2,0,30,2015
HTI,Haiti,2009,7,2009-07,2009-07-01,77.91408211583425,2.513357487607556,10.10396819055987,26.357046445560588,29.021697620169885,9.485578208646855,10.095048111070502,0,0,31,2015
HTI,Haiti,2009,8,2009-08,2009-08-01,119.68065947802178,3.8606664347748962,15.012090421594344,30.119380872745708,37.9464887574637,11.252283541757208,14.231842394048362,0,0,31,2015
HTI,Haiti,2009,9,2009-09,2009-09-01,119.00595734969787,3.9668652449899287,16.041921291322687,29.578023072126307,41.61724881756398,8.306164010663055,14.132286964540308,0,0,30,2015
HTI,Haiti,2009,10,2009-10,2009-10-01,97.03910978956567,3.1302938641795377,12.582831268228336,19.327242688418444,27.561771489231628,9.520933652065121,12.064517239621022,0,0,31,2015
HTI,Haiti,2009,11,2009-11,2009-11-01,57.17245662750071,1.9057485542500237,21.405969638119114,31.183411965739953,31.410749621269012,5.593007412559227,16.842099922144342,1,0,30,2015
HTI,Haiti,2009,12,2009-12,2009-12-01,63.148923355257175,2.0370620437179734,55.03176251775424,59.58219549613622,62.49637150162463,3.649630883936057,39.88518846312361,1,1,31,2015
HTI,Haiti,2010,1,2010-01,2010-01-01,34.10874553400566,1.1002821140001824,8.551511484247449,20.335624405179633,23.178354474841917,5.892056460466092,8.377351909938492,0,0,31,2015
HTI,Haiti,2010,2,2010-02,2010-02-01,52.50251027152078,1.8750896525543135,25.077529588224557,34.917907312302475,44.68103070987658,9.774089711482608,20.947330656315092,1,0,28,2015
HTI,Haiti,2010,3,2010-03,2010-03-01,41.347335700065926,1.3337850225827719,9.399040399837329,35.05714882362084,44.89752654769876,7.419262553934152,9.305146121290505,0,0,31,2015
HTI,Haiti,2010,4,2010-04,2010-04-01,175.73846389782878,5.857948796594292,85.71983263952662,145.55576503738516,153.528194092822,36.970681426042276,76.56708257362732,2,2,30,2015
HTI,Haiti,2010,5,2010-05,2010-05-01,179.9939910883964,5.806257777045045,31.761969644399407,55.12907575926893,83.01032978434651,19.166660217759627,28.255456703341796,2,0,31,2015
HTI,Haiti,2010,6,2010-06,2010-06-01,228.34665240170128,7.611555080056709,25.732696925299724,45.207289439485564,60.724441340350744,16.415605715473053,23.49804739044521,1,0,30,2015
HTI,Haiti,2010,7,2010-07,2010-07-01,175.03845366096388,5.646401730998835,14.3527386472831,34.863409126702585,57.38840125501851,12.595650722152705,14.118213804536223,0,0,31,2015
HTI,Haiti,2010,8,2010-08,2010-08-01,146.14439816757385,4.7143354247604465,14.304229855414444,36.652888262056194,53.80075410188251,11.174329203320868,13.422251138070946,0,0,31,2015
HTI,Haiti,2010,9,2010-09,2010-09-01,234.85149851775407,7.8283832839251355,22.372669454732684,45.89611134855285,70.47797009182545,18.059641226779142,21.65592306032694,1,0,30,2015
HTI,Haiti,2010,10,2010-10,2010-10-01,133.28660073167097,4.299567765537773,12.312998455714663,42.49434178699151,72.76344540672477,10.06573863156953,11.704146647490575,0,0,31,2015
HTI,Haiti,2010,11,2010-11,2010-11-01,131.72316639402882,4.390772213134294,69.15171429427457,129.5725000416923,129.93437875350617,31.03214683432803,60.241817568106256,3,1,30,2015
HTI,Haiti,2010,12,2010-12,2010-12-01,67.02032729120859,2.16194604165189,20.027969579920935,23.718052267554935,43.77746229836025,15.95842504753093,19.15392735788759,1,0,31,2015
HTI,Haiti,2011,1,2011-01,2011-01-01,26.170673571343624,0.8442152764949556,9.377695832062933,17.295760519174394,17.669403363261264,3.95903234355573,8.090230461413416,0,0,31,2015
HTI,Haiti,2011,2,2011-02,2011-02-01,34.657120765112786,1.2377543130397424,7.7800728279029485,17.567183316115855,24.401800886661576,4.96239869915109,7.06267218981807,0,0,28,2015
HTI,Haiti,2011,3,2011-03,2011-03-01,36.17097511190984,1.1668056487712852,10.139266575537121,16.922850355888123,18.556706454216446,5.878937054691563,9.471457189836421,0,0,31,2015
HTI,Haiti,2011,4,2011-04,2011-04-01,87.71784211667287,2.923928070555762,33.79061568217225,47.74455789728495,48.326790663850964,11.448876893141222,27.659252202810833,1,0,30,2015
HTI,Haiti,2011,5,2011-05,2011-05-01,171.48638617622325,5.531818908910427,32.12644243954323,63.7444766646932,79.59514166560425,22.95512038949439,30.281470428737645,2,0,31,2015
HTI,Haiti,2011,6,2011-06,2011-06-01,282.68009123913373,9.422669707971124,67.470209133748,125.7033546556747,150.91316720247207,29.991085459780116,58.88374141220922,3,1,30,2015
HTI,Haiti,2011,7,2011-07,2011-07-01,143.9719881310942,4.644257681648201,11.903066394675959,33.2769131680988,40.65575299131784,11.806388321766686,11.882223906634588,0,0,31,2015
HTI,Haiti,2011,8,2011-08,2011-08-01,175.55858157222772,5.663180050717023,25.36617348307483,30.603024547869907,53.78900975279596,17.19343120769453,24.062139716204683,2,0,31,2015
HTI,Haiti,2011,9,2011-09,2011-09-01,160.38924865224766,5.346308288408255,15.348118215568855,33.21839450584471,43.249902137993494,12.92306288602987,15.0135486854708,0,0,30,2015
HTI,Haiti,2011,10,2011-10,2011-10-01,140.48611490392673,4.531810158191185,22.759578530987312,62.61418201996423,73.79885572177788,19.92730174448847,22.386122448416693,2,0,31,2015
HTI,Haiti,2011,11,2011-11,2011-11-01,62.82190127796699,2.0940633759322327,14.550191113037345,17.711894699307624,18.046510526502495,11.447934280388601,14.345262680873022,0,0,30,2015
HTI,Haiti,2011,12,2011-12,2011-12-01,35.36966633876316,1.1409569786697793,7.651377085700881,13.143001225131897,14.191053950161418,5.083723058490738,7.2975969569889685,0,0,31,2015
HTI,Haiti,2012,1,2012-01,2012-01-01,23.577099581477913,0.7605515994025134,7.175333982363809,10.392783044266173,10.484134233567497,3.171556712634728,6.079662032143331,0,0,31,2015
