iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed,population_weight_year
PAN,Panama,2007,1,2007-01,2007-01-01,25.517493811648507,0.8231449616660809,2.9597676263466264,5.745518418544512,8.311103080948927,2.484483170982857,2.9025531612829014,0,0,31,2015
PAN,Panama,2007,2,2007-02,2007-02-01,14.481129554565584,0.5171831983773423,5.321631323538362,6.903466918024244,7.237191738894238,1.2784822049458195,4.257738228058898,0,0,28,2015
PAN,Panama,2007,3,2007-03,2007-03-01,25.566536424024257,0.8247269814201373,4.926973351091932,9.888478798605204,11.14426023438764,4.0560340679168,4.73557588668034,0,0,31,2015
PAN,Panama,2007,4,2007-04,2007-04-01,148.49559712154945,4.949853237384982,14.27928563057815,33.847628989470536,43.59533662255002,11.679862419027293,13.578262558918267,0,0,30,2015
PAN,Panama,2007,5,2007-05,2007-05-01,425.21683648683546,13.716672144736627,38.659218398901004,80.32205991724524,127.09500438326333,28.354212428222805,35.7147490585102,8,0,31,2015
PAN,Panama,2007,6,2007-06,2007-06-01,265.4840107210998,8.849467024036661,25.98072926771411,47.270899692433495,67.7989286283511,16.932916224818293,23.594186872515763,1,0,30,2015
PAN,Panama,2007,7,2007-07,2007-07-01,238.4154983417976,7.690822527154761,18.331186915729084,37.15606344604305,57.38692659022709,14.514242713792632,17.382947498419806,0,0,31,2015
PAN,Panama,2007,8,2007-08,2007-08-01,330.1830041065839,10.65106464859948,26.27631175669336,48.34354943391633,74.00363928949562,19.60782201930755,24.425321589739333,2,0,31,2015
PAN,Panama,2007,9,2007-09,2007-09-01,278.98911769516303,9.299637256505434,29.04249300080316,60.0517523880617,86.06446926753948,19.119885683988716,26.216905399570155,1,0,30,2015
PAN,Panama,2007,10,2007-10,2007-10-01,412.9622758383352,13.32136373672049,35.597185691612545,97.84197101890771,108.3424218532278,31.92198969912709,34.59379069831478,8,0,31,2015
PAN,Panama,2007,11,2007-11,2007-11-01,332.7107288061239,11.090357626870796,24.943282686911697,52.94860129177166,72.84179228326704,21.405051523789822,24.015409200187268,4,0,30,2015
PAN,Panama,2007,12,2007-12,2007-12-01,194.43451333687344,6.2720810753830145,29.705085686551655,78.01070176356362,94.13899197691903,24.152808038505988,28.80359123690667,4,0,31,2015
PAN,Panama,2008,1,2008-01,2008-01-01,24.123313918640836,0.7781714167303495,4.434754178208422,6.152398860804515,8.418011657454398,2.8261654639762184,4.007591344004456,0,0,31,2015
PAN,Panama,2008,2,2008-02,2008-02-01,49.097633412960256,1.6930218418262157,12.050118939507628,29.761598032207345,34.42456749303401,10.53843233867256,11.662712105643982,0,0,29,2015
PAN,Panama,2008,3,2008-03,2008-03-01,24.61187012883549,0.7939312944785643,6.42953024857457,9.819128612922514,10.609226199162116,2.664461973481422,5.380754794729015,0,0,31,2015
PAN,Panama,2008,4,2008-04,2008-04-01,60.30321624382852,2.0101072081276175,9.78215681475404,19.31935801251219,31.407010077241907,7.447755673020321,9.296984382519467,0,0,30,2015
PAN,Panama,2008,5,2008-05,2008-05-01,328.8592641470621,10.608363359582649,46.89911780881967,95.4415417807555,123.79952259537524,31.830828455414856,42.92234469363376,3,0,31,2015
PAN,Panama,2008,6,2008-06,2008-06-01,246.04241781632282,8.20141392721076,20.95661118627207,35.560156897402194,81.50575226116484,15.636675703112324,19.475865977093225,1,0,30,2015
PAN,Panama,2008,7,2008-07,2008-07-01,320.1900490561883,10.328711259877041,20.776474431789907,48.791945090692906,77.51720966296868,18.44986760213218,20.367171810896558,1,0,31,2015
PAN,Panama,2008,8,2008-08,2008-08-01,310.3946260092768,10.012729871266993,22.3783079388259,48.92220205464534,76.82749794235409,20.278222133922363,22.3201416544029,2,0,31,2015
PAN,Panama,2008,9,2008-09,2008-09-01,265.3768208434539,8.845894028115131,32.56211891067616,58.59866569400612,76.5402060897873,19.20312021721496,28.920793924052315,2,0,30,2015
PAN,Panama,2008,10,2008-10,2008-10-01,333.3826128954508,10.754277835337122,29.093300328885533,73.41299734280764,96.69798106639959,26.09035233059811,28.264324169478115,3,0,31,2015
PAN,Panama,2008,11,2008-11,2008-11-01,493.82606538830913,16.46086884627697,56.78625169177505,116.34022735931059,177.40706155997756,44.938963168713414,53.7274990791919,9,1,30,2015
PAN,Panama,2008,12,2008-12,2008-12-01,89.06413312461808,2.8730365524070347,23.834327905095897,74.72478869414041,126.56627335092645,12.972792984549773,21.453937032768806,1,0,31,2015
PAN,Panama,2009,1,2009-01,2009-01-01,41.10431675229821,1.325945701687039,4.8060667428690405,10.673010448839609,16.72247253784448,4.497981289365757,4.719385423094597,0,0,31,2015
PAN,Panama,2009,2,2009-02,2009-02-01,26.1282812496927,0.9331529017747393,12.83831998976342,16.098458685177828,18.01377120526824,2.6264100183298162,10.142765226723117,0,0,28,2015
PAN,Panama,2009,3,2009-03,2009-03-01,34.65253779920878,1.1178237999744767,11.830607736658507,13.732912240797635,16.843780690129854,3.380695065892529,9.33105817366795,0,0,31,2015
PAN,Panama,2009,4,2009-04,2009-04-01,47.044444615155214,1.5681481538385071,11.002924022179933,27.032403733802575,31.964632429178785,8.026590956742274,10.170718806632802,0,0,30,2015
PAN,Panama,2009,5,2009-05,2009-05-01,294.47805358680176,9.499292051187153,19.476807383669225,44.77097756662947,69.9894152676098,18.2824841084078,19.288829766241722,0,0,31,2015
PAN,Panama,2009,6,2009-06,2009-06-01,289.9243965585769,9.664146551952564,25.138412298712066,48.619183618123174,69.25182205367416,18.480060069974808,23.24928438761802,1,0,30,2015
PAN,Panama,2009,7,2009-07,2009-07-01,220.14529725235226,7.101461201688783,19.499944962418798,33.28178322787379,52.42431712448262,14.046955727469053,17.914627051440505,0,0,31,2015
PAN,Panama,2009,8,2009-08,2009-08-01,300.1099292784662,9.680965460595685,24.67965450788764,47.49010951543431,76.15308100200906,21.361861282894775,23.94146247820878,3,0,31,2015
PAN,Panama,2009,9,2009-09,2009-09-01,223.24394948305508,7.441464982768503,20.323938949662796,39.76311185409765,58.41884354573472,19.575195075074472,20.261549632871425,2,0,30,2015
PAN,Panama,2009,10,2009-10,2009-10-01,340.01829452292475,10.96833208138467,28.3314712335971,54.84019648257377,78.08472618293253,24.21389375252143,27.812241563481365,3,0,31,2015
PAN,Panama,2009,11,2009-11,2009-11-01,392.0312560080278,13.067708533600927,39.28899981225185,87.7634977786689,116.25165171544613,32.07325191524565,38.038549956320196,4,0,30,2015
PAN,Panama,2009,12,2009-12,2009-12-01,78.3163996462322,2.5263354724591034,13.661660250698878,31.758617868263975,41.64701474425611,10.254024284916628,12.81221455591001,0,0,31,2015
PAN,Panama,2010,1,2010-01,2010-01-01,28.928660644888133,0.9331826014480042,7.680059530467405,11.318419409566012,12.056317644313557,2.970658679032853,6.2980514483109875,0,0,31,2015
PAN,Panama,2010,2,2010-02,2010-02-01,50.51476348568878,1.8040986959174565,9.364645399116906,22.724651476475792,32.54095384555687,6.9229012701634405,8.858400370134392,0,0,28,2015
PAN,Panama,2010,3,2010-03,2010-03-01,38.64239924520663,1.2465290079098914,9.06999760768844,18.58252106537164,20.58123119488682,5.259721758463421,8.06275676795703,0,0,31,2015
PAN,Panama,2010,4,2010-04,2010-04-01,161.3398003099848,5.37799334366616,34.13900320967562,59.89011110839173,95.18187373926202,24.025817367990715,33.5727728124758,2,0,30,2015
PAN,Panama,2010,5,2010-05,2010-05-01,236.56227125926554,7.631041008363405,40.68955787229413,64.45276110395639,92.85995873867836,20.809890290014376,35.42022056238055,2,0,31,2015
PAN,Panama,2010,6,2010-06,2010-06-01,369.07085927267275,12.302361975755758,39.800374983504376,71.46405338628986,100.55273468019138,29.873366275551092,37.5883420976892,4,0,30,2015
PAN,Panama,2010,7,2010-07,2010-07-01,356.102695595761,11.487183728895516,27.25871509542738,65.13780377373207,86.85332326299171,24.49038999161933,26.48087661592467,5,0,31,2015
PAN,Panama,2010,8,2010-08,2010-08-01,367.2753930322135,11.84759332361979,28.853010634817906,64.5944926596455,84.45016134642714,24.998153836864944,27.99871832793266,5,0,31,2015
PAN,Panama,2010,9,2010-09,2010-09-01,301.16364611730313,10.038788203910105,31.051480013353554,61.41888160958961,92.84458939879609,24.668856437245132,29.81204751405269,3,0,30,2015
PAN,Panama,2010,10,2010-10,2010-10-01,383.005757823149,12.355024445908033,29.025898167384018,67.2661326555837,89.80592114031172,26.732099725370134,28.478138243237332,7,0,31,2015
PAN,Panama,2010,11,2010-11,2010-11-01,412.056355568697,13.735211852289899,51.66805882519464,83.92878061953164,117.4362818992701,31.12603390162004,45.76514654890469,7,1,30,2015
