iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed,population_weight_year
TTO,Trinidad and Tobago,2007,1,2007-01,2007-01-01,89.63585988780724,2.8914793512195884,11.034684714114736,23.070812079057323,33.55226010270235,10.50348125801838,10.981231368122577,0,0,31,2015
TTO,Trinidad and Tobago,2007,2,2007-02,2007-02-01,32.876957720720135,1.1741770614542906,7.608955353426623,9.947993015718536,15.261276587355937,6.88681388276668,7.474841871920134,0,0,28,2015
TTO,Trinidad and Tobago,2007,3,2007-03,2007-03-01,53.187318746262164,1.715719959556844,24.99987014003133,31.533784414945558,42.996566879030254,8.981667828197516,20.335697098192508,1,0,31,2015
TTO,Trinidad and Tobago,2007,4,2007-04,2007-04-01,29.237356581221306,0.9745785527073768,9.096294340899899,31.983566865181032,38.53321659255229,5.8584349969999066,8.298652946919796,0,0,30,2015
TTO,Trinidad and Tobago,2007,5,2007-05,2007-05-01,32.27945157418567,1.0412726314253442,19.729420163404942,23.632408980481703,27.003219904474488,5.580683450320962,15.988107539453,0,0,31,2015
TTO,Trinidad and Tobago,2007,6,2007-06,2007-06-01,157.77751236986595,5.259250412328865,35.347481311749654,65.2334086994779,69.95060950565441,26.409734209566736,33.42433518050934,3,0,30,2015
TTO,Trinidad and Tobago,2007,7,2007-07,2007-07-01,165.5327650208708,5.339766613576478,28.344764096564976,47.466451847163015,58.599191771788746,26.084895865403983,28.074767861309212,3,0,31,2015
TTO,Trinidad and Tobago,2007,8,2007-08,2007-08-01,292.62953370913084,9.439662377713898,37.364152363002354,65.34146944094493,96.79208822114921,29.695835179152013,35.51126664299485,4,0,31,2015
TTO,Trinidad and Tobago,2007,9,2007-09,2007-09-01,190.13647356576445,6.337882452192148,37.44591908742461,67.41285643734771,83.76095627325013,27.67821984347312,36.452355461957026,2,0,30,2015
TTO,Trinidad and Tobago,2007,10,2007-10,2007-10-01,208.1472666422487,6.714427956201571,23.92080322854699,58.2370568856459,74.6077628615111,20.05942964152932,23.120085684771006,2,0,31,2015
TTO,Trinidad and Tobago,2007,11,2007-11,2007-11-01,144.8719886094107,4.829066286980356,70.12601768335242,88.24324698392036,90.65189820019324,23.233590057381985,58.013481973966506,2,1,30,2015
TTO,Trinidad and Tobago,2007,12,2007-12,2007-12-01,272.81222436811345,8.800394334455273,87.76520247467019,110.05436070931137,122.92975495123736,60.400947571044284,83.87829293286332,3,2,31,2015
TTO,Trinidad and Tobago,2008,1,2008-01,2008-01-01,69.61964653228203,2.2457950494284526,13.191812665254515,22.46350619935615,31.962756103785765,9.66575078029402,12.263335481223338,0,0,31,2015
TTO,Trinidad and Tobago,2008,2,2008-02,2008-02-01,83.85507635083023,2.8915543569251803,18.337517824427287,40.71644697844071,50.69096480849169,12.536471315304206,17.40950462785776,0,0,29,2015
TTO,Trinidad and Tobago,2008,3,2008-03,2008-03-01,52.24291440811405,1.6852553034875501,26.517989926457076,29.88825668236169,29.994857864847738,7.061172503471284,21.437162820050023,1,0,31,2015
TTO,Trinidad and Tobago,2008,4,2008-04,2008-04-01,48.16592389109104,1.6055307963697014,23.31183798142931,35.881637687548505,37.507458621990864,9.14163208087179,19.94947238913472,1,0,30,2015
TTO,Trinidad and Tobago,2008,5,2008-05,2008-05-01,32.00920161844089,1.032554890917448,20.54955025374196,29.32246132756336,29.346457213371046,5.01030502059821,17.007588232384332,1,0,31,2015
TTO,Trinidad and Tobago,2008,6,2008-06,2008-06-01,175.53750906006073,5.851250302002025,31.974468730952587,65.94284205409124,83.3674662448366,20.303909366440905,29.024981751289086,2,0,30,2015
TTO,Trinidad and Tobago,2008,7,2008-07,2008-07-01,218.48676190049883,7.047960061306414,49.123044628599935,68.03849527691051,100.18488808904377,31.85754423764751,44.221620150245116,4,0,31,2015
TTO,Trinidad and Tobago,2008,8,2008-08,2008-08-01,272.342897646474,8.785254762789483,31.351776404078823,85.75189087288115,112.5051716799226,27.852197571678442,30.944870671095085,5,0,31,2015
TTO,Trinidad and Tobago,2008,9,2008-09,2008-09-01,175.24865576451367,5.841621858817122,22.250074835385874,40.66020182804628,58.36679312019601,16.361846323681473,20.72560536165815,1,0,30,2015
TTO,Trinidad and Tobago,2008,10,2008-10,2008-10-01,199.86643997016077,6.4473045151664765,29.511927863269207,45.167825263057594,74.1187635594996,21.69038500031259,28.387446407993156,2,0,31,2015
TTO,Trinidad and Tobago,2008,11,2008-11,2008-11-01,207.66878509801083,6.922292836600361,61.72694704325718,114.36227782135929,140.89609518216773,29.316015198287825,55.33805799393162,2,1,30,2015
TTO,Trinidad and Tobago,2008,12,2008-12,2008-12-01,97.34093518364888,3.14003016721448,19.21989922193411,32.00093408901527,38.34705505310794,16.01241397786278,18.9288664625813,0,0,31,2015
TTO,Trinidad and Tobago,2009,1,2009-01,2009-01-01,158.52485654128537,5.113705049718883,64.15478116085198,84.03568719522592,84.88575160547823,32.78149437739144,58.90718914379706,2,1,31,2015
TTO,Trinidad and Tobago,2009,2,2009-02,2009-02-01,126.52627530078612,4.518795546456647,114.97026246552313,117.28600298091811,118.02540107336625,2.1611686088341213,84.55354153898858,1,1,28,2015
TTO,Trinidad and Tobago,2009,3,2009-03,2009-03-01,47.39635293300545,1.5289146107421114,19.121008046916593,20.225948560907725,20.225948560907725,10.102447397850266,17.68695074870955,0,0,31,2015
TTO,Trinidad and Tobago,2009,4,2009-04,2009-04-01,44.50888643275675,1.4836295477585584,31.49549707283363,35.11852897029279,36.258850063479215,3.6218199625089107,23.596515186177065,1,0,30,2015
TTO,Trinidad and Tobago,2009,5,2009-05,2009-05-01,29.356136014303367,0.9469721294936569,12.596337500813213,13.775013691878419,14.628150328548998,5.049493739841953,11.009349644159851,0,0,31,2015
TTO,Trinidad and Tobago,2009,6,2009-06,2009-06-01,96.14315880847126,3.204771960282375,29.68802065481516,33.186795300026745,34.704800240185804,18.214324938573007,27.68738651360045,2,0,30,2015
TTO,Trinidad and Tobago,2009,7,2009-07,2009-07-01,225.76691990615785,7.282803867940576,34.00404535983755,51.40112255667759,57.577272188490426,27.185021966875613,32.135270820476045,3,0,31,2015
TTO,Trinidad and Tobago,2009,8,2009-08,2009-08-01,294.22489834169056,9.49112575295776,48.094871305346985,82.07303311783463,107.97666630047317,34.52703773983163,44.563479673765585,6,0,31,2015
TTO,Trinidad and Tobago,2009,9,2009-09,2009-09-01,149.29526055577992,4.976508685192664,27.14304055942496,51.54071138155132,90.62753434122176,20.51705905468004,25.856760447296082,2,0,30,2015
TTO,Trinidad and Tobago,2009,10,2009-10,2009-10-01,165.08786244401267,5.3254149175487955,35.93897567552212,37.35416348979207,72.13925744736274,26.771823141762624,34.01984997535894,3,0,31,2015
TTO,Trinidad and Tobago,2009,11,2009-11,2009-11-01,127.74297837320907,4.258099279106969,44.11083124828105,69.40278986658029,85.77032831038184,19.826963822585874,38.612243909327034,2,0,30,2015
TTO,Trinidad and Tobago,2009,12,2009-12,2009-12-01,80.73726898934405,2.604428031914324,33.56431980401624,35.46227175549728,44.862807665338224,9.240835022770625,26.31205594176295,1,0,31,2015
TTO,Trinidad and Tobago,2010,1,2010-01,2010-01-01,58.74563535732349,1.895020495397532,13.773719194049765,21.097655295301358,21.267707892849668,8.432549007555934,12.613851390365486,0,0,31,2015
TTO,Trinidad and Tobago,2010,2,2010-02,2010-02-01,17.359507938236025,0.6199824263655723,5.729011216528387,6.954260155066752,26.82666651182975,3.8550769076757794,5.276551272157226,0,0,28,2015
TTO,Trinidad and Tobago,2010,3,2010-03,2010-03-01,27.668959054002016,0.8925470662581295,6.930171343550082,10.090475402108027,14.172874406496252,6.115476966799745,6.917465323272379,0,0,31,2015
TTO,Trinidad and Tobago,2010,4,2010-04,2010-04-01,122.8203955522109,4.094013185073696,35.018967805922095,75.04714146339558,81.0824281022641,29.657571012458632,33.46675208986068,3,0,30,2015
TTO,Trinidad and Tobago,2010,5,2010-05,2010-05-01,219.85922619945643,7.0922331032082715,67.57518709975781,93.55517494092562,151.31110462036298,32.37578974672517,60.313580848691586,4,1,31,2015
TTO,Trinidad and Tobago,2010,6,2010-06,2010-06-01,209.31829705344293,6.977276568448098,44.32654882711819,89.68749141596166,111.99075058706225,34.214608657780126,41.411591534412665,3,0,30,2015
TTO,Trinidad and Tobago,2010,7,2010-07,2010-07-01,235.41574796346785,7.594056385918318,24.816087318384056,47.111984759718794,64.03147046758602,21.327231411033665,24.06209858617185,3,0,31,2015
TTO,Trinidad and Tobago,2010,8,2010-08,2010-08-01,306.843883352842,9.898189785575548,38.446286446489495,74.03740289687154,82.4645490324856,30.73282570961762,36.31511961079002,6,0,31,2015
TTO,Trinidad and Tobago,2010,9,2010-09,2010-09-01,245.42203851755525,8.180734617251842,31.454228727503843,68.6209177868644,79.79449454305808,20.667175905277308,28.68899963063819,2,0,30,2015
TTO,Trinidad and Tobago,2010,10,2010-10,2010-10-01,143.17906313268892,4.618679455893191,33.278450691654484,39.00358556067448,62.02311340089025,23.902400538074698,31.574682795466305,3,0,31,2015
