iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed
VGB,British Virgin Islands,2007,1,2007-01,2007-01-01,51.95831793322209,1.6760747720394222,13.403452751931384,23.57198148175671,28.74929822712773,9.147461204503584,12.254770530839668,0,0,31
VGB,British Virgin Islands,2007,2,2007-02,2007-02-01,61.33926417832509,2.1906880063687533,19.286576215675495,32.18328756788763,32.18328756788763,12.022920321710794,17.56131270254039,0,0,28
VGB,British Virgin Islands,2007,3,2007-03,2007-03-01,90.64681059779872,2.92409066444512,73.42101592272024,73.47105699657016,90.64681059779872,8.612897337539238,56.5474372262727,1,1,31
VGB,British Virgin Islands,2007,4,2007-04,2007-04-01,262.09170519960276,8.736390173320093,131.04585259980138,262.09170519960276,262.09170519960276,72.07521892989038,131.04585259980138,2,2,30
VGB,British Virgin Islands,2007,5,2007-05,2007-05-01,100.02939558942526,3.226754696433073,35.42538768957646,65.49387686691055,83.49121413652855,23.981159873507,33.818318135903745,2,0,31
VGB,British Virgin Islands,2007,6,2007-06,2007-06-01,98.98085950230228,3.299361983410076,32.96025265798503,86.2794709172414,116.34796009457548,20.071313618689278,29.584377658301722,2,0,30
VGB,British Virgin Islands,2007,7,2007-07,2007-07-01,74.80154773536802,2.412953152753807,26.57020772836264,36.84065076261729,48.231340007005365,18.420325381308636,25.43355895648671,2,0,31
VGB,British Virgin Islands,2007,8,2007-08,2007-08-01,105.23512112068236,3.394681326473625,33.77211584047043,40.44918737725196,55.87694824082765,24.054275582525023,31.441596717737134,3,0,31
VGB,British Virgin Islands,2007,9,2007-09,2007-09-01,97.96915379353527,3.265638459784509,59.98746648146611,59.98746648146612,59.98746648146609,17.093332973479686,49.676255511218905,2,1,30
VGB,British Virgin Islands,2007,10,2007-10,2007-10-01,333.78461249207186,10.767245564260383,88.94781892313758,157.63928379575339,164.8390846379209,52.54100992770543,80.30651419233432,7,2,31
VGB,British Virgin Islands,2007,11,2007-11,2007-11-01,104.53166206244615,3.4843887354148717,103.9644154328744,104.07097897788142,104.13822781144543,0.11111572169679065,73.8480386240112,1,1,30
VGB,British Virgin Islands,2007,12,2007-12,2007-12-01,181.2925009573972,5.848145192174104,30.238047560897584,69.92918907518714,87.80317528442711,21.481324477184337,27.803512951064203,3,0,31
VGB,British Virgin Islands,2008,1,2008-01,2008-01-01,156.90991769403476,5.06161024819467,68.70942190778,79.68890657997584,85.5019126108926,16.526844133600044,53.3229626220251,1,1,31
VGB,British Virgin Islands,2008,2,2008-02,2008-02-01,60.847010475016184,2.098172775000558,11.495435263804207,16.29880102966571,26.3349938846413,10.385930483257793,11.293343696974803,0,0,29
VGB,British Virgin Islands,2008,3,2008-03,2008-03-01,58.03644271143501,1.872143313272097,11.422909439354033,21.519124403600628,28.441273815955704,9.70421850469793,11.0249010968218,0,0,31
VGB,British Virgin Islands,2008,4,2008-04,2008-04-01,150.61900854503705,5.020633618167902,108.5541448355371,108.60039417868676,108.60039417868676,23.04094203225186,89.1701468533302,2,1,30
VGB,British Virgin Islands,2008,5,2008-05,2008-05-01,49.537682389193826,1.5979897544901234,49.41953611681673,49.537682389193826,49.537682389193826,0.05907313618854763,34.6291191634848,1,0,31
VGB,British Virgin Islands,2008,6,2008-06,2008-06-01,66.34525712451793,2.2115085708172644,32.84051058791851,32.89752618444674,49.537682389193826,16.918799569519564,28.731992392236005,1,0,30
VGB,British Virgin Islands,2008,7,2008-07,2008-07-01,50.156694491243115,1.617957886814294,23.662918149692835,26.493776341550284,26.493776341550284,13.246888170775142,22.66401591712606,2,0,31
VGB,British Virgin Islands,2008,8,2008-08,2008-08-01,211.0726269992656,6.808794419331148,85.86987690664549,90.74839463615017,90.74839463615017,34.540127726026995,74.83240530550462,3,1,31
VGB,British Virgin Islands,2008,9,2008-09,2008-09-01,387.78650258154653,12.926216752718217,73.27954156764896,135.74845542643737,151.78288498292517,52.11324041180334,67.14789153849158,7,3,30
VGB,British Virgin Islands,2008,10,2008-10,2008-10-01,266.3550764357312,8.592099239862296,66.82467918251972,148.23932561957614,211.9163177545729,55.83964949039668,65.88037306826284,6,2,31
VGB,British Virgin Islands,2008,11,2008-11,2008-11-01,102.61386952269493,3.4204623174231643,91.55143954270228,102.61386952269493,102.61386952269491,6.084336488995923,68.20962676951656,1,1,30
VGB,British Virgin Islands,2008,12,2008-12,2008-12-01,87.68804630069141,2.8286466548610134,21.808256352684413,32.74017485722527,39.72943403607869,11.401771054086016,18.827266527968437,1,0,31
VGB,British Virgin Islands,2009,1,2009-01,2009-01-01,86.3285109121891,2.7847906745867452,13.672342451141999,28.251066361689038,28.25106636168904,12.392007549409364,13.587363843777613,0,0,31
VGB,British Virgin Islands,2009,2,2009-02,2009-02-01,82.0461631435708,2.9302201122703857,37.82877584656336,82.04616314357078,82.0461631435708,26.82471830792156,37.82877584656336,2,0,28
VGB,British Virgin Islands,2009,3,2009-03,2009-03-01,63.787730591554094,2.0576687287598094,15.665870633739893,75.65755169312672,82.0461631435708,10.124988084286777,14.55683248718953,0,0,31
VGB,British Virgin Islands,2009,4,2009-04,2009-04-01,47.293103358986,1.5764367786328668,10.671323018438795,22.75909728485909,22.7590972848591,8.81662319158794,10.489830063609409,0,0,30
VGB,British Virgin Islands,2009,5,2009-05,2009-05-01,143.2569804407849,4.621192917444675,59.192649265376645,59.4868275400435,114.75295573910438,37.84492935128039,58.01469294548191,3,2,31
VGB,British Virgin Islands,2009,6,2009-06,2009-06-01,96.55738489589726,3.2185794965299084,64.51261043981731,96.55738489589726,96.55738489589726,17.624625950843885,55.096938004533506,2,1,30
VGB,British Virgin Islands,2009,7,2009-07,2009-07-01,95.55361976878149,3.0823748312510157,30.061542166958134,49.92926962592996,49.92926962592996,21.230739617052862,27.821205049410857,2,0,31
VGB,British Virgin Islands,2009,8,2009-08,2009-08-01,73.57979869503454,2.373541893388211,73.40991479292109,73.40991479292109,73.40991479292109,0.08494195105672464,51.437905525678744,1,1,31
VGB,British Virgin Islands,2009,9,2009-09,2009-09-01,172.0837353547476,5.7361245118249204,74.36970260072901,156.87207841609626,156.87207841609626,41.8508977643451,66.50449192406427,3,1,30
VGB,British Virgin Islands,2009,10,2009-10,2009-10-01,64.26304204067984,2.0730013561509626,63.82657363064621,64.1840558813026,64.1840558813026,0.21823420501680968,44.78584621664922,1,1,31
