SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2007345N18298,OLGA,2007,2007-12-10 15:00:00+00:00,2007,12,2007-12,Anguilla,AIA,35.0,18.00554,18.3,-62.5
2007345N18298,OLGA,2007,2007-12-10 18:00:00+00:00,2007,12,2007-12,Anguilla,AIA,35.0,18.00554,18.3,-63.2
2010236N12341,EARL,2010,2010-08-30 09:00:00+00:00,2010,8,2010-08,Anguilla,AIA,100.0,51.4444,18.3,-62.5
2010236N12341,EARL,2010,2010-08-30 12:00:00+00:00,2010,8,2010-08,Anguilla,AIA,105.0,54.01662,18.5,-63.1
2010236N12341,EARL,2010,2010-08-30 15:00:00+00:00,2010,8,2010-08,Anguilla,AIA,110.0,56.588840000000005,18.7,-63.7
2011250N12324,MARIA,2011,2011-09-11 00:00:00+00:00,2011,9,2011-09,Anguilla,AIA,45.0,23.14998,18.3,-62.7
2011250N12324,MARIA,2011,2011-09-11 03:00:00+00:00,2011,9,2011-09,Anguilla,AIA,48.0,24.693312,18.5,-63.1
2011250N12324,MARIA,2011,2011-09-11 06:00:00+00:00,2011,9,2011-09,Anguilla,AIA,50.0,25.7222,18.7,-63.4
2012287N15297,RAFAEL,2012,2012-10-14 00:00:00+00:00,2012,10,2012-10,Anguilla,AIA,45.0,23.14998,17.9,-63.5
2012287N15297,RAFAEL,2012,2012-10-14 03:00:00+00:00,2012,10,2012-10,Anguilla,AIA,45.0,23.14998,18.4,-63.5
2012287N15297,RAFAEL,2012,2012-10-14 06:00:00+00:00,2012,10,2012-10,Anguilla,AIA,45.0,23.14998,18.9,-63.6
2014285N16305,GONZALO,2014,2014-10-13 22:45:00+00:00,2014,10,2014-10,Anguilla,AIA,75.0,38.5833,18.1,-63.0
2014285N16305,GONZALO,2014,2014-10-13 23:15:00+00:00,2014,10,2014-10,Anguilla,AIA,75.0,38.5833,18.2,-63.1
2014285N16305,GONZALO,2014,2014-10-14 00:00:00+00:00,2014,10,2014-10,Anguilla,AIA,80.0,41.15552,18.3,-63.2
2014285N16305,GONZALO,2014,2014-10-14 03:00:00+00:00,2014,10,2014-10,Anguilla,AIA,85.0,43.727740000000004,18.7,-63.6
2017242N16333,IRMA,2017,2017-09-06 11:15:00+00:00,2017,9,2017-09,Anguilla,AIA,155.0,79.73882,18.1,-63.1
2017242N16333,IRMA,2017,2017-09-06 12:00:00+00:00,2017,9,2017-09,Anguilla,AIA,155.0,79.73882,18.1,-63.3
2023266N16323,PHILIPPE,2023,2023-10-03 06:00:00+00:00,2023,10,2023-10,Anguilla,AIA,45.0,23.14998,18.1,-62.7
2023266N16323,PHILIPPE,2023,2023-10-03 09:00:00+00:00,2023,10,2023-10,Anguilla,AIA,43.0,22.121092,18.3,-63.1
2023266N16323,PHILIPPE,2023,2023-10-03 12:00:00+00:00,2023,10,2023-10,Anguilla,AIA,40.0,20.57776,18.6,-63.6
2023292N13309,TAMMY,2023,2023-10-22 09:00:00+00:00,2023,10,2023-10,Anguilla,AIA,75.0,38.5833,18.3,-62.5
2023292N13309,TAMMY,2023,2023-10-22 12:00:00+00:00,2023,10,2023-10,Anguilla,AIA,75.0,38.5833,18.7,-62.8
