SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2010236N12341,EARL,2010,2010-08-30 06:00:00+00:00,2010,8,2010-08,Antigua and Barbuda,ATG,95.0,48.87218,18.1,-61.9
2010244N12328,GASTON,2010,2010-09-07 09:00:00+00:00,2010,9,2010-09,Antigua and Barbuda,ATG,25.0,12.8611,16.9,-61.7
2010244N12328,GASTON,2010,2010-09-07 12:00:00+00:00,2010,9,2010-09,Antigua and Barbuda,ATG,25.0,12.8611,16.8,-62.7
2011233N15301,IRENE,2011,2011-08-21 12:00:00+00:00,2011,8,2011-08,Antigua and Barbuda,ATG,45.0,23.14998,16.8,-62.2
2011250N12324,MARIA,2011,2011-09-10 15:00:00+00:00,2011,9,2011-09,Antigua and Barbuda,ATG,45.0,23.14998,17.4,-61.6
2011250N12324,MARIA,2011,2011-09-10 18:00:00+00:00,2011,9,2011-09,Antigua and Barbuda,ATG,45.0,23.14998,17.8,-62.0
2014285N16305,GONZALO,2014,2014-10-13 12:00:00+00:00,2014,10,2014-10,Antigua and Barbuda,ATG,65.0,33.43886,17.0,-61.5
2014285N16305,GONZALO,2014,2014-10-13 14:30:00+00:00,2014,10,2014-10,Antigua and Barbuda,ATG,65.0,33.43886,17.1,-61.8
2014285N16305,GONZALO,2014,2014-10-13 15:00:00+00:00,2014,10,2014-10,Antigua and Barbuda,ATG,66.0,33.953304,17.2,-61.9
2017242N16333,IRMA,2017,2017-09-06 05:45:00+00:00,2017,9,2017-09,Antigua and Barbuda,ATG,155.0,79.73882,17.7,-61.8
2017242N16333,IRMA,2017,2017-09-06 06:00:00+00:00,2017,9,2017-09,Antigua and Barbuda,ATG,155.0,79.73882,17.7,-61.9
2020233N14313,LAURA,2020,2020-08-21 20:30:00+00:00,2020,8,2020-08,Antigua and Barbuda,ATG,40.0,20.57776,17.1,-61.8
2020233N14313,LAURA,2020,2020-08-21 21:00:00+00:00,2020,8,2020-08,Antigua and Barbuda,ATG,40.0,20.57776,17.1,-61.9
2020233N14313,LAURA,2020,2020-08-21 23:30:00+00:00,2020,8,2020-08,Antigua and Barbuda,ATG,40.0,20.57776,17.1,-62.6
2023266N16323,PHILIPPE,2023,2023-10-02 21:00:00+00:00,2023,10,2023-10,Antigua and Barbuda,ATG,45.0,23.14998,17.5,-61.6
2023266N16323,PHILIPPE,2023,2023-10-02 22:45:00+00:00,2023,10,2023-10,Antigua and Barbuda,ATG,45.0,23.14998,17.6,-61.8
2023266N16323,PHILIPPE,2023,2023-10-03 00:00:00+00:00,2023,10,2023-10,Antigua and Barbuda,ATG,45.0,23.14998,17.6,-61.9
2023266N16323,PHILIPPE,2023,2023-10-03 03:00:00+00:00,2023,10,2023-10,Antigua and Barbuda,ATG,45.0,23.14998,17.8,-62.3
2023292N13309,TAMMY,2023,2023-10-21 21:00:00+00:00,2023,10,2023-10,Antigua and Barbuda,ATG,78.0,40.126632,17.1,-61.4
2023292N13309,TAMMY,2023,2023-10-22 00:00:00+00:00,2023,10,2023-10,Antigua and Barbuda,ATG,80.0,41.15552,17.5,-61.7
2023292N13309,TAMMY,2023,2023-10-22 01:15:00+00:00,2023,10,2023-10,Antigua and Barbuda,ATG,80.0,41.15552,17.6,-61.8
2023292N13309,TAMMY,2023,2023-10-22 03:00:00+00:00,2023,10,2023-10,Antigua and Barbuda,ATG,78.0,40.126632,17.7,-61.9
2023292N13309,TAMMY,2023,2023-10-22 06:00:00+00:00,2023,10,2023-10,Antigua and Barbuda,ATG,75.0,38.5833,18.0,-62.2
2024225N14313,ERNESTO,2024,2024-08-13 12:50:00+00:00,2024,8,2024-08,Antigua and Barbuda,ATG,40.0,20.57776,16.7,-62.2
2024225N14313,ERNESTO,2024,2024-08-13 15:00:00+00:00,2024,8,2024-08,Antigua and Barbuda,ATG,44.0,22.635536000000002,17.0,-62.7
