SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2019204N25283,UNNAMED,2019,2019-07-22 12:00:00+00:00,2019,7,2019-07,Bahamas,BHS,25.0,12.8611,24.6,-77.4
2019204N25283,UNNAMED,2019,2019-07-22 15:00:00+00:00,2019,7,2019-07,Bahamas,BHS,25.0,12.8611,24.8,-77.9
2019204N25283,UNNAMED,2019,2019-07-22 18:00:00+00:00,2019,7,2019-07,Bahamas,BHS,25.0,12.8611,25.0,-78.4
2019236N10314,DORIAN,2019,2019-09-01 15:00:00+00:00,2019,9,2019-09,Bahamas,BHS,158.0,81.282152,26.5,-76.8
2019236N10314,DORIAN,2019,2019-09-01 16:40:00+00:00,2019,9,2019-09,Bahamas,BHS,160.0,82.31104,26.5,-77.0
2019236N10314,DORIAN,2019,2019-09-01 18:00:00+00:00,2019,9,2019-09,Bahamas,BHS,160.0,82.31104,26.5,-77.1
2019236N10314,DORIAN,2019,2019-09-01 21:00:00+00:00,2019,9,2019-09,Bahamas,BHS,158.0,81.282152,26.5,-77.4
2019236N10314,DORIAN,2019,2019-09-02 00:00:00+00:00,2019,9,2019-09,Bahamas,BHS,155.0,79.73882,26.6,-77.7
2019236N10314,DORIAN,2019,2019-09-02 02:15:00+00:00,2019,9,2019-09,Bahamas,BHS,155.0,79.73882,26.6,-77.8
2019236N10314,DORIAN,2019,2019-09-02 03:00:00+00:00,2019,9,2019-09,Bahamas,BHS,153.0,78.709932,26.6,-77.8
2019236N10314,DORIAN,2019,2019-09-02 06:00:00+00:00,2019,9,2019-09,Bahamas,BHS,145.0,74.59438,26.6,-78.0
2019236N10314,DORIAN,2019,2019-09-02 09:00:00+00:00,2019,9,2019-09,Bahamas,BHS,140.0,72.02216,26.6,-78.2
2019236N10314,DORIAN,2019,2019-09-02 12:00:00+00:00,2019,9,2019-09,Bahamas,BHS,135.0,69.44994,26.7,-78.3
2019236N10314,DORIAN,2019,2019-09-02 15:00:00+00:00,2019,9,2019-09,Bahamas,BHS,130.0,66.87772,26.7,-78.4
2019236N10314,DORIAN,2019,2019-09-02 18:00:00+00:00,2019,9,2019-09,Bahamas,BHS,125.0,64.3055,26.8,-78.4
2019236N10314,DORIAN,2019,2019-09-02 21:00:00+00:00,2019,9,2019-09,Bahamas,BHS,120.0,61.73328,26.9,-78.5
2019236N10314,DORIAN,2019,2019-09-03 00:00:00+00:00,2019,9,2019-09,Bahamas,BHS,115.0,59.16106,26.9,-78.5
2019236N10314,DORIAN,2019,2019-09-03 03:00:00+00:00,2019,9,2019-09,Bahamas,BHS,110.0,56.588840000000005,26.9,-78.5
2019236N10314,DORIAN,2019,2019-09-03 06:00:00+00:00,2019,9,2019-09,Bahamas,BHS,105.0,54.01662,27.0,-78.5
2019236N10314,DORIAN,2019,2019-09-03 09:00:00+00:00,2019,9,2019-09,Bahamas,BHS,103.0,52.987732,27.0,-78.5
2019236N10314,DORIAN,2019,2019-09-03 12:00:00+00:00,2019,9,2019-09,Bahamas,BHS,100.0,51.4444,27.1,-78.5
2019256N23286,HUMBERTO,2019,2019-09-14 15:00:00+00:00,2019,9,2019-09,Bahamas,BHS,43.0,22.121092,26.7,-76.8
2019256N23286,HUMBERTO,2019,2019-09-14 18:00:00+00:00,2019,9,2019-09,Bahamas,BHS,45.0,23.14998,27.0,-77.0
2020211N13306,ISAIAS,2020,2020-08-01 12:00:00+00:00,2020,8,2020-08,Bahamas,BHS,70.0,36.01108,24.3,-77.5
2020211N13306,ISAIAS,2020,2020-08-01 13:00:00+00:00,2020,8,2020-08,Bahamas,BHS,70.0,36.01108,24.4,-77.7
2020211N13306,ISAIAS,2020,2020-08-01 15:00:00+00:00,2020,8,2020-08,Bahamas,BHS,66.0,33.953304,24.6,-78.0
2020211N13306,ISAIAS,2020,2020-08-01 18:00:00+00:00,2020,8,2020-08,Bahamas,BHS,60.0,30.86664,24.8,-78.3
2020211N13306,ISAIAS,2020,2020-08-01 21:00:00+00:00,2020,8,2020-08,Bahamas,BHS,60.0,30.86664,25.0,-78.6
2022311N21293,NICOLE,2022,2022-11-09 15:00:00+00:00,2022,11,2022-11,Bahamas,BHS,58.0,29.837752000000002,26.5,-76.7
2022311N21293,NICOLE,2022,2022-11-09 17:00:00+00:00,2022,11,2022-11,Bahamas,BHS,60.0,30.86664,26.5,-77.1
2022311N21293,NICOLE,2022,2022-11-09 18:00:00+00:00,2022,11,2022-11,Bahamas,BHS,60.0,30.86664,26.5,-77.3
2022311N21293,NICOLE,2022,2022-11-09 21:00:00+00:00,2022,11,2022-11,Bahamas,BHS,63.0,32.409972,26.5,-77.8
2022311N21293,NICOLE,2022,2022-11-09 23:00:00+00:00,2022,11,2022-11,Bahamas,BHS,65.0,33.43886,26.6,-78.2
2022311N21293,NICOLE,2022,2022-11-10 00:00:00+00:00,2022,11,2022-11,Bahamas,BHS,65.0,33.43886,26.7,-78.4
2022311N21293,NICOLE,2022,2022-11-10 03:00:00+00:00,2022,11,2022-11,Bahamas,BHS,65.0,33.43886,27.0,-79.0
