SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2017228N14314,HARVEY,2017,2017-08-22 06:00:00+00:00,2017,8,2017-08,Belize,BLZ,25.0,12.8611,18.6,-87.8
2020245N16285,NANA,2020,2020-09-03 06:00:00+00:00,2020,9,2020-09,Belize,BLZ,65.0,33.43886,16.8,-88.3
2020245N16285,NANA,2020,2020-09-03 09:00:00+00:00,2020,9,2020-09,Belize,BLZ,55.0,28.294420000000002,16.6,-89.0
2020245N16285,NANA,2020,2020-09-03 12:00:00+00:00,2020,9,2020-09,Belize,BLZ,45.0,23.14998,16.4,-89.6
2022304N16287,LISA,2022,2022-11-02 21:00:00+00:00,2022,11,2022-11,Belize,BLZ,79.0,40.641076,17.4,-88.2
2022304N16287,LISA,2022,2022-11-02 21:30:00+00:00,2022,11,2022-11,Belize,BLZ,80.0,41.15552,17.4,-88.3
2022304N16287,LISA,2022,2022-11-03 00:00:00+00:00,2022,11,2022-11,Belize,BLZ,65.0,33.43886,17.5,-88.6
2022304N16287,LISA,2022,2022-11-03 03:00:00+00:00,2022,11,2022-11,Belize,BLZ,55.0,28.294420000000002,17.6,-89.1
2024293N17275,NADINE,2024,2024-10-19 15:00:00+00:00,2024,10,2024-10,Belize,BLZ,49.0,25.207756,17.5,-88.0
2024293N17275,NADINE,2024,2024-10-19 16:00:00+00:00,2024,10,2024-10,Belize,BLZ,50.0,25.7222,17.5,-88.2
2024293N17275,NADINE,2024,2024-10-19 18:00:00+00:00,2024,10,2024-10,Belize,BLZ,45.0,23.14998,17.5,-88.7
2024293N17275,NADINE,2024,2024-10-19 21:00:00+00:00,2024,10,2024-10,Belize,BLZ,38.0,19.548872,17.4,-89.4
2024319N16282,SARA,2024,2024-11-17 12:00:00+00:00,2024,11,2024-11,Belize,BLZ,35.0,18.00554,16.8,-87.9
2024319N16282,SARA,2024,2024-11-17 14:00:00+00:00,2024,11,2024-11,Belize,BLZ,35.0,18.00554,17.0,-88.3
2024319N16282,SARA,2024,2024-11-17 15:00:00+00:00,2024,11,2024-11,Belize,BLZ,34.0,17.491096,17.1,-88.5
2024319N16282,SARA,2024,2024-11-17 18:00:00+00:00,2024,11,2024-11,Belize,BLZ,30.0,15.43332,17.4,-89.1
