SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2013248N16294,GABRIELLE,2013,2013-09-11 00:00:00+00:00,2013,9,2013-09,Bermuda,BMU,50.0,25.7222,31.9,-64.9
2013248N16294,GABRIELLE,2013,2013-09-11 03:00:00+00:00,2013,9,2013-09,Bermuda,BMU,48.0,24.693312,32.1,-65.1
2014283N22299,FAY,2014,2014-10-12 08:10:00+00:00,2014,10,2014-10,Bermuda,BMU,70.0,36.01108,32.3,-64.7
2014283N22299,FAY,2014,2014-10-12 09:00:00+00:00,2014,10,2014-10,Bermuda,BMU,70.0,36.01108,32.5,-64.6
2014285N16305,GONZALO,2014,2014-10-18 00:00:00+00:00,2014,10,2014-10,Bermuda,BMU,95.0,48.87218,32.2,-64.9
2014285N16305,GONZALO,2014,2014-10-18 00:30:00+00:00,2014,10,2014-10,Bermuda,BMU,95.0,48.87218,32.3,-64.8
2016278N23300,NICOLE,2016,2016-10-13 15:00:00+00:00,2016,10,2016-10,Bermuda,BMU,105.0,54.01662,32.3,-64.7
2019260N13317,JERRY,2019,2019-09-26 00:00:00+00:00,2019,9,2019-09,Bermuda,BMU,25.0,12.8611,32.3,-64.9
2019260N13317,JERRY,2019,2019-09-26 03:00:00+00:00,2019,9,2019-09,Bermuda,BMU,25.0,12.8611,32.6,-64.3
2020251N17319,PAULETTE,2020,2020-09-14 08:50:00+00:00,2020,9,2020-09,Bermuda,BMU,85.0,43.727740000000004,32.3,-64.7
2020251N17319,PAULETTE,2020,2020-09-14 09:00:00+00:00,2020,9,2020-09,Bermuda,BMU,85.0,43.727740000000004,32.3,-64.7
2024225N14313,ERNESTO,2024,2024-08-17 06:00:00+00:00,2024,8,2024-08,Bermuda,BMU,75.0,38.5833,31.9,-65.0
2024225N14313,ERNESTO,2024,2024-08-17 08:30:00+00:00,2024,8,2024-08,Bermuda,BMU,75.0,38.5833,32.3,-64.8
2024225N14313,ERNESTO,2024,2024-08-17 09:00:00+00:00,2024,8,2024-08,Bermuda,BMU,74.0,38.068856000000004,32.4,-64.8
2024225N14313,ERNESTO,2024,2024-08-17 12:00:00+00:00,2024,8,2024-08,Bermuda,BMU,70.0,36.01108,32.6,-64.6
