SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2010302N09306,TOMAS,2010,2010-10-30 09:00:00+00:00,2010,10,2010-10,Barbados,BRB,60.0,30.86664,13.0,-59.5
2012215N12313,ERNESTO,2012,2012-08-03 06:00:00+00:00,2012,8,2012-08,Barbados,BRB,40.0,20.57776,13.6,-59.7
2012223N14317,HELENE,2012,2012-08-11 18:00:00+00:00,2012,8,2012-08,Barbados,BRB,30.0,15.43332,13.3,-59.9
2016273N13300,MATTHEW,2016,2016-09-28 12:00:00+00:00,2016,9,2016-09,Barbados,BRB,50.0,25.7222,13.4,-59.8
2017228N14314,HARVEY,2017,2017-08-18 09:00:00+00:00,2017,8,2017-08,Barbados,BRB,40.0,20.57776,13.1,-59.3
2017228N14314,HARVEY,2017,2017-08-18 10:00:00+00:00,2017,8,2017-08,Barbados,BRB,40.0,20.57776,13.1,-59.6
2019236N10314,DORIAN,2019,2019-08-27 00:00:00+00:00,2019,8,2019-08,Barbados,BRB,45.0,23.14998,13.0,-59.2
2019236N10314,DORIAN,2019,2019-08-27 01:30:00+00:00,2019,8,2019-08,Barbados,BRB,45.0,23.14998,13.1,-59.4
2019236N10314,DORIAN,2019,2019-08-27 03:00:00+00:00,2019,8,2019-08,Barbados,BRB,45.0,23.14998,13.2,-59.6
2021182N09317,ELSA,2021,2021-07-02 12:00:00+00:00,2021,7,2021-07,Barbados,BRB,65.0,33.43886,13.0,-59.8
2023170N11323,BRET,2023,2023-06-22 21:00:00+00:00,2023,6,2023-06,Barbados,BRB,55.0,28.294420000000002,13.3,-59.5
