SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2007345N18298,OLGA,2007,2007-12-13 12:00:00+00:00,2007,12,2007-12,Cayman Islands,CYM,30.0,15.43332,19.4,-80.1
2007345N18298,OLGA,2007,2007-12-13 15:00:00+00:00,2007,12,2007-12,Cayman Islands,CYM,30.0,15.43332,19.5,-80.7
2007345N18298,OLGA,2007,2007-12-13 18:00:00+00:00,2007,12,2007-12,Cayman Islands,CYM,30.0,15.43332,19.6,-81.3
2008238N13293,GUSTAV,2008,2008-08-30 03:00:00+00:00,2008,8,2008-08,Cayman Islands,CYM,80.0,41.15552,19.4,-80.4
2008311N14278,PALOMA,2008,2008-11-08 00:00:00+00:00,2008,11,2008-11,Cayman Islands,CYM,100.0,51.4444,19.0,-81.0
2008311N14278,PALOMA,2008,2008-11-08 03:00:00+00:00,2008,11,2008-11,Cayman Islands,CYM,105.0,54.01662,19.2,-80.7
2008311N14278,PALOMA,2008,2008-11-08 06:00:00+00:00,2008,11,2008-11,Cayman Islands,CYM,110.0,56.588840000000005,19.4,-80.4
2008311N14278,PALOMA,2008,2008-11-08 09:00:00+00:00,2008,11,2008-11,Cayman Islands,CYM,118.0,60.704392,19.6,-80.0
2008311N14278,PALOMA,2008,2008-11-08 12:00:00+00:00,2008,11,2008-11,Cayman Islands,CYM,125.0,64.3055,19.8,-79.6
2020306N15288,ETA,2020,2020-11-07 18:00:00+00:00,2020,11,2020-11,Cayman Islands,CYM,55.0,28.294420000000002,19.8,-81.5
2021225N15313,GRACE,2021,2021-08-18 12:00:00+00:00,2021,8,2021-08,Cayman Islands,CYM,65.0,33.43886,19.2,-81.5
2021239N17281,IDA,2021,2021-08-27 06:00:00+00:00,2021,8,2021-08,Cayman Islands,CYM,45.0,23.14998,19.4,-80.9
2024309N13283,RAFAEL,2024,2024-11-06 00:00:00+00:00,2024,11,2024-11,Cayman Islands,CYM,70.0,36.01108,19.4,-80.0
2024309N13283,RAFAEL,2024,2024-11-06 03:00:00+00:00,2024,11,2024-11,Cayman Islands,CYM,75.0,38.5833,19.7,-80.5
