SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2011214N15299,EMILY,2011,2011-08-02 00:00:00+00:00,2011,8,2011-08,Dominica,DMA,40.0,20.57776,14.9,-61.4
2012234N16315,ISAAC,2012,2012-08-22 21:00:00+00:00,2012,8,2012-08,Dominica,DMA,45.0,23.14998,16.0,-61.2
2014210N10323,BERTHA,2014,2014-08-01 21:00:00+00:00,2014,8,2014-08,Dominica,DMA,45.0,23.14998,14.8,-61.3
2015229N10331,DANNY,2015,2015-08-24 12:00:00+00:00,2015,8,2015-08,Dominica,DMA,30.0,15.43332,15.8,-61.3
2017260N12310,MARIA,2017,2017-09-19 00:00:00+00:00,2017,9,2017-09,Dominica,DMA,145.0,74.59438,15.3,-61.1
2017260N12310,MARIA,2017,2017-09-19 01:15:00+00:00,2017,9,2017-09,Dominica,DMA,145.0,74.59438,15.4,-61.3
2017260N12310,MARIA,2017,2017-09-19 03:00:00+00:00,2017,9,2017-09,Dominica,DMA,141.0,72.536604,15.5,-61.5
2017260N12310,MARIA,2017,2017-09-19 06:00:00+00:00,2017,9,2017-09,Dominica,DMA,135.0,69.44994,15.7,-61.9
2018186N10325,BERYL,2018,2018-07-09 00:00:00+00:00,2018,7,2018-07,Dominica,DMA,35.0,18.00554,15.5,-61.3
2018251N13325,ISAAC,2018,2018-09-13 15:00:00+00:00,2018,9,2018-09,Dominica,DMA,38.0,19.548872,14.9,-61.5
2020211N13306,ISAIAS,2020,2020-07-29 09:00:00+00:00,2020,7,2020-07,Dominica,DMA,40.0,20.57776,15.0,-61.3
2021222N14301,FRED,2021,2021-08-10 06:00:00+00:00,2021,8,2021-08,Dominica,DMA,30.0,15.43332,15.3,-61.6
