SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2018186N10325,BERYL,2018,2018-07-10 06:00:00+00:00,2018,7,2018-07,Dominican Republic,DOM,30.0,15.43332,18.1,-70.5
2018186N10325,BERYL,2018,2018-07-10 09:00:00+00:00,2018,7,2018-07,Dominican Republic,DOM,30.0,15.43332,18.7,-71.1
2018186N10325,BERYL,2018,2018-07-10 12:00:00+00:00,2018,7,2018-07,Dominican Republic,DOM,30.0,15.43332,19.3,-71.6
2018186N10325,BERYL,2018,2018-07-10 15:00:00+00:00,2018,7,2018-07,Dominican Republic,DOM,30.0,15.43332,19.8,-72.0
2020211N13306,ISAIAS,2020,2020-07-30 15:00:00+00:00,2020,7,2020-07,Dominican Republic,DOM,55.0,28.294420000000002,18.1,-69.0
2020211N13306,ISAIAS,2020,2020-07-30 16:15:00+00:00,2020,7,2020-07,Dominican Republic,DOM,55.0,28.294420000000002,18.4,-69.3
2020211N13306,ISAIAS,2020,2020-07-30 18:00:00+00:00,2020,7,2020-07,Dominican Republic,DOM,60.0,30.86664,18.9,-69.8
2020211N13306,ISAIAS,2020,2020-07-30 21:00:00+00:00,2020,7,2020-07,Dominican Republic,DOM,63.0,32.409972,19.5,-70.5
2020211N13306,ISAIAS,2020,2020-07-31 00:00:00+00:00,2020,7,2020-07,Dominican Republic,DOM,65.0,33.43886,19.9,-71.2
2020233N14313,LAURA,2020,2020-08-23 00:00:00+00:00,2020,8,2020-08,Dominican Republic,DOM,45.0,23.14998,18.2,-68.8
2020233N14313,LAURA,2020,2020-08-23 03:00:00+00:00,2020,8,2020-08,Dominican Republic,DOM,45.0,23.14998,18.3,-69.6
2020233N14313,LAURA,2020,2020-08-23 04:30:00+00:00,2020,8,2020-08,Dominican Republic,DOM,45.0,23.14998,18.4,-70.0
2020233N14313,LAURA,2020,2020-08-23 06:00:00+00:00,2020,8,2020-08,Dominican Republic,DOM,45.0,23.14998,18.5,-70.3
2020233N14313,LAURA,2020,2020-08-23 09:00:00+00:00,2020,8,2020-08,Dominican Republic,DOM,45.0,23.14998,18.6,-71.2
2020233N14313,LAURA,2020,2020-08-23 12:00:00+00:00,2020,8,2020-08,Dominican Republic,DOM,45.0,23.14998,18.8,-72.3
