SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2007150N14263,BARBARA,2007,2007-06-02 09:00:00+00:00,2007,6,2007-06,Guatemala,GTM,45.0,23.14998,14.3,-92.6
2007150N14263,BARBARA,2007,2007-06-02 12:00:00+00:00,2007,6,2007-06,Guatemala,GTM,45.0,23.14998,14.6,-92.5
2007150N14263,BARBARA,2007,2007-06-02 13:00:00+00:00,2007,6,2007-06,Guatemala,GTM,45.0,23.14998,14.7,-92.5
2007150N14263,BARBARA,2007,2007-06-02 15:00:00+00:00,2007,6,2007-06,Guatemala,GTM,37.0,19.034428000000002,14.9,-92.5
2007150N14263,BARBARA,2007,2007-06-02 18:00:00+00:00,2007,6,2007-06,Guatemala,GTM,25.0,12.8611,15.2,-92.3
2007244N12303,FELIX,2007,2007-09-05 15:00:00+00:00,2007,9,2007-09,Guatemala,GTM,20.0,10.28888,15.8,-87.8
2007244N12303,FELIX,2007,2007-09-05 18:00:00+00:00,2007,9,2007-09,Guatemala,GTM,20.0,10.28888,16.1,-88.3
2007244N12303,FELIX,2007,2007-09-05 21:00:00+00:00,2007,9,2007-09,Guatemala,GTM,20.0,10.28888,16.3,-88.9
2007244N12303,FELIX,2007,2007-09-06 00:00:00+00:00,2007,9,2007-09,Guatemala,GTM,20.0,10.28888,16.5,-89.5
2007244N12303,FELIX,2007,2007-09-06 03:00:00+00:00,2007,9,2007-09,Guatemala,GTM,20.0,10.28888,16.6,-90.1
2007244N12303,FELIX,2007,2007-09-06 06:00:00+00:00,2007,9,2007-09,Guatemala,GTM,20.0,10.28888,16.7,-90.8
2007244N12303,FELIX,2007,2007-09-06 09:00:00+00:00,2007,9,2007-09,Guatemala,GTM,20.0,10.28888,16.9,-91.6
2008152N18273,ARTHUR,2008,2008-06-01 06:00:00+00:00,2008,6,2008-06,Guatemala,GTM,35.0,18.00554,18.2,-89.8
2008152N18273,ARTHUR,2008,2008-06-01 09:00:00+00:00,2008,6,2008-06,Guatemala,GTM,33.0,16.976652,18.1,-90.1
2008152N18273,ARTHUR,2008,2008-06-01 12:00:00+00:00,2008,6,2008-06,Guatemala,GTM,30.0,15.43332,18.0,-90.4
2008152N18273,ARTHUR,2008,2008-06-01 15:00:00+00:00,2008,6,2008-06,Guatemala,GTM,30.0,15.43332,17.9,-90.6
2008152N18273,ARTHUR,2008,2008-06-01 18:00:00+00:00,2008,6,2008-06,Guatemala,GTM,30.0,15.43332,17.8,-90.8
