SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2007244N12303,FELIX,2007,2007-09-04 18:00:00+00:00,2007,9,2007-09,Honduras,HND,85.0,43.727740000000004,14.3,-84.4
2007244N12303,FELIX,2007,2007-09-04 21:00:00+00:00,2007,9,2007-09,Honduras,HND,68.0,34.982192,14.4,-84.9
2007244N12303,FELIX,2007,2007-09-05 00:00:00+00:00,2007,9,2007-09,Honduras,HND,50.0,25.7222,14.6,-85.4
2007244N12303,FELIX,2007,2007-09-05 03:00:00+00:00,2007,9,2007-09,Honduras,HND,38.0,19.548872,14.8,-85.9
2007244N12303,FELIX,2007,2007-09-05 06:00:00+00:00,2007,9,2007-09,Honduras,HND,25.0,12.8611,15.0,-86.4
2007244N12303,FELIX,2007,2007-09-05 09:00:00+00:00,2007,9,2007-09,Honduras,HND,23.0,11.832212,15.2,-86.9
2007244N12303,FELIX,2007,2007-09-05 12:00:00+00:00,2007,9,2007-09,Honduras,HND,20.0,10.28888,15.5,-87.3
2007244N12303,FELIX,2007,2007-09-05 15:00:00+00:00,2007,9,2007-09,Honduras,HND,20.0,10.28888,15.8,-87.8
2007244N12303,FELIX,2007,2007-09-05 18:00:00+00:00,2007,9,2007-09,Honduras,HND,20.0,10.28888,16.1,-88.3
2008150N10274,ALMA,2008,2008-05-30 00:00:00+00:00,2008,5,2008-05,Honduras,HND,45.0,23.14998,12.9,-87.1
2008150N10274,ALMA,2008,2008-05-30 03:00:00+00:00,2008,5,2008-05,Honduras,HND,38.0,19.548872,13.5,-87.2
2008150N10274,ALMA,2008,2008-05-30 06:00:00+00:00,2008,5,2008-05,Honduras,HND,30.0,15.43332,14.1,-87.4
2008150N10274,ALMA,2008,2008-05-30 09:00:00+00:00,2008,5,2008-05,Honduras,HND,28.0,14.404432,14.6,-87.7
2008150N10274,ALMA,2008,2008-05-30 12:00:00+00:00,2008,5,2008-05,Honduras,HND,25.0,12.8611,15.0,-88.0
2008289N15277,UNNAMED,2008,2008-10-15 06:00:00+00:00,2008,10,2008-10,Honduras,HND,25.0,12.8611,16.0,-84.0
2008289N15277,UNNAMED,2008,2008-10-15 09:00:00+00:00,2008,10,2008-10,Honduras,HND,25.0,12.8611,15.9,-84.1
2008289N15277,UNNAMED,2008,2008-10-15 12:00:00+00:00,2008,10,2008-10,Honduras,HND,25.0,12.8611,15.9,-84.4
2008289N15277,UNNAMED,2008,2008-10-15 12:30:00+00:00,2008,10,2008-10,Honduras,HND,25.0,12.8611,15.9,-84.5
2008289N15277,UNNAMED,2008,2008-10-15 15:00:00+00:00,2008,10,2008-10,Honduras,HND,25.0,12.8611,15.8,-84.8
2008289N15277,UNNAMED,2008,2008-10-15 18:00:00+00:00,2008,10,2008-10,Honduras,HND,25.0,12.8611,15.6,-85.0
2008289N15277,UNNAMED,2008,2008-10-15 21:00:00+00:00,2008,10,2008-10,Honduras,HND,25.0,12.8611,15.4,-85.3
2008289N15277,UNNAMED,2008,2008-10-16 00:00:00+00:00,2008,10,2008-10,Honduras,HND,25.0,12.8611,15.3,-85.6
2009308N11279,IDA,2009,2009-11-06 09:00:00+00:00,2009,11,2009-11,Honduras,HND,30.0,15.43332,14.4,-84.0
2009308N11279,IDA,2009,2009-11-06 12:00:00+00:00,2009,11,2009-11,Honduras,HND,30.0,15.43332,14.7,-83.9
2009308N11279,IDA,2009,2009-11-06 15:00:00+00:00,2009,11,2009-11,Honduras,HND,30.0,15.43332,15.0,-83.9
2009308N11279,IDA,2009,2009-11-06 18:00:00+00:00,2009,11,2009-11,Honduras,HND,30.0,15.43332,15.4,-83.9
2009308N11279,IDA,2009,2009-11-06 21:00:00+00:00,2009,11,2009-11,Honduras,HND,30.0,15.43332,15.8,-83.9
2009308N11279,IDA,2009,2009-11-07 00:00:00+00:00,2009,11,2009-11,Honduras,HND,30.0,15.43332,16.1,-84.0
2009308N11279,IDA,2009,2009-11-07 09:00:00+00:00,2009,11,2009-11,Honduras,HND,45.0,23.14998,17.2,-84.0
2009308N11279,IDA,2009,2009-11-07 12:00:00+00:00,2009,11,2009-11,Honduras,HND,55.0,28.294420000000002,17.7,-84.0
2010176N16278,ALEX,2010,2010-06-26 09:00:00+00:00,2010,6,2010-06,Honduras,HND,40.0,20.57776,16.8,-85.5
2010267N14285,MATTHEW,2010,2010-09-24 18:00:00+00:00,2010,9,2010-09,Honduras,HND,50.0,25.7222,14.6,-83.0
2010267N14285,MATTHEW,2010,2010-09-24 19:00:00+00:00,2010,9,2010-09,Honduras,HND,50.0,25.7222,14.7,-83.3
2010267N14285,MATTHEW,2010,2010-09-24 21:00:00+00:00,2010,9,2010-09,Honduras,HND,50.0,25.7222,14.9,-83.9
2010267N14285,MATTHEW,2010,2010-09-25 00:00:00+00:00,2010,9,2010-09,Honduras,HND,50.0,25.7222,15.2,-84.6
2010267N14285,MATTHEW,2010,2010-09-25 03:00:00+00:00,2010,9,2010-09,Honduras,HND,48.0,24.693312,15.5,-85.3
2010267N14285,MATTHEW,2010,2010-09-25 06:00:00+00:00,2010,9,2010-09,Honduras,HND,45.0,23.14998,15.8,-86.1
2010267N14285,MATTHEW,2010,2010-09-25 09:00:00+00:00,2010,9,2010-09,Honduras,HND,40.0,20.57776,16.1,-86.9
2010267N14285,MATTHEW,2010,2010-09-25 12:00:00+00:00,2010,9,2010-09,Honduras,HND,35.0,18.00554,16.3,-87.7
2010284N14278,PAULA,2010,2010-10-11 09:00:00+00:00,2010,10,2010-10,Honduras,HND,40.0,20.57776,14.7,-82.9
2010284N14278,PAULA,2010,2010-10-11 12:00:00+00:00,2010,10,2010-10,Honduras,HND,45.0,23.14998,15.0,-83.2
2010284N14278,PAULA,2010,2010-10-11 15:00:00+00:00,2010,10,2010-10,Honduras,HND,53.0,27.265532,15.3,-83.5
2010284N14278,PAULA,2010,2010-10-11 18:00:00+00:00,2010,10,2010-10,Honduras,HND,60.0,30.86664,15.7,-83.8
