SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2018186N10325,BERYL,2018,2018-07-10 12:00:00+00:00,2018,7,2018-07,Haiti,HTI,30.0,15.43332,19.3,-71.6
2018186N10325,BERYL,2018,2018-07-10 15:00:00+00:00,2018,7,2018-07,Haiti,HTI,30.0,15.43332,19.8,-72.0
2018186N10325,BERYL,2018,2018-07-10 18:00:00+00:00,2018,7,2018-07,Haiti,HTI,30.0,15.43332,20.2,-72.4
2020233N14313,LAURA,2020,2020-08-23 12:00:00+00:00,2020,8,2020-08,Haiti,HTI,45.0,23.14998,18.8,-72.3
2021222N14301,FRED,2021,2021-08-12 00:00:00+00:00,2021,8,2021-08,Haiti,HTI,30.0,15.43332,19.2,-71.7
2021222N14301,FRED,2021,2021-08-12 03:00:00+00:00,2021,8,2021-08,Haiti,HTI,30.0,15.43332,19.6,-72.3
2021222N14301,FRED,2021,2021-08-12 06:00:00+00:00,2021,8,2021-08,Haiti,HTI,30.0,15.43332,20.0,-72.9
2021225N15313,GRACE,2021,2021-08-16 18:00:00+00:00,2021,8,2021-08,Haiti,HTI,35.0,18.00554,17.8,-71.7
2021225N15313,GRACE,2021,2021-08-16 21:00:00+00:00,2021,8,2021-08,Haiti,HTI,35.0,18.00554,17.9,-72.4
2021225N15313,GRACE,2021,2021-08-17 00:00:00+00:00,2021,8,2021-08,Haiti,HTI,35.0,18.00554,17.9,-73.2
2021225N15313,GRACE,2021,2021-08-17 03:00:00+00:00,2021,8,2021-08,Haiti,HTI,38.0,19.548872,17.9,-74.0
