SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2007225N12331,DEAN,2007,2007-08-20 00:00:00+00:00,2007,8,2007-08,Jamaica,JAM,125.0,64.3055,17.5,-77.8
2007345N18298,OLGA,2007,2007-12-13 03:00:00+00:00,2007,12,2007-12,Jamaica,JAM,30.0,15.43332,18.9,-78.0
2008238N13293,GUSTAV,2008,2008-08-28 15:00:00+00:00,2008,8,2008-08,Jamaica,JAM,60.0,30.86664,17.9,-75.9
2008238N13293,GUSTAV,2008,2008-08-28 18:00:00+00:00,2008,8,2008-08,Jamaica,JAM,60.0,30.86664,18.0,-76.2
2008238N13293,GUSTAV,2008,2008-08-28 21:00:00+00:00,2008,8,2008-08,Jamaica,JAM,60.0,30.86664,17.9,-76.6
2008238N13293,GUSTAV,2008,2008-08-29 00:00:00+00:00,2008,8,2008-08,Jamaica,JAM,60.0,30.86664,17.8,-77.0
2008238N13293,GUSTAV,2008,2008-08-29 02:00:00+00:00,2008,8,2008-08,Jamaica,JAM,60.0,30.86664,17.9,-77.2
2008238N13293,GUSTAV,2008,2008-08-29 03:00:00+00:00,2008,8,2008-08,Jamaica,JAM,59.0,30.352196,17.9,-77.3
2008238N13293,GUSTAV,2008,2008-08-29 06:00:00+00:00,2008,8,2008-08,Jamaica,JAM,55.0,28.294420000000002,18.0,-77.7
2008238N13293,GUSTAV,2008,2008-08-29 09:00:00+00:00,2008,8,2008-08,Jamaica,JAM,53.0,27.265532,18.1,-78.0
2008238N13293,GUSTAV,2008,2008-08-29 12:00:00+00:00,2008,8,2008-08,Jamaica,JAM,50.0,25.7222,18.3,-78.4
2012296N14283,SANDY,2012,2012-10-24 18:00:00+00:00,2012,10,2012-10,Jamaica,JAM,75.0,38.5833,17.7,-76.7
2012296N14283,SANDY,2012,2012-10-24 19:00:00+00:00,2012,10,2012-10,Jamaica,JAM,75.0,38.5833,17.9,-76.6
2012296N14283,SANDY,2012,2012-10-24 21:00:00+00:00,2012,10,2012-10,Jamaica,JAM,79.0,40.641076,18.3,-76.5
2021182N09317,ELSA,2021,2021-07-04 09:00:00+00:00,2021,7,2021-07,Jamaica,JAM,53.0,27.265532,18.2,-76.0
2021182N09317,ELSA,2021,2021-07-04 12:00:00+00:00,2021,7,2021-07,Jamaica,JAM,50.0,25.7222,18.5,-76.5
2021225N15313,GRACE,2021,2021-08-17 12:00:00+00:00,2021,8,2021-08,Jamaica,JAM,45.0,23.14998,18.2,-76.1
2021225N15313,GRACE,2021,2021-08-17 14:00:00+00:00,2021,8,2021-08,Jamaica,JAM,50.0,25.7222,18.2,-76.6
2021225N15313,GRACE,2021,2021-08-17 15:00:00+00:00,2021,8,2021-08,Jamaica,JAM,50.0,25.7222,18.2,-76.8
2021225N15313,GRACE,2021,2021-08-17 18:00:00+00:00,2021,8,2021-08,Jamaica,JAM,50.0,25.7222,18.3,-77.4
2021225N15313,GRACE,2021,2021-08-17 21:00:00+00:00,2021,8,2021-08,Jamaica,JAM,50.0,25.7222,18.3,-78.0
2021225N15313,GRACE,2021,2021-08-18 00:00:00+00:00,2021,8,2021-08,Jamaica,JAM,50.0,25.7222,18.3,-78.6
2023321N15278,UNNAMED,2023,2023-11-17 18:00:00+00:00,2023,11,2023-11,Jamaica,JAM,30.0,15.43332,18.0,-78.5
2023321N15278,UNNAMED,2023,2023-11-17 21:00:00+00:00,2023,11,2023-11,Jamaica,JAM,30.0,15.43332,18.6,-77.8
2024181N09320,BERYL,2024,2024-07-03 21:00:00+00:00,2024,7,2024-07,Jamaica,JAM,118.0,60.704392,17.5,-77.5
2024181N09320,BERYL,2024,2024-07-04 00:00:00+00:00,2024,7,2024-07,Jamaica,JAM,115.0,59.16106,17.8,-78.3
2024309N13283,RAFAEL,2024,2024-11-05 15:00:00+00:00,2024,11,2024-11,Jamaica,JAM,55.0,28.294420000000002,18.0,-78.7
