SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2007225N12331,DEAN,2007,2007-08-17 09:00:00+00:00,2007,8,2007-08,Saint Lucia,LCA,85.0,43.727740000000004,14.3,-60.8
2010302N09306,TOMAS,2010,2010-10-30 18:00:00+00:00,2010,10,2010-10,Saint Lucia,LCA,80.0,41.15552,13.3,-61.0
2010302N09306,TOMAS,2010,2010-10-30 20:00:00+00:00,2010,10,2010-10,Saint Lucia,LCA,85.0,43.727740000000004,13.4,-61.2
2012215N12313,ERNESTO,2012,2012-08-03 09:00:00+00:00,2012,8,2012-08,Saint Lucia,LCA,40.0,20.57776,13.7,-60.7
2012223N14317,HELENE,2012,2012-08-11 21:00:00+00:00,2012,8,2012-08,Saint Lucia,LCA,30.0,15.43332,13.4,-60.7
2012223N14317,HELENE,2012,2012-08-12 00:00:00+00:00,2012,8,2012-08,Saint Lucia,LCA,30.0,15.43332,13.5,-61.4
2016273N13300,MATTHEW,2016,2016-09-28 18:00:00+00:00,2016,9,2016-09,Saint Lucia,LCA,50.0,25.7222,13.6,-61.2
2018265N08338,KIRK,2018,2018-09-28 00:00:00+00:00,2018,9,2018-09,Saint Lucia,LCA,45.0,23.14998,13.8,-60.8
2018265N08338,KIRK,2018,2018-09-28 00:30:00+00:00,2018,9,2018-09,Saint Lucia,LCA,45.0,23.14998,13.8,-60.9
2018265N08338,KIRK,2018,2018-09-28 03:00:00+00:00,2018,9,2018-09,Saint Lucia,LCA,45.0,23.14998,13.6,-61.4
2019236N10314,DORIAN,2019,2019-08-27 09:00:00+00:00,2019,8,2019-08,Saint Lucia,LCA,45.0,23.14998,13.7,-60.5
2019236N10314,DORIAN,2019,2019-08-27 11:00:00+00:00,2019,8,2019-08,Saint Lucia,LCA,45.0,23.14998,14.0,-60.9
2019236N10314,DORIAN,2019,2019-08-27 12:00:00+00:00,2019,8,2019-08,Saint Lucia,LCA,45.0,23.14998,14.2,-61.2
2021182N09317,ELSA,2021,2021-07-02 15:00:00+00:00,2021,7,2021-07,Saint Lucia,LCA,70.0,36.01108,13.4,-61.1
