SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2007244N12303,FELIX,2007,2007-09-04 09:00:00+00:00,2007,9,2007-09,Nicaragua,NIC,138.0,70.993272,14.3,-82.6
2007244N12303,FELIX,2007,2007-09-04 12:00:00+00:00,2007,9,2007-09,Nicaragua,NIC,140.0,72.02216,14.3,-83.2
2007244N12303,FELIX,2007,2007-09-04 15:00:00+00:00,2007,9,2007-09,Nicaragua,NIC,113.0,58.132172000000004,14.3,-83.8
2007244N12303,FELIX,2007,2007-09-04 18:00:00+00:00,2007,9,2007-09,Nicaragua,NIC,85.0,43.727740000000004,14.3,-84.4
2007244N12303,FELIX,2007,2007-09-04 21:00:00+00:00,2007,9,2007-09,Nicaragua,NIC,68.0,34.982192,14.4,-84.9
2007244N12303,FELIX,2007,2007-09-05 00:00:00+00:00,2007,9,2007-09,Nicaragua,NIC,50.0,25.7222,14.6,-85.4
2008150N10274,ALMA,2008,2008-05-29 15:00:00+00:00,2008,5,2008-05,Nicaragua,NIC,50.0,25.7222,11.6,-86.8
2008150N10274,ALMA,2008,2008-05-29 18:00:00+00:00,2008,5,2008-05,Nicaragua,NIC,55.0,28.294420000000002,12.0,-86.9
2008150N10274,ALMA,2008,2008-05-29 20:00:00+00:00,2008,5,2008-05,Nicaragua,NIC,55.0,28.294420000000002,12.3,-87.0
2008150N10274,ALMA,2008,2008-05-29 21:00:00+00:00,2008,5,2008-05,Nicaragua,NIC,53.0,27.265532,12.4,-87.0
2008150N10274,ALMA,2008,2008-05-30 00:00:00+00:00,2008,5,2008-05,Nicaragua,NIC,45.0,23.14998,12.9,-87.1
2008150N10274,ALMA,2008,2008-05-30 03:00:00+00:00,2008,5,2008-05,Nicaragua,NIC,38.0,19.548872,13.5,-87.2
2009308N11279,IDA,2009,2009-11-05 00:00:00+00:00,2009,11,2009-11,Nicaragua,NIC,55.0,28.294420000000002,12.3,-82.8
2009308N11279,IDA,2009,2009-11-05 03:00:00+00:00,2009,11,2009-11,Nicaragua,NIC,60.0,30.86664,12.5,-83.1
2009308N11279,IDA,2009,2009-11-05 06:00:00+00:00,2009,11,2009-11,Nicaragua,NIC,65.0,33.43886,12.6,-83.3
2009308N11279,IDA,2009,2009-11-05 09:00:00+00:00,2009,11,2009-11,Nicaragua,NIC,68.0,34.982192,12.7,-83.5
2009308N11279,IDA,2009,2009-11-05 12:00:00+00:00,2009,11,2009-11,Nicaragua,NIC,70.0,36.01108,12.9,-83.6
2009308N11279,IDA,2009,2009-11-05 15:00:00+00:00,2009,11,2009-11,Nicaragua,NIC,60.0,30.86664,13.0,-83.7
