SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2007345N18298,OLGA,2007,2007-12-10 18:00:00+00:00,2007,12,2007-12,Sint Maarten,SXM,35.0,18.00554,18.3,-63.2
2011250N12324,MARIA,2011,2011-09-11 00:00:00+00:00,2011,9,2011-09,Sint Maarten,SXM,45.0,23.14998,18.3,-62.7
2012287N15297,RAFAEL,2012,2012-10-14 00:00:00+00:00,2012,10,2012-10,Sint Maarten,SXM,45.0,23.14998,17.9,-63.5
2014285N16305,GONZALO,2014,2014-10-13 21:00:00+00:00,2014,10,2014-10,Sint Maarten,SXM,73.0,37.554412,17.9,-62.7
2014285N16305,GONZALO,2014,2014-10-13 22:45:00+00:00,2014,10,2014-10,Sint Maarten,SXM,75.0,38.5833,18.1,-63.0
2014285N16305,GONZALO,2014,2014-10-13 23:15:00+00:00,2014,10,2014-10,Sint Maarten,SXM,75.0,38.5833,18.2,-63.1
2014285N16305,GONZALO,2014,2014-10-14 00:00:00+00:00,2014,10,2014-10,Sint Maarten,SXM,80.0,41.15552,18.3,-63.2
2017242N16333,IRMA,2017,2017-09-06 09:00:00+00:00,2017,9,2017-09,Sint Maarten,SXM,155.0,79.73882,17.9,-62.7
2017242N16333,IRMA,2017,2017-09-06 11:15:00+00:00,2017,9,2017-09,Sint Maarten,SXM,155.0,79.73882,18.1,-63.1
2017242N16333,IRMA,2017,2017-09-06 12:00:00+00:00,2017,9,2017-09,Sint Maarten,SXM,155.0,79.73882,18.1,-63.3
2023266N16323,PHILIPPE,2023,2023-10-03 06:00:00+00:00,2023,10,2023-10,Sint Maarten,SXM,45.0,23.14998,18.1,-62.7
2023266N16323,PHILIPPE,2023,2023-10-03 09:00:00+00:00,2023,10,2023-10,Sint Maarten,SXM,43.0,22.121092,18.3,-63.1
