SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2008241N19303,HANNA,2008,2008-09-01 21:00:00+00:00,2008,9,2008-09,Turks and Caicos Islands,TCA,73.0,37.554412,22.0,-72.3
2008241N19303,HANNA,2008,2008-09-02 00:00:00+00:00,2008,9,2008-09,Turks and Caicos Islands,TCA,75.0,38.5833,21.8,-72.3
2008241N19303,HANNA,2008,2008-09-02 03:00:00+00:00,2008,9,2008-09,Turks and Caicos Islands,TCA,70.0,36.01108,21.6,-72.5
2008241N19303,HANNA,2008,2008-09-02 06:00:00+00:00,2008,9,2008-09,Turks and Caicos Islands,TCA,65.0,33.43886,21.4,-72.7
2008241N19303,HANNA,2008,2008-09-03 15:00:00+00:00,2008,9,2008-09,Turks and Caicos Islands,TCA,48.0,24.693312,21.1,-71.8
2008241N19303,HANNA,2008,2008-09-03 18:00:00+00:00,2008,9,2008-09,Turks and Caicos Islands,TCA,50.0,25.7222,21.6,-71.8
2008241N19303,HANNA,2008,2008-09-03 19:00:00+00:00,2008,9,2008-09,Turks and Caicos Islands,TCA,50.0,25.7222,21.7,-71.8
2008241N19303,HANNA,2008,2008-09-03 21:00:00+00:00,2008,9,2008-09,Turks and Caicos Islands,TCA,52.0,26.751088,22.0,-71.8
2008245N17323,IKE,2008,2008-09-07 03:00:00+00:00,2008,9,2008-09,Turks and Caicos Islands,TCA,115.0,59.16106,21.1,-71.0
2008245N17323,IKE,2008,2008-09-07 06:00:00+00:00,2008,9,2008-09,Turks and Caicos Islands,TCA,115.0,59.16106,21.1,-71.6
2008245N17323,IKE,2008,2008-09-07 09:00:00+00:00,2008,9,2008-09,Turks and Caicos Islands,TCA,113.0,58.132172000000004,21.0,-72.0
2010302N09306,TOMAS,2010,2010-11-06 06:00:00+00:00,2010,11,2010-11,Turks and Caicos Islands,TCA,60.0,30.86664,21.4,-71.8
2010302N09306,TOMAS,2010,2010-11-06 07:30:00+00:00,2010,11,2010-11,Turks and Caicos Islands,TCA,60.0,30.86664,21.7,-71.6
2010302N09306,TOMAS,2010,2010-11-06 09:00:00+00:00,2010,11,2010-11,Turks and Caicos Islands,TCA,60.0,30.86664,22.0,-71.4
2011233N15301,IRENE,2011,2011-08-23 21:00:00+00:00,2011,8,2011-08,Turks and Caicos Islands,TCA,80.0,41.15552,20.9,-71.6
2011233N15301,IRENE,2011,2011-08-24 00:00:00+00:00,2011,8,2011-08,Turks and Caicos Islands,TCA,80.0,41.15552,21.0,-71.9
2011233N15301,IRENE,2011,2011-08-24 06:00:00+00:00,2011,8,2011-08,Turks and Caicos Islands,TCA,95.0,48.87218,21.3,-72.5
2011233N15301,IRENE,2011,2011-08-24 09:00:00+00:00,2011,8,2011-08,Turks and Caicos Islands,TCA,100.0,51.4444,21.6,-72.9
2013204N11340,DORIAN,2013,2013-07-30 12:00:00+00:00,2013,7,2013-07,Turks and Caicos Islands,TCA,25.0,12.8611,21.7,-71.0
2013204N11340,DORIAN,2013,2013-07-30 15:00:00+00:00,2013,7,2013-07,Turks and Caicos Islands,TCA,25.0,12.8611,21.8,-71.6
2013204N11340,DORIAN,2013,2013-07-30 18:00:00+00:00,2013,7,2013-07,Turks and Caicos Islands,TCA,25.0,12.8611,21.9,-72.2
2014210N10323,BERTHA,2014,2014-08-03 12:00:00+00:00,2014,8,2014-08,Turks and Caicos Islands,TCA,40.0,20.57776,21.4,-71.6
2014210N10323,BERTHA,2014,2014-08-03 14:00:00+00:00,2014,8,2014-08,Turks and Caicos Islands,TCA,40.0,20.57776,21.8,-71.9
2014210N10323,BERTHA,2014,2014-08-03 15:00:00+00:00,2014,8,2014-08,Turks and Caicos Islands,TCA,41.0,21.092204,22.0,-72.1
2014236N22288,CRISTOBAL,2014,2014-08-23 18:00:00+00:00,2014,8,2014-08,Turks and Caicos Islands,TCA,30.0,15.43332,21.5,-72.2
2014236N22288,CRISTOBAL,2014,2014-08-23 21:00:00+00:00,2014,8,2014-08,Turks and Caicos Islands,TCA,30.0,15.43332,21.7,-72.3
2014236N22288,CRISTOBAL,2014,2014-08-24 00:00:00+00:00,2014,8,2014-08,Turks and Caicos Islands,TCA,30.0,15.43332,22.0,-72.5
2015313N22289,KATE,2015,2015-11-08 18:00:00+00:00,2015,11,2015-11,Turks and Caicos Islands,TCA,30.0,15.43332,22.2,-71.5
2017242N16333,IRMA,2017,2017-09-08 00:00:00+00:00,2017,9,2017-09,Turks and Caicos Islands,TCA,140.0,72.02216,21.1,-71.8
2017242N16333,IRMA,2017,2017-09-08 03:00:00+00:00,2017,9,2017-09,Turks and Caicos Islands,TCA,137.0,70.47882800000001,21.4,-72.5
2017260N12310,MARIA,2017,2017-09-22 09:00:00+00:00,2017,9,2017-09,Turks and Caicos Islands,TCA,110.0,56.588840000000005,21.5,-70.7
2022257N16312,FIONA,2022,2022-09-20 09:00:00+00:00,2022,9,2022-09,Turks and Caicos Islands,TCA,100.0,51.4444,21.2,-70.9
2022257N16312,FIONA,2022,2022-09-20 11:00:00+00:00,2022,9,2022-09,Turks and Caicos Islands,TCA,100.0,51.4444,21.4,-71.1
2022257N16312,FIONA,2022,2022-09-20 12:00:00+00:00,2022,9,2022-09,Turks and Caicos Islands,TCA,100.0,51.4444,21.5,-71.2
2022257N16312,FIONA,2022,2022-09-20 15:00:00+00:00,2022,9,2022-09,Turks and Caicos Islands,TCA,100.0,51.4444,21.9,-71.5
