SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2010302N09306,TOMAS,2010,2010-10-30 18:00:00+00:00,2010,10,2010-10,Saint Vincent and the Grenadines,VCT,80.0,41.15552,13.3,-61.0
2010302N09306,TOMAS,2010,2010-10-30 20:00:00+00:00,2010,10,2010-10,Saint Vincent and the Grenadines,VCT,85.0,43.727740000000004,13.4,-61.2
2010302N09306,TOMAS,2010,2010-10-30 21:00:00+00:00,2010,10,2010-10,Saint Vincent and the Grenadines,VCT,85.0,43.727740000000004,13.4,-61.3
2012223N14317,HELENE,2012,2012-08-11 21:00:00+00:00,2012,8,2012-08,Saint Vincent and the Grenadines,VCT,30.0,15.43332,13.4,-60.7
2012223N14317,HELENE,2012,2012-08-12 00:00:00+00:00,2012,8,2012-08,Saint Vincent and the Grenadines,VCT,30.0,15.43332,13.5,-61.4
2016273N13300,MATTHEW,2016,2016-09-28 18:00:00+00:00,2016,9,2016-09,Saint Vincent and the Grenadines,VCT,50.0,25.7222,13.6,-61.2
2017228N14314,HARVEY,2017,2017-08-18 15:00:00+00:00,2017,8,2017-08,Saint Vincent and the Grenadines,VCT,40.0,20.57776,13.2,-61.2
2018265N08338,KIRK,2018,2018-09-28 03:00:00+00:00,2018,9,2018-09,Saint Vincent and the Grenadines,VCT,45.0,23.14998,13.6,-61.4
2019265N12301,KAREN,2019,2019-09-22 15:00:00+00:00,2019,9,2019-09,Saint Vincent and the Grenadines,VCT,35.0,18.00554,12.3,-61.7
2021182N09317,ELSA,2021,2021-07-02 15:00:00+00:00,2021,7,2021-07,Saint Vincent and the Grenadines,VCT,70.0,36.01108,13.4,-61.1
2023170N11323,BRET,2023,2023-06-23 03:00:00+00:00,2023,6,2023-06,Saint Vincent and the Grenadines,VCT,55.0,28.294420000000002,13.3,-61.1
2023170N11323,BRET,2023,2023-06-23 03:15:00+00:00,2023,6,2023-06,Saint Vincent and the Grenadines,VCT,55.0,28.294420000000002,13.3,-61.2
2023232N13300,FRANKLIN,2023,2023-08-19 21:00:00+00:00,2023,8,2023-08,Saint Vincent and the Grenadines,VCT,25.0,12.8611,12.9,-61.3
2024181N09320,BERYL,2024,2024-07-01 15:00:00+00:00,2024,7,2024-07,Saint Vincent and the Grenadines,VCT,119.0,61.218836,12.5,-61.4
2024181N09320,BERYL,2024,2024-07-01 15:20:00+00:00,2024,7,2024-07,Saint Vincent and the Grenadines,VCT,120.0,61.73328,12.5,-61.5
