SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2007297N18300,NOEL,2007,2007-10-25 18:00:00+00:00,2007,10,2007-10,British Virgin Islands,VGB,25.0,12.8611,19.1,-64.1
2007297N18300,NOEL,2007,2007-10-25 21:00:00+00:00,2007,10,2007-10,British Virgin Islands,VGB,25.0,12.8611,19.0,-64.4
2007297N18300,NOEL,2007,2007-10-26 00:00:00+00:00,2007,10,2007-10,British Virgin Islands,VGB,25.0,12.8611,18.8,-64.8
2007297N18300,NOEL,2007,2007-10-26 03:00:00+00:00,2007,10,2007-10,British Virgin Islands,VGB,25.0,12.8611,18.4,-65.2
2007345N18298,OLGA,2007,2007-12-11 00:00:00+00:00,2007,12,2007-12,British Virgin Islands,VGB,35.0,18.00554,18.4,-64.7
2010236N12341,EARL,2010,2010-08-30 18:00:00+00:00,2010,8,2010-08,British Virgin Islands,VGB,115.0,59.16106,19.0,-64.2
2011250N12324,MARIA,2011,2011-09-11 12:00:00+00:00,2011,9,2011-09,British Virgin Islands,VGB,50.0,25.7222,19.1,-64.1
2017242N16333,IRMA,2017,2017-09-06 15:00:00+00:00,2017,9,2017-09,British Virgin Islands,VGB,155.0,79.73882,18.3,-64.1
2017242N16333,IRMA,2017,2017-09-06 16:30:00+00:00,2017,9,2017-09,British Virgin Islands,VGB,155.0,79.73882,18.5,-64.4
2017242N16333,IRMA,2017,2017-09-06 18:00:00+00:00,2017,9,2017-09,British Virgin Islands,VGB,150.0,77.1666,18.6,-64.7
2019236N10314,DORIAN,2019,2019-08-28 18:00:00+00:00,2019,8,2019-08,British Virgin Islands,VGB,70.0,36.01108,18.4,-65.1
2019265N12301,KAREN,2019,2019-09-25 00:00:00+00:00,2019,9,2019-09,British Virgin Islands,VGB,40.0,20.57776,18.5,-65.2
2023266N16323,PHILIPPE,2023,2023-10-03 15:00:00+00:00,2023,10,2023-10,British Virgin Islands,VGB,40.0,20.57776,18.9,-64.1
2023266N16323,PHILIPPE,2023,2023-10-03 18:00:00+00:00,2023,10,2023-10,British Virgin Islands,VGB,40.0,20.57776,19.1,-64.5
2024225N14313,ERNESTO,2024,2024-08-13 23:30:00+00:00,2024,8,2024-08,British Virgin Islands,VGB,55.0,28.294420000000002,18.3,-64.7
2024225N14313,ERNESTO,2024,2024-08-14 00:00:00+00:00,2024,8,2024-08,British Virgin Islands,VGB,55.0,28.294420000000002,18.4,-64.9
