SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2010236N12341,EARL,2010,Antigua and Barbuda,ATG,2010,8,2010-08,2010-08-30 06:00:00+00:00,2010-08-30 06:00:00+00:00,1,95.0,48.87218
2010244N12328,GASTON,2010,Antigua and Barbuda,ATG,2010,9,2010-09,2010-09-07 09:00:00+00:00,2010-09-07 12:00:00+00:00,2,25.0,12.8611
2011233N15301,IRENE,2011,Antigua and Barbuda,ATG,2011,8,2011-08,2011-08-21 12:00:00+00:00,2011-08-21 12:00:00+00:00,1,45.0,23.14998
2011250N12324,MARIA,2011,Antigua and Barbuda,ATG,2011,9,2011-09,2011-09-10 15:00:00+00:00,2011-09-10 18:00:00+00:00,2,45.0,23.14998
2014285N16305,GONZALO,2014,Antigua and Barbuda,ATG,2014,10,2014-10,2014-10-13 12:00:00+00:00,2014-10-13 15:00:00+00:00,3,66.0,33.953304
2017242N16333,IRMA,2017,Antigua and Barbuda,ATG,2017,9,2017-09,2017-09-06 05:45:00+00:00,2017-09-06 06:00:00+00:00,2,155.0,79.73882
2020233N14313,LAURA,2020,Antigua and Barbuda,ATG,2020,8,2020-08,2020-08-21 20:30:00+00:00,2020-08-21 23:30:00+00:00,3,40.0,20.57776
2023266N16323,PHILIPPE,2023,Antigua and Barbuda,ATG,2023,10,2023-10,2023-10-02 21:00:00+00:00,2023-10-03 03:00:00+00:00,4,45.0,23.14998
2023292N13309,TAMMY,2023,Antigua and Barbuda,ATG,2023,10,2023-10,2023-10-21 21:00:00+00:00,2023-10-22 06:00:00+00:00,5,80.0,41.15552
2024225N14313,ERNESTO,2024,Antigua and Barbuda,ATG,2024,8,2024-08,2024-08-13 12:50:00+00:00,2024-08-13 15:00:00+00:00,2,44.0,22.635536000000002
